업종(대),업종(중),브랜드,상호,가맹사업 개시일,가맹사업 년수
,편의점,평균,-,-,12년  4개월
,,지에스25(GS25),(주)지에스리테일,1991-06-13,29년  6개월
,,씨유(CU),(주)비지에프리테일,1990-10-19,30년  2개월
,,세븐일레븐,(주)코리아세븐,1992-07-06,28년  5개월
,,이마트24(emart24),(주)이마트24,2003-02-12,17년  10개월
,,미니스톱,한국미니스톱(주),1991-07-01,29년  5개월
,,씨스페이스(C'SPACE),(주)씨스페이시스,2006-05-24,14년  7개월
,,아이지에이마트,(주)한국아이지에이,2001-05-10,19년  7개월
,,블루25 (Blue25),(주)우린,2010-07-08,10년  5개월
,,베스트올,(주)현대씨에스엔,2004-03-07,16년  9개월
,,레몬비,(주)바구니,2000-03-15,20년  9개월
,,아싸비어,(주)나인팩트,2017-08-23,3년  4개월
,,마마트,(주)피에프그룹,2016-11-10,4년  1개월
,,알리바이,(주)정석,2004-09-01,16년  3개월
,,하프타임,(주)하프타임,2008-01-25,12년  11개월
,,해빛(Have it),(주)일화로지스,2018-03-02,2년  9개월
,,데이앤데이(day&day),데이앤데이(JW홀딩스),2015-01-19,5년  11개월
,,미스터마트,미스터리테일,2014-05-31,6년  7개월
,,뉴들365 무인편의점카페,(주)뉴들,2016-09-21,4년  3개월
,,굿앤굿스,(주)대명코퍼레이션,2009-12-31,11년  0개월
,,마켓101,(주)마켓101,2019-11-10,1년  1개월
,,BM24,비지니스멘토,--,0년  0개월
,,로그인편의점,(유)애플디아이,2012-09-01,8년  3개월
,,쿨샷,쿨샷(coolshot),--,0년  0개월
,,365플러스편의점,홈플러스(주),2012-02-12,8년  10개월
,,나우플러스(NOWPLUS),지엘코리아(주),--,0년  0개월
,,스노우마트,(주)드림네트웍스,--,0년  0개월
,,나우고(Nowgo),지엘코리아(주),--,0년  0개월
,,별난동네슈퍼25,(주)동네,--,0년  0개월
,,포시즌마트,에프에스로지스틱,2006-11-20,14년  1개월
,,Beer&Cream,Beer&Cream,2017-07-05,3년  5개월
,,다판다아이스,다판다25,2020-08-01,0년  4개월
,,응응스크르,응응스크르,2019-02-25,1년  10개월
,,Storyway(스토리웨이),코레일유통(주),2008-07-14,12년  5개월
,의류패션,평균,-,-,6년  5개월
,,슈슈앤크라,(주)메이블,2015-05-15,5년  7개월
,,제이진옴므,(주)제이진옴므,2012-08-14,8년  4개월
,,에이치케이테일러(HKtailor),(주)에이치케이에프엔에프,2009-01-12,11년  11개월
,,스타갤러리,(주)스타갤러리,2010-01-10,10년  11개월
,,에이치에스룩,에이치에스룩,2019-01-01,1년  11개월
,,메리디움,(주)보화,2007-02-15,13년  10개월
,,레드아이(REDEYE),(주)지에프라인,2019-10-01,1년  2개월
,,"안녕,피어싱",(주)안녕피어싱,2018-08-24,2년  4개월
,,제나비테일러,제나비테일러인천점,2013-07-01,7년  5개월
,,백작 by Firenze,(주)아미,2016-08-30,4년  4개월
,,핑크에이지,(주)피에이인터네셔널,2011-08-05,9년  4개월
,,스윙마젤,(주)더룩스,2009-07-01,11년  5개월
,,제이블랑,(주)제이엘컬렉션,--,0년  0개월
,,해리슨테일러,(주)정원어페럴,2016-01-20,4년  11개월
,,폴링(Paul Ring),더폴링,2015-07-22,5년  5개월
,,히어라이크(HERELIKE),(주)좋음,2019-03-12,1년  9개월
,,감성아이,감성아이,2014-11-28,6년  1개월
,,메리수인,메리수인,2019-03-10,1년  9개월
,,보헨,(주)정원어페럴,2016-01-15,4년  11개월
,,엠멜란지(M melan. G),(주)엠멜란지,2018-08-13,2년  4개월
,,꼬모양품점,꼬모양품점,2019-08-30,1년  4개월
,,더봄한복,더봄한복,2019-06-17,1년  6개월
,,아모르데헬렌,엘지이홀딩스(주),2016-08-26,4년  4개월
,,피그먼트(PIGMENT),(주)케이컴퍼니,--,0년  0개월
,,꼼므에뚜왈,(주)꼼므에뚜왈코리아,--,0년  0개월
,,by.hee,바이희,--,0년  0개월
,,온베베,온베베,--,0년  0개월
,,바바라,(주)바바라앤코,2007-06-02,13년  6개월
,,버닝스타,버닝스타,--,0년  0개월
,,SUMMAFACE(숨마페이스),감동가발,--,0년  0개월
,,키로픽(kilopick),(주)쿤인터내셔널,--,0년  0개월
,,allobaby,알로베이비,--,0년  0개월
,,마마앤코(mamanco),마마앤코,2015-10-01,5년  2개월
,,리벨로 테일러샵,(주)벨로벨라,--,0년  0개월
,,코코블랙부띠크,(주)아이앤씨프랜,2015-12-16,5년  0개월
,,쁘띠로아,로아부띠끄(RoaBoutique),--,0년  0개월
,화장품,평균,-,-,11년  1개월
,,에뛰드하우스,(주)에뛰드,2005-08-19,15년  4개월
,,에뛰드하우스,(주)에뛰드,2005-08-19,15년  4개월
,,에뛰드하우스,(주)에뛰드,2005-08-19,15년  4개월
,,토니모리,(주)토니모리,2007-04-03,13년  8개월
,,미샤,(주)에이블씨엔씨,2003-08-08,17년  4개월
,,네이처리퍼블릭(NATUREREPUBLIC),(주)네이처리퍼블릭,2009-03-31,11년  9개월
,,더페이스샵,(주)더페이스샵,2003-12-06,17년  0개월
