업종(대),업종(중),브랜드,상호,가맹사업 개시일,가맹사업 년수
,교육_교과,평균,-,-,10년  3개월
,,해법공부방,(주)해법에듀,2001-11-01,19년  1개월
,,셀파수학교실,(주)해법에듀,2010-07-29,10년  5개월
,,셀파우등생교실,(주)해법에듀,2011-10-15,9년  2개월
,,한솔플러스수학교실,(주)한솔플러스,2008-04-29,12년  8개월
,,아이북랜드,(주)성원아이북랜드,2000-03-21,20년  9개월
,,기탄사고력교실,(주)기탄러닝,2016-09-05,4년  3개월
,,엠베스트SE,메가스터디교육(주),2016-11-25,4년  1개월
,,수학여우,(주)모든교육,2019-07-29,1년  5개월
,,비상아이비츠,(주)비상교육,2008-10-01,12년  2개월
,,조이매스,(주)조이매스,2004-09-01,16년  3개월
,,이씨엔교육,(주)이씨엔교육,2014-10-03,6년  2개월
,,장원교육,(주)장원교육,1998-04-01,22년  8개월
,,공터영어,(주)공터영어,2016-01-11,4년  11개월
,,위니드수학학원,위니드교육,2017-06-01,3년  6개월
,,소마사고력수학,(주)타임교육,2009-07-26,11년  5개월
,,유투엠(U2M),(주)올림피아드교육,2013-12-02,7년  0개월
,,와이즈만영재교육,(주)창의와탐구,2002-04-01,18년  8개월
,,강의하는아이들,(주)오투라인,2013-09-10,7년  3개월
,,뉴스터디교육,(주)타임교육,1998-03-01,22년  9개월
,,종로학원하늘교육 학원/센터,(주)하늘교육,1999-11-01,21년  1개월
,,아카데미창,(주)아카데미창,2015-01-15,5년  11개월
,,이투스수학학원,이투스이씨아이(주),2016-11-15,4년  1개월
,,생각하는수학페르마,(주)대교에듀피아,2003-12-01,17년  0개월
,,종로엠스쿨,(주)교육다움,1997-09-01,23년  3개월
,,점프셈교실(공부방),(주)점프교육,2004-07-01,16년  5개월
,,G1230 수학학원,(주)G1230FC,2010-11-05,10년  1개월
,,이투스24/7,이투스이씨아이(주),2015-12-31,5년  0개월
,,점프셈교실(지역본부),(주)점프교육,2004-07-01,16년  5개월
,,아담리즈수학,(주)미래엔에듀케어,2007-04-01,13년  8개월
,,씨앤에이논술,(주)씨앤에이논술,2010-07-01,10년  5개월
,,김샘학원,(주)김샘교육,2010-05-17,10년  7개월
,,클래스케이(CLASSkei),(주)클래스케이,2015-12-01,5년  0개월
,,필아트미술,(주)필아트에듀,2017-12-18,3년  0개월
,,거꾸로수업플립수학,(주)오투라인,2015-07-15,5년  5개월
,,점프셈교실(방문지사),(주)점프교육,2004-07-01,16년  5개월
,,닥터정E클래스,올바른창조(주),2010-12-06,10년  0개월
