브랜드,상호,창업비용
평균,-,"61,882
(1.00)"
BM24,비지니스멘토,"152,300
(2.46)"
이마트24(emart24),(주)이마트24,"118,390
(1.91)"
씨스페이스(C'SPACE),(주)씨스페이시스,"102,180
(1.65)"
알리바이,(주)정석,"98,900
(1.60)"
굿앤굿스,(주)대명코퍼레이션,"95,400
(1.54)"
베스트올,(주)현대씨에스엔,"94,200
(1.52)"
로그인편의점,(유)애플디아이,"90,300
(1.46)"
미니스톱,한국미니스톱(주),"87,200
(1.41)"
하프타임,(주)하프타임,"75,975
(1.23)"
지에스25(GS25),(주)지에스리테일,"72,700
(1.17)"
씨유(CU),(주)비지에프리테일,"72,700
(1.17)"
레몬비,(주)바구니,"66,550
(1.08)"
다판다아이스,다판다25,"63,300
(1.02)"
데이앤데이(day&day),데이앤데이(JW홀딩스),"59,730
(0.97)"
포시즌마트,에프에스로지스틱,"57,200
(0.92)"
마켓101,(주)마켓101,"52,300
(0.85)"
블루25 (Blue25),(주)우린,"52,200
(0.84)"
미스터마트,미스터리테일,"50,600
(0.82)"
스노우마트,(주)드림네트웍스,"49,800
(0.80)"
해빛(Have it),(주)일화로지스,"47,300
(0.76)"
뉴들365 무인편의점카페,(주)뉴들,"46,800
(0.76)"
아이지에이마트,(주)한국아이지에이,"46,300
(0.75)"
365플러스편의점,홈플러스(주),"42,700
(0.69)"
나우고(Nowgo),지엘코리아(주),"42,600
(0.69)"
나우플러스(NOWPLUS),지엘코리아(주),"42,600
(0.69)"
아싸비어,(주)나인팩트,"41,000
(0.66)"
별난동네슈퍼25,(주)동네,"40,720
(0.66)"
쿨샷,쿨샷(coolshot),"40,300
(0.65)"
마마트,(주)피에프그룹,"38,852
(0.63)"
Storyway(스토리웨이),코레일유통(주),"36,012
(0.58)"
응응스크르,응응스크르,"26,650
(0.43)"
세븐일레븐,(주)코리아세븐,"22,700
(0.37)"
Beer&Cream,Beer&Cream,"15,650
(0.25)"
평균,-,"91,155
(1.00)"
백작 by Firenze,(주)아미,"288,700
(3.17)"
더봄한복,더봄한복,"202,500
(2.22)"
꼼므에뚜왈,(주)꼼므에뚜왈코리아,"188,200
(2.06)"
꼬모양품점,꼬모양품점,"180,400
(1.98)"
엠멜란지(M melan. G),(주)엠멜란지,"160,700
(1.76)"
"안녕,피어싱",(주)안녕피어싱,"152,680
(1.67)"
코코블랙부띠크,(주)아이앤씨프랜,"150,900
(1.66)"
메리디움,(주)보화,"142,000
(1.56)"
아모르데헬렌,엘지이홀딩스(주),"122,500
(1.34)"
해리슨테일러,(주)정원어페럴,"104,000
(1.14)"
키로픽(kilopick),(주)쿤인터내셔널,"100,750
(1.11)"
레드아이(REDEYE),(주)지에프라인,"99,750
(1.09)"
제이블랑,(주)제이엘컬렉션,"99,000
(1.09)"
리벨로 테일러샵,(주)벨로벨라,"96,900
(1.06)"
핑크에이지,(주)피에이인터네셔널,"86,950
(0.95)"
폴링(Paul Ring),더폴링,"81,120
(0.89)"
슈슈앤크라,(주)메이블,"78,650
(0.86)"
제나비테일러,제나비테일러인천점,"72,500
(0.80)"
스타갤러리,(주)스타갤러리,"65,900
(0.72)"
보헨,(주)정원어페럴,"65,500
(0.72)"
피그먼트(PIGMENT),(주)케이컴퍼니,"64,600
(0.71)"
allobaby,알로베이비,"63,800
(0.70)"
by.hee,바이희,"62,915
(0.69)"
히어라이크(HERELIKE),(주)좋음,"62,900
(0.69)"
바바라,(주)바바라앤코,"62,800
(0.69)"
쁘띠로아,로아부띠끄(RoaBoutique),"54,900
(0.60)"
제이진옴므,(주)제이진옴므,"52,300
(0.57)"
마마앤코(mamanco),마마앤코,"47,838
(0.52)"
버닝스타,버닝스타,"47,750
(0.52)"
감성아이,감성아이,"44,680
(0.49)"
온베베,온베베,"44,350
(0.49)"
에이치에스룩,에이치에스룩,"40,700
(0.45)"
스윙마젤,(주)더룩스,"39,150
(0.43)"
SUMMAFACE(숨마페이스),감동가발,"22,460
(0.25)"
에이치케이테일러(HKtailor),(주)에이치케이에프엔에프,"19,850
(0.22)"
메리수인,메리수인,"11,000
(0.12)"
평균,-,"118,940
(1.00)"
오웨이(OWAY),(주)보타니그림,"173,150
(1.46)"
더샘,(주)더샘인터내셔날,"160,502
(1.35)"
HOLIKA HOLIKA,엔프라니(주),"152,196
(1.28)"
스킨푸드,(주)스킨푸드,"149,500
(1.26)"
미샤,(주)에이블씨엔씨,"141,000
(1.19)"
세레니끄(CELLENIQUE),(주)코리아나화장품,"136,100
(1.14)"
에뛰드하우스,(주)에뛰드,"133,318
(1.12)"
