브랜드,상호,창업비용
평균,-,"97,255
(1.00)"
어울놀이아카데미앤플레이,(주)어울놀이아카데미앤플레이,"1,124,000
(11.56)"
종로학원,(주)종로학원,"1,010,000
(10.39)"
밤비니교육센터,(주)밤비니교육센터,"323,090
(3.32)"
와이즈만영재교육,(주)창의와탐구,"239,000
(2.46)"
생각하는수학페르마,(주)대교에듀피아,"207,050
(2.13)"
이투스24/7,이투스이씨아이(주),"198,650
(2.04)"
아담리즈수학,(주)미래엔에듀케어,"191,750
(1.97)"
생각하는황소,(주)반올림교육,"190,300
(1.96)"
유투엠(U2M),(주)올림피아드교육,"180,200
(1.85)"
TG교육그룹,(주)잇올,"172,100
(1.77)"
하이스트학원,(주)타임교육,"157,000
(1.61)"
북벅스,큐비컴파니,"138,100
(1.42)"
역전타에듀학원,이루다교육,"131,600
(1.35)"
김샘학원,(주)김샘교육,"120,450
(1.24)"
밸런스브레인학습,(주)편두리,"117,310
(1.21)"
발자국 소리가 큰아이들,발자국소리가큰아이들미술학원,"111,112
(1.14)"
강의하는아이들,(주)오투라인,"110,210
(1.13)"
종로엠스쿨,(주)교육다움,"103,000
(1.06)"
위니드수학학원,위니드교육,"99,800
(1.03)"
닥터정E클래스,올바른창조(주),"99,000
(1.02)"
창의사고의 명품 하이츠,(주)데우스홀딩스,"97,950
(1.01)"
SJM 선재수학학원,(주)선재교육,"85,870
(0.88)"
공터영어,(주)공터영어,"85,500
(0.88)"
분더수학,분더수학,"83,000
(0.85)"
공부와책,(주)행복한교육이야기,"75,100
(0.77)"
책읽기와 글쓰기 리딩엠,(주)리딩엠,"73,700
(0.76)"
뉴스터디교육,(주)타임교육,"73,200
(0.75)"
분더잉글리쉬,분더잉글리쉬학원,"73,000
(0.75)"
클래스케이(CLASSkei),(주)클래스케이,"70,700
(0.73)"
수학의힘,(주)피오엠교육,"68,870
(0.71)"
큐리매쓰,(주)마일스톤,"68,000
(0.70)"
미래지티아카데미,(주)미래영재아카데미,"66,500
(0.68)"
케이튜터수학학원,(주)케이수학,"65,800
(0.68)"
거꾸로수업플립수학,(주)오투라인,"64,610
(0.66)"
독해랑창의랑,(주)메타스콜레,"63,250
(0.65)"
소마사고력수학,(주)타임교육,"60,500
(0.62)"
꼬마작가들의 감성놀이터,꼬마작가들의감성놀이터미술교습소,"58,550
(0.60)"
튜터피디아(TUTORPEDIA),(주)에듀뮤즈,"57,750
(0.59)"
ICE 고려대학교 창의융합교육 프로그램,케이유네트웍스(주),"51,150
(0.53)"
이투스수학학원,이투스이씨아이(주),"49,000
(0.50)"
필즈더클래식,(주)매쓰러닝,"44,000
(0.45)"
해법공부방,(주)해법에듀,"35,970
(0.37)"
셀파수학교실,(주)해법에듀,"35,070
(0.36)"
재능스스로러닝센터,(주)재능교육,"30,655
(0.32)"
씨앤에이논술,(주)씨앤에이논술,"25,300
(0.26)"
점프셈교실(지역본부),(주)점프교육,"23,100
(0.24)"
엠베스트SE,메가스터디교육(주),"22,665
(0.23)"
한솔교육국어수학지사,(주)한솔교육,"21,000
(0.22)"
필아트미술,(주)필아트에듀,"19,880
(0.20)"
기파랑문해원,(주)국풀교육,"16,720
(0.17)"
국풀국어전문학원,(주)국풀교육,"16,500
(0.17)"
장원교육,(주)장원교육,"13,932
(0.14)"
G1230 수학학원,(주)G1230FC,"12,980
(0.13)"
아카데미창,(주)아카데미창,"10,000
(0.10)"
이씨엔교육,(주)이씨엔교육,"9,600
(0.10)"
점프셈교실(방문지사),(주)점프교육,"9,200
(0.09)"
아이생각,비고츠키아이생각,"5,160
(0.05)"
종로학원하늘교육 학원/센터,(주)하늘교육,"5,000
(0.05)"
차수학,(주)세븐앤컴퍼니,"4,700
(0.05)"
기탄사고력교실,(주)기탄러닝,"4,500
(0.05)"
점프셈교실(학원),(주)점프교육,"4,300
(0.04)"
셀파우등생교실,(주)해법에듀,"4,002
(0.04)"
조이매스,(주)조이매스,"4,000
(0.04)"
지엠에이(GMA)개념원리러닝센터,(주)개념원리에듀,"3,000
(0.03)"
한솔플러스수학교실,(주)한솔플러스,"2,500
(0.03)"
점프셈교실(공부방),(주)점프교육,"2,480
(0.03)"
비상아이비츠,(주)비상교육,"2,200
(0.02)"
수학여우,(주)모든교육,"1,500
(0.02)"
씨네틱씽크,(주)매쓰씨앤아이,"1,250
(0.01)"
아이북랜드,(주)성원아이북랜드,"1,000
(0.01)"
톡강 멤버스,(주)인디지탈,"0
(0.00)"
평균,-,"155,229
(1.00)"
글로링크어학원,(주)글로링크에듀케이션,"1,077,700
(6.94)"
JLS정상어학원,(주)정상제이엘에스,"677,000
(4.36)"
라이즈어학원,(주)라이즈에듀케이션코리아,"528,000
(3.40)"
표현어학원,표현러닝,"515,000
(3.32)"
아발론잉글리쉬,(주)아발론교육,"455,000
(2.93)"
청담어학원,(주)청담러닝,"447,000
(2.88)"
폴리어학원,(주)코리아폴리스쿨,"437,600
(2.82)"
에스엘피영어학당,(주)서강교육그룹,"434,750
(2.80)"
이야스콜라,(주)이야에듀,"419,200
(2.70)"
랭콘잉글리쉬,(주)아발론교육,"418,000
(2.69)"
에이프릴어학원,(주)청담러닝,"413,600
(2.66)"
엘란어학원,(주)타임교육,"398,000
(2.56)"
헬렌도론(Helen Doron),헬렌도론코리아(주),"381,000
(2.45)"
청담아이가르텐,(주)청담러닝,"374,000
(2.41)"
토피아어학원,토피아에듀케이션(주),"370,000
(2.38)"
리딩스타학원,리딩스타(주),"357,500
(2.30)"
힐사이드컬리지잇 주니어,(주)이야에듀,"342,200
(2.20)"
에스엔티어학원(SNT어학원),쇼앤텔교육,"326,996
(2.11)"
정철어학원,정철연구소,"314,600
(2.03)"
리딩타운어학원,(주)리딩월드,"289,970
(1.87)"
프랜시스파커컬리지잇,(주)교원위즈,"288,300
(1.86)"
민병철스피킹웍스,(주)민병철스피킹웍스,"287,990
(1.86)"
엠폴리어학원,(주)코리아폴리스쿨,"281,000
(1.81)"
블루스프링스 어학원,(주)블루스프링스,"269,830
(1.74)"
이엘씨어학원(ELC어학원),(주)타임교육,"266,800
(1.72)"
메이플베어,(주)메이플베어코리아,"264,890
(1.71)"
프라이드J어학원,(주)프라이드에듀,"256,950
(1.66)"
이씨씨(ECC),(주)와이비엠넷,"244,700
(1.58)"
원더랜드,퀘스트아카데미(주),"237,100
(1.53)"
정철어학원주니어,(주)정철어학원주니어,"215,600
(1.39)"
루체테어학원,잉글리쉬윙(주),"203,000
(1.31)"
에프티케이잉글리쉬(FTK English),(주)맥스교육,"186,500
(1.20)"
CL어학원,(주)유베스타,"182,000
(1.17)"
토브,(주)토브구문정독어학원,"180,000
(1.16)"
쉐인어학원,쉐인어학원,"174,000
(1.12)"
한국외국어대학교 외대어학원,(주)외대어학연구소,"172,000
(1.11)"
이노블스(enovels),(주)이노블스,"151,150
(0.97)"
제임스리딩,제임스영어교육,"148,050
(0.95)"
리틀팍스어학원,(주)리틀팍스,"144,000
(0.93)"
MILC Learning(밀크러닝),(주)리딩타운,"141,900
(0.91)"
아이보람,아이보람(주),"131,544
(0.85)"
헤럴드스쿨,(주)헤럴드아카데미,"131,450
(0.85)"
와이즈리더,(주)원윤,"128,450
(0.83)"
튼튼영어베이비리그,(주)튼튼영어,"124,600
(0.80)"
리드101,(주)리드엔,"124,300
(0.80)"
잉글리시에그,(주)잉글리시에그,"123,500
(0.80)"
CIE 어학원(씨아이이어학원),어세스먼트코리아,"123,354
(0.79)"
큰소리영어,(주)큰소리영어,"118,800
(0.77)"
오감랭귀지,오감에듀,"111,100
(0.72)"
이아이이(EiE) 고려대학교 국제어학원 영어교육 프로그램,(주)코리아이앤피,"109,500
(0.71)"
아이비탑리딩,(주)아탑교육,"103,250
(0.67)"
페디아플러스,(주)인터파크씨엔이,"101,800
(0.66)"
드림키오,(주)드림키오,"96,965
(0.62)"
JSLC,제이에스러닝,"96,680
(0.62)"
헤이스쿨스,필랜드에듀(주),"90,338
(0.58)"
센트럴1 리딩클럽,(주)센클교육,"87,120
(0.56)"
리마커블 잉글리시,(주)리마커블교육,"85,990
(0.55)"
헤더잉글리쉬,(주)헤럴드아카데미,"85,800
(0.55)"
윤선생아이지에스이아카데미(윤선생 IGSE Academy),(주)이이씨엘리트,"83,197
(0.54)"
윤선생영어숲,(주)이이씨엘리트,"83,197
(0.54)"
아토리,(주)삼성교육,"79,300
(0.51)"
패럴랙스학원,지앤비교육(주),"78,400
(0.51)"
지앤비어학원(GnB어학원),지앤비교육(주),"78,400
(0.51)"
헤럴드NIE,(주)헤럴드아카데미,"72,600
(0.47)"
팬그램,(주)러닝앤코,"72,600
(0.47)"
"초,중등 영어전문 YBM잉글루",(주)와이비엠넷,"72,000
(0.46)"
코렘어학원,(주)코렘에듀,"68,300
(0.44)"
씬씬중국어학원,지앤비교육(주),"66,000
(0.43)"
YBM교육 학습지지사,(주)와이비엠교육,"64,100
(0.41)"
토킹클럽,(주)더블유에프엠,"63,800
(0.41)"
블루플래닛,(주)블루플래닛,"61,290
(0.39)"
클루빌러닝센터,(주)청담러닝,"60,750
(0.39)"
파고다주니어,(주)파고다에스씨에스,"54,000
(0.35)"
리딩리더 아카데미,(주)리딩리더,"50,380
(0.32)"
튼튼영어마스터클럽,(주)튼튼영어,"44,800
(0.29)"
유니랭스,유니랭스,"44,000
(0.28)"
윤선생영어교실,(주)이이씨엘리트,"42,000
(0.27)"
잉글리시아이(englisheye),(주)비상교육,"40,800
(0.26)"
로제타스톤,로제타스톤코리아(유),"36,500
(0.24)"
플라이 잉글리쉬(FLY English),(주)야미교육,"36,100
(0.23)"
캉가잉글리쉬,(주)엘포트,"35,200
(0.23)"
삼성영어,(주)삼성출판사,"32,500
(0.21)"
잉글리쉬무무,(주)잉글리쉬무무,"31,600
(0.20)"
잉디사고력영어,잉디에듀케이션,"30,460
(0.20)"
고래영어,새김교육(주),"29,370
(0.19)"
NE능률 주니어랩,(주)엔이능률,"25,650
(0.17)"
3030영어,(주)3030영어,"24,000
(0.15)"
토마스잉글리시,중앙지엔이(주),"22,700
(0.15)"
키즈엔리딩,키즈엔리딩,"22,330
(0.14)"
3030키즈,(주)3030영어,"22,200
(0.14)"
한솔교육영어지사,(주)한솔교육,"21,000
(0.14)"
아이티씨통역스쿨,(주)아이티씨교육,"19,300
(0.12)"
라하잉글리시,(주)루크러닝,"17,600
(0.11)"
토킹스타,(주)와이젠스쿨,"15,990
(0.10)"
S&Writing,(주)G1230FC,"12,650
(0.08)"
YBM리딩클럽,(주)와이비엠교육,"12,000
(0.08)"
YBM홈스쿨,(주)와이비엠교육,"12,000
(0.08)"
해법영어교실,(주)해법에듀,"11,459
(0.07)"
한솔플러스영어,(주)한솔플러스,"11,259
(0.07)"
해법중국어교실,(주)해법에듀,"9,448
(0.06)"
윤선생 우리집앞 영어교실,(주)마일스톤,"9,086
(0.06)"
와이비엠리더스(YBM리더스),(주)와이비엠넷,"8,400
(0.05)"
ERC영어독서클럽,(주)스토리에듀,"6,800
(0.04)"
유앤아이(YOU&I) 어학원,(주)위즈에듀케이션,"6,500
(0.04)"
맘스영어독서클럽,(주)맘스영어독서클럽,"5,706
(0.04)"
웰이스턴,(주)마이멘토,"5,000
(0.03)"
뮤엠영어,(주)뮤엠교육,"4,500
(0.03)"
루시드영어,㈜루시드,"3,810
(0.02)"
프렌잉글리시,(주)개념원리에듀,"3,800
(0.02)"
차이랑중국어,(주)파고다에스씨에스,"3,000
(0.02)"
평균,-,"114,895
(1.00)"
아카데미 디아랑,대유코퍼레이션,"1,045,500
(9.10)"
킨더슐레,(주)프렌비,"712,750
(6.20)"
써브마린,써브마린,"494,800
(4.31)"
아이잼,(주)아이잼,"451,000
(3.93)"
위버지니어스,(주)미래엔에듀케어,"417,017
(3.63)"
우지은더블유스피치,(주)더블유스피치커뮤니케이션,"412,020
(3.59)"
아름다운사람들,(주)에이치앤에스이노베이션,"410,000
(3.57)"
잼실용음악학원,(주)잼실용음악학원,"365,500
(3.18)"
루켄(LOOKEN),루켄에듀플러스,"334,400
(2.91)"
키즈 더 위즈,더위즈영재교육놀이학원,"317,900
(2.77)"
밸런스브레인,(주)편두리,"316,900
(2.76)"
렌쥴리킨더,(주)렌쥴리에듀테인먼트,"316,800
(2.76)"
디랩코딩,(주)디랩,"316,480
(2.75)"
지니포레,(주)뫼비우스,"313,000
(2.72)"
아이슐레,(주)뫼비우스,"313,000
(2.72)"
집중소,(주)인힘,"308,400
(2.68)"
케이에이지이영재교육학술원연구실,한국영재교육학술원(주),"278,570
(2.42)"
합격독서실,(주)라움코리아,"277,580
(2.42)"
온맘터치 교육원,온맘터치협동조합,"277,500
(2.42)"
KBS아트비전 미용학원,(주)케이비아트,"264,760
(2.30)"
디플레이스(DPLACE),(주)디플레이스,"263,300
(2.29)"
어린이천문대,(주)아스트로캠프,"262,350
(2.28)"
위드피아레트,위드피아노(주),"255,000
(2.22)"
패스트랙키즈(FasTracKids),(주)맥스교육,"243,200
(2.12)"
토토빌,(주)토토빌키즈,"239,300
(2.08)"
알티오라,(주)러닝앤코,"237,600
(2.07)"
아트파이브,(주)아트체어,"236,000
(2.05)"
마스터플랜,(주)놀숲,"231,600
(2.02)"
하늘을나는그림책,(주)심정민융합교육연구소,"231,000
(2.01)"
피아노리브레,(주)피아노리브레,"225,000
(1.96)"
아뜰리에뷰티아카데미,(주)비즈통상,"223,400
(1.94)"
지트,(주)지트에듀텍엔드네트워크,"221,020
(1.92)"
워너비뷰티아카데미,(주)워너비코퍼레이션,"220,700
(1.92)"
씨엠에스(CMS),(주)씨엠에스에듀,"220,000
(1.91)"
시너지플레이스,(주)도담에프앤비,"216,400
(1.88)"
도도아카데미,(주)소풍엔,"210,270
(1.83)"
위드피아노,위드피아노(주),"205,000
(1.78)"
샘앤플레이스(Sam&Place),(주)오르다코리아,"200,750
(1.75)"
그린컴퓨터아트학원,(주)지아이티아카데미,"193,900
(1.69)"
관리형프리미엄독서실잇올,(주)잇올,"191,500
(1.67)"
고수의 운전면허,(주)제이에프파트너스,"185,730
(1.62)"
토즈 스터디센터,(주)피투피시스템즈,"184,800
(1.61)"
스텔라요가 & 필라테스,도안스텔라요가&필라테스,"184,050
(1.60)"
코앤코뮤직,(주)코앤코,"180,000
(1.57)"
키즈칼리지(KID'S COLLEGE),(주)키즈칼리지,"176,000
(1.53)"
블루닷라운지,(주)크리플레이,"170,000
(1.48)"
아이디어트리,한국영재교육학술원(주),"169,703
(1.48)"
케이에이지이영재심화교실,한국영재교육학술원(주),"169,100
(1.47)"
영재오운동발달센터,(주)임서영영재교육연구소,"166,823
(1.45)"
와이키즈,(주)창의와탐구,"159,300
(1.39)"
토즈스터디랩,(주)피투피시스템즈,"159,300
(1.39)"
쿠겔,쿠겔호르트,"158,000
(1.38)"
이엠파워 근골격운동센터,(주)진스엠파워,"151,000
(1.31)"
솔뫼축구센터,에스에프씨교육지원센터,"149,735
(1.30)"
타우요가,(주)타우요가,"148,350
(1.29)"
밸런스워킹PT,밸런스워킹피티(PT)교육연구소,"145,300
(1.26)"
노블리즈 뷰티아카데미,(주)와이즈뷰티테인먼트,"144,100
(1.25)"
마마몽떼(Mamamonte),마마몽떼(주),"142,005
(1.24)"
비케이스터디카페,(주)비케이스터디카페,"139,600
(1.22)"
씨큐브코딩,(주)씨엠에스에듀,"137,300
(1.20)"
에듀플렉스,넥스큐브코퍼레이션(주),"136,330
(1.19)"
스콜라 몬테소리,(주)스콜라몬테소리,"134,200
(1.17)"
스콜라 몬테소리,(주)스콜라몬테소리,"134,200
(1.17)"
난공불락스파르타,(주)위메스,"132,100
(1.15)"
요미요미(YOMIyomi),(주)요미요미,"129,800
(1.13)"
맛있는스피치,아나운서(주),"128,520
(1.12)"
감성실용음악학원,(주)이씨아이,"123,200
(1.07)"
분더바움,분더교육,"119,000
(1.04)"
그린섬미술학원,(주)그린섬,"118,700
(1.03)"
베베구쯔몬테소리,베베구쯔(주),"118,700
(1.03)"
효전글로벌평생교육원,(주)효전,"117,400
(1.02)"
아츠맘플레이,(주)제이앤디힐링뮤직,"117,200
(1.02)"
키키공방,(주)다솔코리아,"115,300
(1.00)"
브레인나우(BRAINNOW),(주)스칸디에듀,"114,800
(1.00)"
브레노스 매쓰몽(BRENOS MATHMONG),수와북,"114,200
(0.99)"
키즈스피치엠비씨키치,(주)엠비씨아카데미,"108,050
(0.94)"
플레이코딩아카데미(PCA),(주)플레이코딩아카데미,"107,200
(0.93)"
시매쓰,(주)오메가포인트,"106,100
(0.92)"
주니퍼실용음악학원,(주)주니퍼아이엔씨,"105,600
(0.92)"
플래뮤아트센터,(주)플래뮤,"104,050
(0.91)"
브레인스쿨,(주)한솔교육,"103,000
(0.90)"
책읽는미술관,(주)책읽는미술관,"102,410
(0.89)"
탑코딩에듀,(주)에이치비(HB)네트워크,"98,450
(0.86)"
작업실(Zacup실),윌비아트앤매니지먼트(주),"95,872
(0.83)"
필랜드 예술원,필랜드에듀(주),"94,900
(0.83)"
지니코드,지니코드,"87,800
(0.76)"
키즈스피치마루지,(주)에스앤브이,"87,700
(0.76)"
루트원,(주)오메가포인트,"86,100
(0.75)"
로봇과학클럽,한국로봇과학교육협동조합,"79,800
(0.69)"
코딩놀자,더캠트사업본부,"79,040
(0.69)"
드럼메이트(DRUMMATE),드럼메이트,"77,150
(0.67)"
