브랜드,상호,창업비용
평균,-,"309,872
(1.00)"
두반닭,(주)바인인터내셔날,"374,014,740
(1207.00)"
다담뜰 한식뷔페,(주)다담뜰,"678,800
(2.19)"
소플러스,(주)엔조이푸드시스템,"657,162
(2.12)"
하누소,(주)하누소푸드시스템,"624,730
(2.02)"
쌍교숯불갈비,(유)쌍교프라임농업회사법인,"618,226
(2.00)"
날마다대박나는집,(주)명진푸드,"555,500
(1.79)"
날마다대박나는집,(주)명진푸드,"555,500
(1.79)"
불끈낙지,예스람,"445,000
(1.44)"
새벽나주곰탕,(주)보성녹돈,"423,700
(1.37)"
조선갈비실록,(주)이바돔,"421,500
(1.36)"
별미지교,다옴에프엠에스(주),"399,374
(1.29)"
돔베초밥,(유)지민,"398,800
(1.29)"
일편등심,한결,"388,900
(1.26)"
채선당,(주)채선당,"379,280
(1.22)"
코다차야,(주)코다,"372,480
(1.20)"
한라담,(주)디딤,"370,800
(1.20)"
별미샤브,다옴에프엠에스(주),"366,317
(1.18)"
가인채,(주)가인채,"357,500
(1.15)"
반주(BANJOO),(주)캘리스코,"342,400
(1.10)"
꽃마름,(주)에스에프에프에스,"331,000
(1.07)"
미소육화,미소육화푸드시스템,"326,710
(1.05)"
더도이종가집돼지국밥,(주)더도이종가집,"319,000
(1.03)"
빛뜰,(주)하나에프씨,"318,000
(1.03)"
임성근 국가공인진갈비,(주)마루벌,"316,900
(1.02)"
마루앤국시,마루앤F/D,"308,100
(0.99)"
샤브애샐러드바,(주)다올에프씨,"304,600
(0.98)"
신포가빈,(주)신포가빈,"302,944
(0.98)"
건강밥상 심마니,(주)엠푸드,"298,700
(0.96)"
갈비명가 궁,(주)지에스이푸드,"298,100
(0.96)"
낙원갈비집,(주)행복을만드는사람들,"294,630
(0.95)"
갈비만,찰만f&c,"283,500
(0.91)"
개정,(주)동원기업,"283,000
(0.91)"
보리밥보쌈전문점보릿골,(주)브이오비(VOB),"279,400
(0.90)"
길성이,(주)길성이,"277,120
(0.89)"
만파식적,(주)만파식적,"276,900
(0.89)"
만수미당,(주)새모양에프앤비,"276,400
(0.89)"
달빛에구운고등어,(주)새모양에프앤비,"276,400
(0.89)"
돈까스잔치,(주)에프씨천상,"273,400
(0.88)"
아라쭈꾸미,(주)리온코리아,"271,125
(0.87)"
