브랜드,상호,창업비용
평균,-,"113,974
(1.00)"
쿠우쿠우,(주)쿠우쿠우,"822,000
(7.21)"
스시메이진,(주)와이엔에스홀딩스,"808,600
(7.09)"
바르미스시뷔페,(주)즐거운세상,"587,800
(5.16)"
나무새다이닝,라움메이드(주),"514,625
(4.52)"
사보텐,(주)캘리스코,"325,200
(2.85)"
스시민,(주)쉐푸드,"303,050
(2.66)"
2in샤브,투인샤브,"299,800
(2.63)"
마루요시,(주)에스앤피프렌차이즈,"293,900
(2.58)"
봄초밥여름소바,(주)새모양에프앤비,"276,100
(2.42)"
상무초밥,(주)에스앤피프렌차이즈,"272,450
(2.39)"
하나샤브샤브,(주)씨앤피물류,"262,600
(2.30)"
이태원천상,(주)에프씨천상,"244,600
(2.15)"
마루가메제면,(주)토리돌코리아,"225,450
(1.98)"
코나야,(주)세진푸드,"225,000
(1.97)"
한냐마켓또,한냐마켓또,"220,950
(1.94)"
맛소우,(주)이밥스,"216,400
(1.90)"
도쿄이찌바,(주)제이알에프앤씨,"209,200
(1.84)"
쿠시마사,(주)쿠시마사,"208,500
(1.83)"
타키,타키(서래마을점),"206,850
(1.81)"
삼미식당,(주)원앤원에프앤비,"202,950
(1.78)"
토끼정,(주)에스앤에스코퍼레이션,"201,100
(1.76)"
스시선 회전초밥천원 전문점,스시선가맹본부,"194,400
(1.71)"
기소야,(주)공영식품,"183,800
(1.61)"
멘타로,(주)공영식품,"183,800
(1.61)"
스시다이닝준,(주)디엔인터내셔널,"182,300
(1.60)"
가월돈까스,가월돈까스,"172,800
(1.52)"
카츠탄탄,카츠탄탄(TheTANTAN),"169,750
(1.49)"
대한독도회수산,이엘피코리아,"167,400
(1.47)"
미스터스시,(주)해운대엠에스,"166,300
(1.46)"
겐우동,(주)페이머스,"163,600
(1.44)"
가츠라(桂),(주)니혼푸드빌,"163,050
(1.43)"
본까쓰,(주)본푸드시스템,"158,467
(1.39)"
키햐아,㈜의기투합충청,"158,000
(1.39)"
돈돈정,(주)제이에스푸드컴퍼니,"157,000
(1.38)"
온기정,(주)팬아시아다인힐,"156,050
(1.37)"
만뽀 스키야키,(주)만뽀당,"154,600
(1.36)"
키무카츠,㈜키무카츠아시아,"150,400
(1.32)"
스시오블랙컨테이너,(주)제이알인터내셔널,"147,070
(1.29)"
