브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,67.0,2.0,3.0,2.0,3.0,"265,624
(1.00)","20,605
(4.00)"
정관장,(주)한국인삼공사,753,1,0,3,36,"572,089
(2.15)","34,637
(0.13)"
초록마을,(주)초록마을,302,23,47,28,22,"370,522
(1.39)","22,231
(0.08)"
한삼인,(주)농협홍삼,89,2,8,0,4,"89,402
(0.34)","24,003
(0.09)"
홍삼나라,홍삼나라(주),24,0,0,4,0,"0
(0.00)","0
(0.00)"
현미마을,(주)현미마을,20,0,0,0,0,"0
(0.00)","0
(0.00)"
에코푸드시스템,(주)에코푸드시스템,14,14,0,0,1,"0
(0.00)","0
(0.00)"
진삼가,(주)진삼,10,3,0,3,0,"30,485
(0.11)","1,550
(0.01)"
진성엽의 진가네반찬,(주)진가네,4,0,0,0,0,"0
(0.00)","0
(0.00)"
착한차가,(주)착한차가,2,0,0,0,0,"0
(0.00)","0
(0.00)"
해콩,해콩,2,0,0,0,0,"0
(0.00)","0
(0.00)"
집쿡마켓,(주)디딤,0,0,0,0,0,"0
(0.00)","0
(0.00)"
간식여왕,간식여왕,0,0,0,0,0,"0
(0.00)","0
(0.00)"
방콕,㈜바로푸드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
삼대인,백제홍삼(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
약석원,(주)약석원농업회사법인,0,0,0,0,0,"0
(0.00)","0
(0.00)"
삼마5쾌,(주)삼마,0,0,0,0,0,"0
(0.00)","0
(0.00)"
허브앤씨드(Herbs&Seeds),허브앤씨드(Herbs&Seeds),0,0,0,0,0,"0
(0.00)","0
(0.00)"
잇다가게X셰프반찬,(주)페이즈커뮤,0,0,0,0,0,"0
(0.00)","0
(0.00)"
