브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,31,3,0,1,1,"449,521
(1.00)","14,680
(2.22)"
롯데칠성음료,롯데칠성음료(주),874,46,41,0,35,"418,360
(0.93)","5,688
(0.01)"
알파,알파(주),667,36,21,0,11,"315,790
(0.70)","5,126
(0.01)"
다이소,(주)아성다이소,464,32,12,27,28,"1,106,211
(2.46)","11,296
(0.03)"
풀무원녹즙,㈜풀무원녹즙,400,19,0,3,41,"310,033
(0.69)","19,520
(0.04)"
드림디포,(주)드림디포,322,8,0,6,10,"595,631
(1.33)","8,840
(0.02)"
풀무원(냉장),풀무원식품(주),291,27,1,18,0,"954,943
(2.12)","0
(0.00)"
풀무원샘물,풀무원샘물(주),256,9,0,15,0,"73,427
(0.16)","0
(0.00)"
자연드림,(주)농업법인쿱스토어,205,10,0,0,2,"2,114,322
(4.70)","11,487
(0.03)"
풀무원(냉동),풀무원식품(주),203,28,1,13,0,"135,558
(0.30)","0
(0.00)"
풀무원로하스,풀무원건강생활(주),177,8,0,19,0,"340,525
(0.76)","9,566
(0.02)"
떡보의하루,(주)떡파는사람들,148,5,0,4,7,"167,729
(0.37)","12,361
(0.03)"
오레시피,(주)도들샘,146,17,20,17,20,"118,368
(0.26)","11,060
(0.02)"
참다한홍삼,(주)지씨바이오,118,6,2,7,1,"180,589
(0.40)","14,093
(0.03)"
오피스디포(Office DEPOT),(주)오피스디포코리아,113,7,0,10,2,"862,341
(1.92)","12,108
(0.03)"
YANKEE CANDLE(양키캔들),(주)아로마무역,110,3,12,0,0,"181,896
(0.40)","16,507
(0.04)"
드림오피스,(주)드림오피스,98,3,0,8,2,"400,809
(0.89)","8,873
(0.02)"
국선생,(주)홈스푸드,82,22,20,1,4,"232,981
(0.52)","21,073
(0.05)"
푸드머스(KIDS),(주)푸드머스,82,9,0,7,0,"1,947,280
(4.33)","88,288
(0.20)"
이원건강의료기,(주)이원건강의료기,70,8,0,7,1,"71,547
(0.16)","5,118
(0.01)"
푸드머스(SL),(주)푸드머스,65,0,0,0,0,"1,809,204
(4.02)","24,648
(0.05)"
펫마트,(주)선진펫,65,8,0,4,3,"560,718
(1.25)","7,424
(0.02)"
골드쉘,(주)한국금거래소쓰리엠,58,4,0,1,1,"1,972,315
(4.39)","132,516
(0.29)"
코코래빗,코코래빗,58,7,2,0,4,"0
(0.00)","0
(0.00)"
델리퀸,(주)델리퀸,57,3,0,3,6,"280,605
(0.62)","12,602
(0.03)"
오피스웨이,(주)오피스디포코리아,53,1,0,0,1,"532,303
(1.18)","13,727
(0.03)"
오피스웨이,㈜오피스디포코리아,53,1,0,0,1,"532,303
(1.18)","13,727
(0.03)"
오피스넥스(officenex),(주)오피스넥스,52,3,0,1,1,"975,338
(2.17)","11,263
(0.03)"
소녀폰중고폰,(주)케이에이씨,50,9,0,3,7,"59,014
(0.13)","4,333
(0.01)"
슈올즈,(주)슈올즈,48,21,5,10,0,"121,210
(0.27)","7,861
(0.02)"
아프리카(AFRICA),(주)아프리카,45,4,0,2,9,"418,109
(0.93)","27,457
(0.06)"
내추럴하우스바이올가,(주)올가홀푸드,45,11,0,17,1,"219,315
(0.49)","14,419
(0.03)"
미니골드,(주)혼,44,0,2,0,0,"468,649
(1.04)","47,220
(0.11)"
오렌지팟,에프지파아란,42,3,5,0,2,"129,124
(0.29)","9,292
(0.02)"
썬라이더(SUNRIDER),썬라이더코리아(주),42,1,0,2,0,"324,028
(0.72)","27,287
(0.06)"
오피스알파,알파(주),42,0,0,0,1,"128,352
(0.29)","1,220
(0.00)"
스위스,(주)보화스위스,40,2,3,2,1,"216,733
(0.48)","51,635
(0.11)"
수재샵,(주)수재,39,19,0,7,0,"74,732
(0.17)","7,184
(0.02)"
모든오피스,(주)모든오피스,38,0,0,4,0,"245,313
(0.55)","5,646
(0.01)"
엔진마을,엔진마을,37,1,1,3,0,"0
(0.00)","0
(0.00)"
현미박사누룽지,(주)보광유니온,37,6,0,3,3,"24,107
(0.05)","5,235
(0.01)"
망고케이스,비욘드텔레콤(주),34,2,8,0,0,"160,774
(0.36)","13,140
(0.03)"
노브랜드,(주)이마트,31,31,0,0,0,"2,703,399
(6.01)","26,564
(0.06)"
아이꿈터,(주)아이꿈터,28,1,0,0,0,"372,562
(0.83)","8,807
(0.02)"
푸드머스(Health & Care),(주)푸드머스,27,18,0,2,0,"502,474
(1.12)","41,622
(0.09)"
이마트에브리데이,(주)이마트에브리데이,24,3,2,2,2,"1,811,041
(4.03)","16,908
(0.04)"
롤로 토바코 샵,원앤유컴퍼니(주),24,24,0,0,0,"0
(0.00)","0
(0.00)"
쑥뜸명가코리아,(주)쑥뜸명가코리아,23,9,0,6,0,"42,443
(0.09)","1,576
(0.00)"
모나미스테이션,(주)모나미,23,0,0,2,0,"52,485
(0.12)","347
(0.00)"
오피스큐(OFFICEQ),(주)오피스큐,23,0,0,4,3,"610,990
(1.36)","10,885
(0.02)"
푸른아이웨어,(주)푸른아이웨어,22,2,1,2,0,"224,636
(0.50)","5,667
(0.01)"
닭찬들마켓,(주)모하계,21,21,0,0,2,"667,456
(1.48)","23,839
(0.05)"
판다팜,(주)판다팜,20,20,0,0,0,"0
(0.00)","0
(0.00)"
캠핑트렁크,(주)더캠트,19,6,0,1,0,"1,062,657
(2.36)","18,886
(0.04)"
링코,(주)링코제일,19,0,0,1,1,"375,465
(0.84)","12,112
(0.03)"
캠핑고래,(주)캠핑고래,18,18,0,0,0,"0
(0.00)","0
(0.00)"
튀봉이의 뻥튀기공작소,(주)진성앤푸드원,16,16,0,0,0,"0
(0.00)","0
(0.00)"
제노아트,제노F&C,16,0,0,0,0,"0
(0.00)","0
(0.00)"
아트박스(ARTBOX),(주)아트박스,16,0,2,2,0,"444,279
(0.99)","13,489
(0.03)"
폰스타일,(주)폰스타일,16,1,7,0,4,"89,085
(0.20)","14,694
(0.03)"
요미독,(주)펫펏,15,15,0,0,0,"131,737
(0.29)","4,204
(0.01)"
쉐프엠,(주)엠디에스코리아,15,8,0,3,0,"295,024
(0.66)","22,265
(0.05)"
족발슈퍼,제이케이컴퍼니,15,15,0,0,0,"0
(0.00)","0
(0.00)"
PRABEAN,(주)프라빈,14,1,0,3,1,"228,203
(0.51)","8,844
(0.02)"
두가지떡볶이,두가지컴퍼니,14,14,0,0,0,"163,949
(0.36)","14,475
(0.03)"
버드소리,(주)바름,13,7,0,1,1,"131,062
(0.29)","3,306
(0.01)"
두툼이생고기,두투미푸드,13,6,3,2,0,"396,316
(0.88)","8,185
(0.02)"
봉구의간식,(주)한군컴퍼니,12,4,0,0,0,"0
(0.00)","0
(0.00)"
LOOK STORE,(주)룩스토어안경체인,11,3,0,3,0,"231,912
(0.52)","11,595
(0.03)"
캔들나무,(주)홍일,11,0,0,16,0,"43,850
(0.10)","3,955
(0.01)"
맘스맘,(주)맘스맘,11,0,0,6,0,"0
(0.00)","0
(0.00)"
맛샘,(주)맛샘,11,0,0,0,0,"0
(0.00)","0
(0.00)"
커버박스,(주)커버박스,11,6,0,0,2,"367,953
(0.82)","15,785
(0.04)"
과일을 담다,과일을담다,10,7,0,0,0,"0
(0.00)","0
(0.00)"
벤자민무어페인트(Benjamin Moore Paints),한국벤자민무어페인트(주),10,2,0,1,1,"504,466
(1.12)","12,048
(0.03)"
반지더하기,(주)더만듦,10,0,2,0,0,"94,729
(0.21)","5,920
(0.01)"
펫월드,(주)AL네트웍스,10,1,0,1,0,"239,963
(0.53)","2,918
(0.01)"
중고폰 브라더스,행복미디어,10,2,0,8,0,"35,774
(0.08)","4,099
(0.01)"
커버스토리,(주)이오피스코리아,10,0,0,0,0,"8,332
(0.02)","1,345
(0.00)"
푸르맘찬,농업회사법인(주)푸르맘찬,9,0,5,0,0,"228,514
(0.51)","17,806
(0.04)"
폰사닷컴,(주)성화컴퍼니,9,0,1,7,0,"30,440
(0.07)","3,044
(0.01)"
부뚜막애순두부,정진에프엔비(F&B),8,2,2,0,0,"265,024
(0.59)","10,431
(0.02)"
토이아울렛,(주)포유키즈,8,2,3,0,0,"338,152
(0.75)","3,276
(0.01)"
위니비니,위니비니코리아(주),7,0,0,1,0,"146,518
(0.33)","20,541
(0.05)"
펍큐(PUBCUE),(주)라이또에프앤씨,7,7,0,0,0,"0
(0.00)","0
(0.00)"
판도라,(주)메가마트,7,1,0,0,0,"57,931
(0.13)","1,181
(0.00)"
한토이,(주)한국토이즈,7,0,0,1,0,"870,063
(1.94)","4,349
(0.01)"
이끌림,청농팜(주),6,1,0,0,0,"108,239
(0.24)","16,928
(0.04)"
반지대학,기쁜소리컴퍼니,6,0,1,0,0,"92,054
(0.20)","3,423
(0.01)"
스타베이프(star vape),(주)드림라이너,6,6,0,0,0,"0
(0.00)","0
(0.00)"
아담하다(A:DAMHADA),아담하다,6,5,0,0,0,"0
(0.00)","0
(0.00)"
앵거스박(Anguspark),(주)피엠플레이스,6,2,0,1,0,"896,726
(1.99)","18,943
(0.04)"
반조애(VANZOE),(주)더셀렉티브,6,6,0,0,0,"642,873
(1.43)","5,686
(0.01)"
앵거스박(Anguspark),(주)피엠플레이스,6,2,0,1,0,"896,726
(1.99)","18,943
(0.04)"
꿈을만드는공방,위클리컨셉,5,0,0,0,0,"26,592
(0.06)","5,286
(0.01)"
빙고샵,(주)에스디푸드빙고샵,5,0,0,1,0,"172,180
(0.38)","15,440
(0.03)"
나나니스캔디,스윗드림,5,0,1,0,0,"57,549
(0.13)","3,029
(0.01)"
생활애,좋은세상협동조합,5,0,4,0,0,"244,578
(0.54)","6,982
(0.02)"
데일리와인,(주)데일리마켓,5,1,0,0,0,"0
(0.00)","0
(0.00)"
링플레이트(Ring Plate),링플레이트,5,1,0,0,0,"0
(0.00)","0
(0.00)"
더펫(The Pet),(주)티피코리아,5,1,0,0,0,"844,921
(1.88)","5,347
(0.01)"
은가비,(주)은빛,4,4,0,0,0,"0
(0.00)","0
(0.00)"
아토즈캠핑,(주)아토즈플랜,4,1,0,0,0,"0
(0.00)","0
(0.00)"
꽃블리,블리컴퍼니,4,4,0,0,0,"0
(0.00)","0
(0.00)"
미니소,(주)퍼스트인사이트,3,0,0,13,0,"0
(0.00)","0
(0.00)"
텐바이텐,(주)텐바이텐,3,0,0,0,0,"283,883
(0.63)","10,341
(0.02)"
학사농장,영농조합법인학사농장,3,1,0,0,0,"0
(0.00)","0
(0.00)"
로즈데코,로즈데코,3,2,0,0,0,"0
(0.00)","0
(0.00)"
애플몽키,애플몽키,3,3,0,0,0,"0
(0.00)","0
(0.00)"
딩동,제이디아이엔씨(주),3,0,0,0,0,"0
(0.00)","0
(0.00)"
디씨90안경,디씨90안경체인(주),3,3,0,0,0,"0
(0.00)","0
(0.00)"
LIBERTE(리베흐테),리베흐테(Liberte),2,1,0,0,0,"0
(0.00)","0
(0.00)"
달달상자,달달상자,2,2,0,0,0,"0
(0.00)","0
(0.00)"
지구별함께가게,함께하는그날협동조합,2,2,0,0,0,"0
(0.00)","0
(0.00)"
블랙샤인,블랙샤인명동본점,1,0,0,0,0,"0
(0.00)","0
(0.00)"
이노메싸,(주)이노메싸,1,1,0,0,0,"0
(0.00)","0
(0.00)"
엄마노리,엄마노리,1,0,0,0,0,"0
(0.00)","0
(0.00)"
토이강정,(주)인왕,1,0,0,0,0,"0
(0.00)","0
(0.00)"
헬로앨리스마켓24,(주)모숨리테일,1,1,0,0,0,"0
(0.00)","0
(0.00)"
펫그램,펫그램,1,1,0,0,0,"0
(0.00)","0
(0.00)"
밀레쥬(Mille Zoo),(주)밀레펫,1,0,0,0,0,"0
(0.00)","0
(0.00)"
크린디포,크린디포,1,0,0,0,0,"0
(0.00)","0
(0.00)"
레드망고,릴레이인터내셔널(주),1,0,0,0,1,"393,506
(0.88)","19,675
(0.04)"
MK,(주)엠케이,0,0,0,0,0,"0
(0.00)","0
(0.00)"
아로마갤러리,대원아로마,0,0,0,0,0,"0
(0.00)","0
(0.00)"
함지박,해닮,0,0,0,0,0,"0
(0.00)","0
(0.00)"
명동김치,명동김치,0,0,0,0,0,"0
(0.00)","0
(0.00)"
다르지오(DARUGIO),(주)다르지오,0,0,0,0,0,"0
(0.00)","0
(0.00)"
농협홀푸드,(주)농협홍삼,0,0,0,0,0,"0
(0.00)","0
(0.00)"
위드어썸,숟가락젓가락들고위드어썸,0,0,0,0,0,"0
(0.00)","0
(0.00)"
TV&TV(티비앤티비),(주)티비앤티비바이오,0,0,0,0,0,"0
(0.00)","0
(0.00)"
클리어창,(유)클리어창,0,0,0,0,0,"0
(0.00)","0
(0.00)"
아프로디테코리아,(주)아프로디테코리아,0,0,0,0,0,"0
(0.00)","0
(0.00)"
꿈꾸는방,(주)더아쿠아,0,0,0,0,0,"0
(0.00)","0
(0.00)"
비비히어링,비비소비자(협),0,0,0,0,0,"0
(0.00)","0
(0.00)"
전국열쇠공사,(주)전국열쇠공사,0,0,0,0,0,"0
(0.00)","0
(0.00)"
모닝글로리,(주)모닝글로리,0,0,0,0,0,"0
(0.00)","0
(0.00)"
티케,(주)성박,0,0,0,0,0,"0
(0.00)","0
(0.00)"
노마진아이스크림할인점,노마진유통,0,0,0,0,0,"0
(0.00)","0
(0.00)"
모셀두피항노화센터,(주)모셀,0,0,0,0,0,"0
(0.00)","0
(0.00)"
식스에비뉴,(주)부흥,0,1,0,1,0,"0
(0.00)","0
(0.00)"
맘앤팜,(주)지엔에스엠엔에프,0,0,0,0,0,"0
(0.00)","0
(0.00)"
바이셀폰,바이셀폰,0,0,0,0,0,"0
(0.00)","0
(0.00)"
착한아이스크림 할인점,(주)착한유통,0,0,0,0,0,"0
(0.00)","0
(0.00)"
굿샵,(주)굿샵,0,0,0,0,0,"0
(0.00)","0
(0.00)"
맥아더마트,맥아더,0,0,0,0,0,"0
(0.00)","0
(0.00)"
찡어쌀롱,찡어쌀롱,0,0,0,0,0,"0
(0.00)","0
(0.00)"
에어바이킹,(주)에어바이킹,0,0,0,0,0,"0
(0.00)","0
(0.00)"
설탕텔레콤,(주)평강솔루션,0,0,0,0,0,"0
(0.00)","0
(0.00)"
생채움,(주)에스앤푸드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
내맘대로다꾸다꾸,(주)더만듦,0,0,0,0,0,"0
(0.00)","0
(0.00)"
가위이야기,(주)가위이야기,0,0,0,0,0,"0
(0.00)","0
(0.00)"
에이엠스쿨,에이엠스쿨,0,0,0,0,0,"0
(0.00)","0
(0.00)"
굿포유(Good for you),(주)다옴케이,0,0,0,0,0,"0
(0.00)","0
(0.00)"
유킹,(주)유킹,0,0,0,0,0,"0
(0.00)","0
(0.00)"
핑거네일투고,(주)핑거네일투고,0,0,0,0,0,"0
(0.00)","0
(0.00)"
홈플러스익스프레스,홈플러스(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
락앤락플러스(LOCK&LOCK PLUS),(주)락앤락,0,0,0,0,0,"0
(0.00)","0
(0.00)"
정갈한찬,정갈한찬,0,0,0,0,0,"0
(0.00)","0
(0.00)"
닭찬들마켓,(주)유익상사,0,0,0,0,0,"0
(0.00)","0
(0.00)"
도깨비냉장고 아이스크림할인점,도깨비냉장고아이스크림할인점본점,0,0,0,0,0,"0
(0.00)","0
(0.00)"
박승철위그스투디오,(주)박승철위그랩,0,0,0,0,0,"0
(0.00)","0
(0.00)"
생활방역의시작 와사비안카페,(주)브니엘월드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
썰다,썰다,0,0,0,0,0,"0
(0.00)","0
(0.00)"
공찬,(주)이음글로비즈,0,0,0,0,0,"0
(0.00)","0
(0.00)"
아이캔비어,아이캔비어,0,0,0,0,0,"0
(0.00)","0
(0.00)"
De:pado,(주)용감한친구들,0,0,0,0,0,"0
(0.00)","0
(0.00)"
건축자재 & 門 편의점,건축자재&門편의점,0,0,0,0,0,"0
(0.00)","0
(0.00)"
오독오독,(주)오독오독,0,0,0,0,0,"0
(0.00)","0
(0.00)"
미니스피어싱,(주)엠케이스페스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
보리네 엠플러스,보리네협동조합,0,0,0,0,0,"0
(0.00)","0
(0.00)"
통구 지하철알뜰폰,(주)통구,0,0,0,0,0,"0
(0.00)","0
(0.00)"
멜랑주,제이앤비(J&B)하우스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
스마트폰면세점,스마트폰면세점,0,0,0,0,0,"0
(0.00)","0
(0.00)"
마켓올닭,(주)계발자들,0,0,0,0,0,"0
(0.00)","0
(0.00)"
PLAIN BRAND(플레인브랜드),(주)플레인브랜드리테일,0,0,0,0,0,"0
(0.00)","0
(0.00)"
까까주까,(주)아이스타,0,0,0,0,0,"0
(0.00)","0
(0.00)"
케이앤에스(KNS),(주)케이앤에스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
"그날, 간식","그날,간식",0,0,0,0,0,"0
(0.00)","0
(0.00)"
지담아요(GDAMAYO),(주)담아요,0,0,0,0,0,"0
(0.00)","0
(0.00)"
플다몰,(주)플로드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
THE달달,(주)트러스트,0,0,0,0,0,"0
(0.00)","0
(0.00)"
아이스테이션,(주)토마토디앤씨,0,0,0,0,0,"0
(0.00)","0
(0.00)"
건담빌,더캠트사업본부,0,0,0,0,0,"0
(0.00)","0
(0.00)"
토이플러스,오로라월드(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
렌즈페이스(LENSFACE),한샘스타즈(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
렌즈베리,(주)렌즈베리,0,0,0,0,0,"0
(0.00)","0
(0.00)"
비타본(VITABON),(주)비타본,0,0,0,0,0,"0
(0.00)","0
(0.00)"
맥아더무인할인마트,맥아더마트,0,0,0,0,0,"0
(0.00)","0
(0.00)"
에이스하드웨어,(주)유진홈센터,0,0,0,0,0,"0
(0.00)","0
(0.00)"
수미찬,수미찬F&B,0,0,0,0,0,"0
(0.00)","0
(0.00)"
느린수제우유,느린우유협동조합,0,0,0,0,0,"0
(0.00)","0
(0.00)"
고스락,고스락(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
후레쉬영,(주)훌랄라,0,0,0,0,0,"0
(0.00)","0
(0.00)"
달밤에체조,더블유제이커머스(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
신선한 포크,농업회사법인㈜피드앤,0,0,0,0,0,"0
(0.00)","0
(0.00)"
가로세로블라인드(GAROSEROBLINDS),(주)리코블라인드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
한상드림,농업회사법인(주)다온프레쉬,0,0,0,0,0,"0
(0.00)","0
(0.00)"
에이아이쿡,(주)에이아이비트,0,0,0,0,0,"0
(0.00)","0
(0.00)"
온맘터치 복지용구,온맘터치협동조합,0,0,0,0,0,"0
(0.00)","0
(0.00)"
라치나타,(주)라치나타코리아,0,0,0,0,0,"0
(0.00)","0
(0.00)"
장독대,장독대(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
내맘대로폰케이스,(주)더만듦,0,0,0,0,0,"0
(0.00)","0
(0.00)"
헤나킹,(주)자연가득,0,0,0,0,0,"0
(0.00)","0
(0.00)"
콰드로에이치,(주)로얄그린,0,0,0,0,0,"0
(0.00)","0
(0.00)"
라프라스(LAPLAS),(주)라프라스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
