브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,36.0,6.0,1.0,0.0,0.0,"297,345
(1.00)","25,748
(3.33)"
꽃누리,한국화원협동조합연합회,480,94,15,0,0,"0
(0.00)","0
(0.00)"
바닷물만난콩이:두부야,(주)이로움,91,18,2,4,7,"191,064
(0.64)","17,619
(0.06)"
에코한마음,한마음공동체영농조합법인,51,2,0,6,0,"143,689
(0.48)","12,421
(0.04)"
총각네야채가게,(주)자연의모든것,47,2,0,3,2,"815,445
(2.74)","67,223
(0.23)"
아지야과일가게,(주)아지야,20,0,1,0,1,"388,432
(1.31)","37,896
(0.13)"
로즈애플(ROSE APPLE),(주)로즈애플,15,6,0,0,1,"189,446
(0.64)","14,714
(0.05)"
찡오언니,찡오언니본점,13,2,8,0,3,"55,994
(0.19)","4,618
(0.02)"
국대가국대과일,(주)국가대표과일촌,4,4,0,0,0,"0
(0.00)","0
(0.00)"
박향희김,농업회사법인한백식품(주),4,1,0,0,0,"0
(0.00)","0
(0.00)"
떼구르,떼구르,3,1,0,0,0,"0
(0.00)","0
(0.00)"
오징어파는언니,오징어파는언니,3,2,0,0,0,"0
(0.00)","0
(0.00)"
오가닉 빅마트,농업회사법인오가닉빅마트(주),2,0,0,0,0,"0
(0.00)","0
(0.00)"
맛있는제주,(주)삼다,0,0,0,0,0,"0
(0.00)","0
(0.00)"
나눔(Na Num)한끼 애(愛)·찬(饌),대정나눔유통(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
담다앤바다를담다,담다,0,0,0,1,0,"0
(0.00)","0
(0.00)"
다모여라,(주)다모여라,0,0,0,0,0,"0
(0.00)","0
(0.00)"
사랑한바구니,사랑한바구니,0,0,0,0,0,"0
(0.00)","0
(0.00)"
달콤농장,달콤농장,0,0,0,0,0,"0
(0.00)","0
(0.00)"
한결축산,(주)이연농업회사법인,0,0,0,0,0,"0
(0.00)","0
(0.00)"
플레르망고,플레르망고,0,0,0,0,0,"0
(0.00)","0
(0.00)"
