브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,5.0,2.0,0.0,0.0,0.0,"257,019
(1.00)","19,103
(3.33)"
슈슈앤크라,(주)메이블,25,1,0,5,2,"201,524
(0.78)","11,279
(0.04)"
제이진옴므,(주)제이진옴므,23,3,4,3,2,"0
(0.00)","0
(0.00)"
에이치케이테일러(HKtailor),(주)에이치케이에프엔에프,21,3,0,0,0,"121,952
(0.47)","3,719
(0.01)"
스타갤러리,(주)스타갤러리,20,0,0,5,0,"59,741
(0.23)","8,252
(0.03)"
에이치에스룩,에이치에스룩,15,15,0,0,0,"0
(0.00)","0
(0.00)"
메리디움,(주)보화,15,0,2,1,0,"249,550
(0.97)","57,953
(0.23)"
레드아이(REDEYE),(주)지에프라인,14,14,0,0,0,"0
(0.00)","0
(0.00)"
"안녕,피어싱",(주)안녕피어싱,12,12,0,0,0,"403,288
(1.57)","34,791
(0.14)"
제나비테일러,제나비테일러인천점,8,2,0,4,0,"54,000
(0.21)","3,234
(0.01)"
백작 by Firenze,(주)아미,8,3,0,1,1,"678,501
(2.64)","7,295
(0.03)"
핑크에이지,(주)피에이인터네셔널,7,0,0,0,0,"353,633
(1.38)","31,717
(0.12)"
스윙마젤,(주)더룩스,7,2,2,4,0,"186,710
(0.73)","13,692
(0.05)"
제이블랑,(주)제이엘컬렉션,6,3,1,1,0,"261,296
(1.02)","0
(0.00)"
해리슨테일러,(주)정원어페럴,5,0,0,0,0,"0
(0.00)","0
(0.00)"
히어라이크(HERELIKE),(주)좋음,4,6,0,2,0,"0
(0.00)","0
(0.00)"
감성아이,감성아이,4,0,0,0,0,"0
(0.00)","0
(0.00)"
폴링(Paul Ring),더폴링,4,0,0,0,0,"0
(0.00)","0
(0.00)"
메리수인,메리수인,4,4,0,0,0,"0
(0.00)","0
(0.00)"
보헨,(주)정원어페럴,3,2,0,1,0,"0
(0.00)","0
(0.00)"
꼬모양품점,꼬모양품점,2,2,0,0,0,"0
(0.00)","0
(0.00)"
엠멜란지(M melan. G),(주)엠멜란지,2,2,0,0,0,"0
(0.00)","0
(0.00)"
더봄한복,더봄한복,1,1,0,0,0,"0
(0.00)","0
(0.00)"
리벨로 테일러샵,(주)벨로벨라,0,0,0,0,0,"0
(0.00)","0
(0.00)"
allobaby,알로베이비,0,0,0,0,0,"0
(0.00)","0
(0.00)"
피그먼트(PIGMENT),(주)케이컴퍼니,0,0,0,0,0,"0
(0.00)","0
(0.00)"
바바라,(주)바바라앤코,0,0,0,0,0,"0
(0.00)","0
(0.00)"
키로픽(kilopick),(주)쿤인터내셔널,0,0,0,0,0,"0
(0.00)","0
(0.00)"
by.hee,바이희,0,0,0,0,0,"0
(0.00)","0
(0.00)"
온베베,온베베,0,0,0,0,0,"0
(0.00)","0
(0.00)"
쁘띠로아,로아부띠끄(RoaBoutique),0,0,0,0,0,"0
(0.00)","0
(0.00)"
SUMMAFACE(숨마페이스),감동가발,0,0,0,0,0,"0
(0.00)","0
(0.00)"
마마앤코(mamanco),마마앤코,0,0,0,0,0,"0
(0.00)","0
(0.00)"
버닝스타,버닝스타,0,0,0,0,0,"0
(0.00)","0
(0.00)"
코코블랙부띠크,(주)아이앤씨프랜,0,0,0,0,0,"0
(0.00)","0
(0.00)"
꼼므에뚜왈,(주)꼼므에뚜왈코리아,0,0,0,0,0,"0
(0.00)","0
(0.00)"
아모르데헬렌,엘지이홀딩스(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
