브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,56.0,12.0,0.0,2.0,2.0,"1,497,028
(1.00)","20,842
(2.35)"
네이처컬렉션,(주)더페이스샵,415,119,0,26,12,"205,197
(0.14)","18,184
(0.01)"
Olive Young(올리브영),씨제이올리브영(주),241,14,4,1,9,"1,297,714
(0.87)","33,711
(0.02)"
지에스수퍼마켓(GS수퍼마켓),(주)지에스리테일,142,36,8,6,12,"2,456,461
(1.64)","24,151
(0.02)"
국민간식333,(주)국민간식333,19,19,0,0,0,"0
(0.00)","0
(0.00)"
펫클럽,(주)펫클럽,17,3,1,1,0,"210,465
(0.14)","6,698
(0.00)"
텃밭,(주)텃밭,12,0,0,1,0,"3,315,307
(2.21)","21,467
(0.01)"
싸군Market,싸군마켓,3,3,0,0,0,"0
(0.00)","0
(0.00)"
애니멀고,(주)애니멀고,0,0,0,0,0,"0
(0.00)","0
(0.00)"
랄라블라,(주)지에스리테일,0,0,0,0,0,"0
(0.00)","0
(0.00)"
게이트원 스터디카페,(주)에이와그라운드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
롯데마켓999(LOTTE market999),롯데쇼핑(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
삼촌네슈퍼마켓,삼촌네협동조합,0,0,0,0,0,"0
(0.00)","0
(0.00)"
수수아비(B),(주)바구니,0,0,0,0,0,"0
(0.00)","0
(0.00)"
롯데슈퍼,롯데쇼핑(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
어반리빙,우리디자인,0,0,0,0,0,"0
(0.00)","0
(0.00)"
