브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,1373.0,169.0,27.0,44.0,107.0,"337,337
(1.00)","15,406
(1.59)"
지에스25(GS25),(주)지에스리테일,"13,818","1,314",313,156,"1,566","665,234
(1.97)","30,613
(0.09)"
씨유(CU),(주)비지에프리테일,"13,731","1,272",186,395,"1,107","589,912
(1.75)","26,516
(0.08)"
세븐일레븐,(주)코리아세븐,"9,870","1,275",225,313,234,"481,874
(1.43)","23,375
(0.07)"
이마트24(emart24),(주)이마트24,"4,360","1,137",71,278,266,"407,270
(1.21)","19,834
(0.06)"
미니스톱,한국미니스톱(주),"2,581",330,62,181,326,"590,592
(1.75)","22,662
(0.07)"
씨스페이스(C'SPACE),(주)씨스페이시스,274,98,5,53,21,"261,029
(0.77)","14,043
(0.04)"
아이지에이마트,(주)한국아이지에이,206,38,0,43,11,"218,535
(0.65)","16,786
(0.05)"
블루25 (Blue25),(주)우린,78,16,0,12,3,"172,742
(0.51)","10,125
(0.03)"
베스트올,(주)현대씨에스엔,69,2,9,3,1,"226,586
(0.67)","15,737
(0.05)"
레몬비,(주)바구니,59,23,17,0,5,"166,437
(0.49)","10,167
(0.03)"
아싸비어,(주)나인팩트,58,17,0,11,2,"219,262
(0.65)","13,563
(0.04)"
마마트,(주)피에프그룹,45,31,8,9,1,"191,743
(0.57)","7,787
(0.02)"
하프타임,(주)하프타임,41,7,0,12,0,"343,112
(1.02)","16,050
(0.05)"
알리바이,(주)정석,41,2,2,0,2,"420,750
(1.25)","11,354
(0.03)"
해빛(Have it),(주)일화로지스,40,18,1,0,0,"184,067
(0.55)","11,704
(0.03)"
데이앤데이(day&day),데이앤데이(JW홀딩스),35,20,0,3,0,"0
(0.00)","0
(0.00)"
미스터마트,미스터리테일,14,0,0,3,0,"392,176
(1.16)","1,310
(0.00)"
뉴들365 무인편의점카페,(주)뉴들,8,1,0,5,0,"0
(0.00)","0
(0.00)"
굿앤굿스,(주)대명코퍼레이션,2,0,1,0,1,"0
(0.00)","0
(0.00)"
마켓101,(주)마켓101,2,2,0,0,0,"0
(0.00)","0
(0.00)"
BM24,비지니스멘토,0,0,0,0,0,"0
(0.00)","0
(0.00)"
나우고(Nowgo),지엘코리아(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
다판다아이스,다판다25,0,0,0,0,0,"0
(0.00)","0
(0.00)"
Storyway(스토리웨이),코레일유통(주),0,0,2,0,0,"203,420
(0.60)","10,288
(0.03)"
별난동네슈퍼25,(주)동네,0,0,0,0,0,"0
(0.00)","0
(0.00)"
쿨샷,쿨샷(coolshot),0,0,0,0,0,"0
(0.00)","0
(0.00)"
스노우마트,(주)드림네트웍스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
365플러스편의점,홈플러스(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
나우플러스(NOWPLUS),지엘코리아(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
응응스크르,응응스크르,0,0,0,0,0,"0
(0.00)","0
(0.00)"
로그인편의점,(유)애플디아이,0,0,0,0,0,"0
(0.00)","0
(0.00)"
Beer&Cream,Beer&Cream,0,0,0,0,0,"0
(0.00)","0
(0.00)"
포시즌마트,에프에스로지스틱,0,0,0,0,0,"0
(0.00)","0
(0.00)"
