브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,75.0,1.0,11.0,20.0,4.0,"315,696
(1.00)","26,696
(1.58)"
에뛰드하우스,(주)에뛰드,239,3,0,85,15,"388,584
(1.23)","27,173
(0.09)"
에뛰드하우스,(주)에뛰드,239,3,0,85,15,"388,584
(1.23)","27,173
(0.09)"
에뛰드하우스,(주)에뛰드,239,3,0,85,15,"388,584
(1.23)","27,173
(0.09)"
토니모리,(주)토니모리,223,12,80,0,20,"254,361
(0.81)","21,884
(0.07)"
미샤,(주)에이블씨엔씨,214,4,48,9,6,"227,030
(0.72)","15,878
(0.05)"
네이처리퍼블릭(NATUREREPUBLIC),(주)네이처리퍼블릭,139,6,57,3,9,"199,967
(0.63)","15,624
(0.05)"
더페이스샵,(주)더페이스샵,129,0,0,141,0,"311,476
(0.99)","69,006
(0.22)"
스킨푸드,(주)스킨푸드,66,0,36,0,7,"183,565
(0.58)","16,574
(0.05)"
세레니끄(CELLENIQUE),(주)코리아나화장품,39,0,1,14,7,"324,010
(1.03)","9,680
(0.03)"
HOLIKA HOLIKA,엔프라니(주),35,2,0,3,6,"506,691
(1.60)","29,298
(0.09)"
투쿨포스쿨(too cool for school),(주)투쿨포스쿨,12,1,1,3,0,"469,621
(1.49)","50,013
(0.16)"
스와니코코,(주)스와니코코,10,0,10,0,0,"145,888
(0.46)","10,887
(0.03)"
피톤씨엘,(주)코스메인,4,0,0,1,0,"0
(0.00)","0
(0.00)"
여우향기,(주)샘코스메틱,3,2,0,0,0,"0
(0.00)","0
(0.00)"
하늘호수,농업회사법인(주)하늘호수,2,0,0,1,0,"0
(0.00)","0
(0.00)"
더샘,(주)더샘인터내셔날,0,0,0,0,0,"0
(0.00)","0
(0.00)"
오웨이(OWAY),(주)보타니그림,0,0,0,0,0,"0
(0.00)","0
(0.00)"
이니스프리,(주)이니스프리,0,0,0,0,0,"0
(0.00)","0
(0.00)"
셀비오,(주)셀비오,0,0,0,0,0,"0
(0.00)","0
(0.00)"
아리따움(ARITAUM),(주)아모레퍼시픽,0,0,0,0,0,"0
(0.00)","0
(0.00)"
어퓨,(주)에이블씨엔씨,0,0,0,0,0,"0
(0.00)","0
(0.00)"
