브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,34.0,10.0,3.0,4.0,0.0,"347,685
(1.00)","5,969
(1.83)"
아이센스PC방,(주)아이센스에프앤씨,293,0,42,5,0,"0
(0.00)","0
(0.00)"
라이또PC방,(주)라이또에프앤씨,166,61,2,35,10,"205,598
(0.59)","3,603
(0.01)"
샹떼피시방,(주)참인포텍,124,18,0,41,6,"278,741
(0.80)","4,467
(0.01)"
스타덤PC,(주)포메이션투,117,56,5,9,3,"303,373
(0.87)","4,931
(0.01)"
맥스피드PC,(주)에스티피아이앤씨,111,30,36,0,0,"0
(0.00)","0
(0.00)"
피에스타PC방,(주)미라크,91,21,20,27,6,"331,394
(0.95)","5,208
(0.01)"
해피로PC,(주)휴링크에프씨,83,21,23,0,0,"242,616
(0.70)","4,525
(0.01)"
더캠프피씨방(더캠프PC방),(주)더캠프,70,10,16,3,4,"330,184
(0.95)","4,908
(0.01)"
탑플레이스피씨존(탑플레이스PCZONE),(주)탑플레이트에프씨,64,18,0,4,0,"347,376
(1.00)","14,645
(0.04)"
헌터피씨,(주)플랫폼즈,62,13,5,4,3,"316,841
(0.91)","5,462
(0.02)"
시즌아이피시(PC)방,(주)맥스원이링크,40,3,6,20,1,"228,747
(0.66)","3,616
(0.01)"
더엑스쿡PC방,(주)동보에프앤비,39,28,0,0,1,"255,219
(0.73)","4,483
(0.01)"
IRIS POP(아이리스팝),(주)쿠키소프트,36,36,0,0,0,"408,364
(1.17)","3,384
(0.01)"
크라우드PC방,(주)크라우드팩토리,31,27,0,0,0,"413,110
(1.19)","4,715
(0.01)"
제너스 PC,(주)도담에프앤비,29,26,0,0,0,"397,077
(1.14)","18,694
(0.05)"
스토리PC,(주)트라이앵글스토리,27,6,0,0,0,"411,290
(1.18)","6,154
(0.02)"
pc토랑,(주)토랑에프씨,23,13,0,1,0,"337,525
(0.97)","4,069
(0.01)"
크레인피씨(크레인PC),(주)아르떼에프앤씨,21,10,0,3,2,"285,822
(0.82)","4,754
(0.01)"
시그니처 아레나 PC방,(주)아레나,19,9,0,0,0,"352,434
(1.01)","5,367
(0.02)"
피디에스PC방,(주)씨와이에프앤씨,18,3,8,0,0,"0
(0.00)","0
(0.00)"
철구PC,(주)씨구파트너스,18,9,0,0,0,"630,036
(1.81)","7,986
(0.02)"
오셀롯(OCELOT),(주)놀숲,17,7,0,0,0,"297,869
(0.86)","4,231
(0.01)"
제로100피씨(ZERO100PC),부만사(주),12,12,0,0,0,"0
(0.00)","0
(0.00)"
크리드 PC,(주)크리드,10,6,0,0,0,"0
(0.00)","0
(0.00)"
에코스PC방,(유)에코에프엔씨,9,3,0,0,0,"0
(0.00)","0
(0.00)"
라이온시티피씨,(주)라이온에프지,8,1,0,26,0,"241,482
(0.69)","3,871
(0.01)"
플레이존PC,(주)이웍스커뮤니케이션,7,4,0,4,0,"653,943
(1.88)","4,627
(0.01)"
아이센스리그PC방,(주)아이센스에프앤씨,5,5,0,0,0,"380,038
(1.09)","7,639
(0.02)"
세븐스타PC방,(주)루센트,3,3,0,0,0,"0
(0.00)","0
(0.00)"
온스테이지PC,(주)휴링크에프씨,2,2,0,0,0,"0
(0.00)","0
(0.00)"
욜로PC방,(주)욜로에프앤씨,1,1,0,0,0,"0
(0.00)","0
(0.00)"
인디고 피씨 카페(INDIGO PC CAFE),(주)티앤지에프씨,0,0,0,0,0,"0
(0.00)","0
(0.00)"
더토랑,(주)토랑에프씨,0,0,0,0,0,"0
(0.00)","0
(0.00)"
리얼피씨존(REAL PC ZONE),(주)리얼야구존,0,0,0,0,0,"0
(0.00)","0
(0.00)"
고스트캐슬,(주)엔컴플러스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
3에스피씨(3S PC),(주)엠케이디엔씨,0,0,0,0,0,"0
(0.00)","0
(0.00)"
글로버 PC랩,글로버,0,0,0,0,0,"0
(0.00)","0
(0.00)"
쇼타임크루 PC COOK,(주)글로리아에프아이,0,0,0,0,0,"0
(0.00)","0
(0.00)"
셰프PC카페,(주)케이엠씨,0,0,0,0,0,"0
(0.00)","0
(0.00)"
레드피씨존(RED PC ZONE),(주)팀에프지,0,0,0,0,0,"0
(0.00)","0
(0.00)"
제스트PC방,제스트에프씨(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
KSTAR PC CAFÉ (케이스타피씨카페),스타에프앤씨(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
쇼타임피시앤카페,(주)쇼타임글로벌,0,0,0,0,0,"0
(0.00)","0
(0.00)"
시즌원PC방,㈜더베스트,0,0,0,0,0,"0
(0.00)","0
(0.00)"
아이센스리그PC방,㈜아이센스에프앤비,0,0,0,0,0,"0
(0.00)","0
(0.00)"
