브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,176.0,39.0,5.0,24.0,1.0,"242,725
(1.00)","3,355
(2.46)"
해법공부방,(주)해법에듀,"2,573",457,150,369,0,"23,971
(0.10)","1,622
(0.01)"
셀파수학교실,(주)해법에듀,"2,233",476,109,306,0,"2,812
(0.01)","192
(0.00)"
셀파우등생교실,(주)해법에듀,"1,696",239,0,298,16,"21,303
(0.09)","831
(0.00)"
한솔플러스수학교실,(주)한솔플러스,"1,460",378,0,311,0,"53,187
(0.22)","0
(0.00)"
아이북랜드,(주)성원아이북랜드,753,277,0,182,0,"17,534
(0.07)","0
(0.00)"
기탄사고력교실,(주)기탄러닝,555,221,0,51,0,"6,439
(0.03)","0
(0.00)"
엠베스트SE,메가스터디교육(주),432,124,22,65,22,"37,412
(0.15)","888
(0.00)"
수학여우,(주)모든교육,289,289,0,0,0,"0
(0.00)","0
(0.00)"
비상아이비츠,(주)비상교육,170,41,44,2,0,"283,835
(1.17)","4,707
(0.02)"
조이매스,(주)조이매스,159,20,13,0,0,"0
(0.00)","0
(0.00)"
이씨엔교육,(주)이씨엔교육,157,20,2,0,0,"0
(0.00)","0
(0.00)"
장원교육,(주)장원교육,150,8,0,2,2,"199,116
(0.82)","6,119
(0.03)"
공터영어,(주)공터영어,147,74,0,3,7,"58,279
(0.24)","1,476
(0.01)"
위니드수학학원,위니드교육,142,39,0,0,0,"34,644
(0.14)","0
(0.00)"
소마사고력수학,(주)타임교육,121,26,5,8,0,"157,221
(0.65)","3,205
(0.01)"
유투엠(U2M),(주)올림피아드교육,115,17,0,5,22,"252,329
(1.04)","3,663
(0.02)"
와이즈만영재교육,(주)창의와탐구,102,2,0,4,7,"631,842
(2.60)","6,492
(0.03)"
강의하는아이들,(주)오투라인,94,12,0,8,1,"249,742
(1.03)","5,581
(0.02)"
뉴스터디교육,(주)타임교육,91,6,1,15,0,"68,774
(0.28)","803
(0.00)"
종로학원하늘교육 학원/센터,(주)하늘교육,89,7,15,1,1,"88,737
(0.37)","1,583
(0.01)"
아카데미창,(주)아카데미창,79,12,0,10,0,"18,428
(0.08)","1,414
(0.01)"
생각하는수학페르마,(주)대교에듀피아,77,4,0,8,0,"137,469
(0.57)","1,993
(0.01)"
