브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,24.0,3.0,0.0,0.0,0.0,"157,602
(1.00)","4,290
(2.75)"
한우리독서토론논술,(주)한우리열린교육,478,56,0,26,0,"121,036
(0.77)","5,790
(0.04)"
아트앤하트,(주)아트앤하트글로벌,333,77,30,15,4,"71,091
(0.45)","4,768
(0.03)"
토즈 스터디센터,(주)피투피시스템즈,331,2,0,16,15,"143,478
(0.91)","1,836
(0.01)"
제3교실,(주)화신이앤엘,287,9,0,0,0,"3,648
(0.02)","108
(0.00)"
어린음악대,주은교육(주),259,21,0,18,4,"98,350
(0.62)","3,038
(0.02)"
엠티에이(MTA),(주)엠티에이태권도,241,16,10,7,0,"0
(0.00)","0
(0.00)"
시매쓰,(주)오메가포인트,134,9,7,7,4,"105,860
(0.67)","1,363
(0.01)"
홍익아트,(주)홍익아트,130,3,0,1,11,"73,684
(0.47)","9,540
(0.06)"
에듀플렉스,넥스큐브코퍼레이션(주),127,7,8,0,6,"292,257
(1.85)","4,321
(0.03)"
머리에그리는홍선생미술,(주)홍선생교육,125,9,3,7,1,"59,203
(0.38)","4,233
(0.03)"
에듀코치,넥스큐브코퍼레이션(주),107,7,11,0,5,"111,642
(0.71)","2,072
(0.01)"
영렘브란트,(주)아트크레오,106,37,18,0,8,"175,220
(1.11)","0
(0.00)"
뮤직뮤직,뮤직뮤직,88,17,0,0,0,"0
(0.00)","0
(0.00)"
아이지미술,(주)한국방송영재교육원,85,8,15,0,2,"41,744
(0.26)","0
(0.00)"
아트모마,에스투(주),82,10,0,0,5,"28,374
(0.18)","0
(0.00)"
책나무,책나무,72,18,0,0,6,"48,204
(0.31)","1,338
(0.01)"
어린화가들,주은교육(주),65,19,0,1,3,"70,200
(0.45)","2,907
(0.02)"
한국치매예방협회,(주)한국치매예방협회,64,0,0,0,0,"0
(0.00)","0
(0.00)"
리브로아르츠,리브로아르츠,62,18,0,0,1,"0
(0.00)","0
(0.00)"
샘앤클래스(Sam&Class),(주)오르다코리아,60,8,0,1,1,"77,854
(0.49)","2,507
(0.02)"
루트원,(주)오메가포인트,59,5,14,0,0,"19,903
(0.13)","237
(0.00)"
아랑고고장구,(주)아랑,57,26,0,0,0,"0
(0.00)","0
(0.00)"
요미요미(YOMIyomi),(주)요미요미,55,3,0,4,3,"0
(0.00)","0
(0.00)"
브레인스쿨,(주)한솔교육,54,2,0,1,0,"167,928
(1.07)","3,053
(0.02)"
