브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,157.0,24.0,3.0,14.0,4.0,"290,758
(1.00)","6,336
(2.11)"
해법영어교실,(주)해법에듀,"2,154",270,166,221,1,"35,038
(0.12)","2,798
(0.01)"
뮤엠영어,(주)뮤엠교육,"1,925",199,0,180,94,"44,824
(0.15)","1,742
(0.01)"
삼성영어,(주)삼성출판사,"1,386",184,0,143,72,"56,426
(0.19)","2,608
(0.01)"
잉글리시아이(englisheye),(주)비상교육,954,190,8,150,41,"31,322
(0.11)","1,103
(0.00)"
3030영어,(주)3030영어,826,195,56,19,0,"0
(0.00)","0
(0.00)"
한솔플러스영어,(주)한솔플러스,789,308,0,98,0,"21,311
(0.07)","0
(0.00)"
YBM리딩클럽,(주)와이비엠교육,729,58,0,23,2,"11,158
(0.04)","1,278
(0.00)"
윤선생 우리집앞 영어교실,(주)마일스톤,726,115,8,72,29,"25,315
(0.09)","1,197
(0.00)"
해법중국어교실,(주)해법에듀,689,92,0,84,0,"19,088
(0.07)","1,064
(0.00)"
지앤비어학원(GnB어학원),지앤비교육(주),664,15,15,49,36,"144,110
(0.50)","2,059
(0.01)"
NE능률 주니어랩,(주)엔이능률,605,49,2,68,11,"18,905
(0.07)","614
(0.00)"
로제타스톤,로제타스톤코리아(유),509,52,0,83,0,"7,364
(0.03)","380
(0.00)"
YBM홈스쿨,(주)와이비엠교육,395,26,0,8,0,"8,394
(0.03)","1,086
(0.00)"
토킹스타,(주)와이젠스쿨,391,84,0,9,0,"0
(0.00)","0
(0.00)"
"초,중등 영어전문 YBM잉글루",(주)와이비엠넷,370,29,0,35,29,"55,811
(0.19)","1,310
(0.00)"
와이비엠리더스(YBM리더스),(주)와이비엠넷,343,8,0,17,2,"12,222
(0.04)","0
(0.00)"
윤선생영어숲,(주)이이씨엘리트,294,7,28,81,22,"72,048
(0.25)","0
(0.00)"
잉글리쉬무무,(주)잉글리쉬무무,275,10,29,28,15,"48,651
(0.17)","1,284
(0.00)"
윤선생영어교실,(주)이이씨엘리트,251,9,6,24,16,"135,084
(0.46)","0
(0.00)"
윤선생아이지에스이아카데미(윤선생 IGSE Academy),(주)이이씨엘리트,250,96,3,14,16,"93,688
(0.32)","0
(0.00)"
웰이스턴,(주)마이멘토,231,29,0,9,2,"0
(0.00)","0
(0.00)"
차이랑중국어,(주)파고다에스씨에스,216,53,0,17,0,"17,891
(0.06)","1,812
(0.01)"
패럴랙스학원,지앤비교육(주),195,195,0,0,0,"6,035
(0.02)","86
(0.00)"
이아이이(EiE) 고려대학교 국제어학원 영어교육 프로그램,(주)코리아이앤피,191,36,2,11,7,"230,894
(0.79)","4,071
(0.01)"
토킹클럽,(주)더블유에프엠,175,11,0,27,12,"195,268
(0.67)","3,522
(0.01)"
라하잉글리시,(주)루크러닝,139,72,0,12,0,"0
(0.00)","0
(0.00)"
에이프릴어학원,(주)청담러닝,97,3,0,0,11,"662,054
(2.28)","6,804
(0.02)"
씬씬중국어학원,지앤비교육(주),91,0,0,0,0,"0
(0.00)","0
(0.00)"
ERC영어독서클럽,(주)스토리에듀,90,30,0,5,0,"0
(0.00)","0
(0.00)"
클루빌러닝센터,(주)청담러닝,84,0,0,0,0,"0
(0.00)","0
(0.00)"
청담어학원,(주)청담러닝,73,1,0,1,8,"734,230
(2.53)","4,429
(0.02)"
아발론잉글리쉬,(주)아발론교육,69,1,7,1,2,"422,166
(1.45)","3,128
(0.01)"
이씨씨(ECC),(주)와이비엠넷,66,10,1,1,2,"302,016
(1.04)","2,462
(0.01)"
JLS정상어학원,(주)정상제이엘에스,63,3,0,3,2,"1,077,101
(3.70)","7,615
(0.03)"
리틀팍스어학원,(주)리틀팍스,62,6,5,0,1,"437,376
(1.50)","5,202
(0.02)"
에스엘피영어학당,(주)서강교육그룹,60,4,2,2,6,"1,377,496
(4.74)","6,535
(0.02)"
랭콘잉글리쉬,(주)아발론교육,59,6,4,3,4,"208,473
(0.72)","1,806
(0.01)"
헤럴드NIE,(주)헤럴드아카데미,56,0,2,0,0,"0
(0.00)","0
(0.00)"
S&Writing,(주)G1230FC,51,8,0,5,4,"0
(0.00)","0
(0.00)"
루시드영어,㈜루시드,48,46,0,0,0,"0
(0.00)","0
(0.00)"
폴리어학원,(주)코리아폴리스쿨,47,1,0,0,3,"2,232,725
(7.68)","12,129
(0.04)"
잉글리시에그,(주)잉글리시에그,44,5,0,1,1,"282,608
(0.97)","6,922
(0.02)"
루체테어학원,잉글리쉬윙(주),41,9,5,0,0,"296,634
(1.02)","4,058
(0.01)"
와이즈리더,(주)원윤,37,5,0,1,2,"204,061
(0.70)","4,666
(0.02)"
아이티씨통역스쿨,(주)아이티씨교육,35,4,0,3,0,"113,558
(0.39)","0
(0.00)"
유앤아이(YOU&I) 어학원,(주)위즈에듀케이션,35,5,0,9,0,"73,734
(0.25)","1,098
(0.00)"
리드101,(주)리드엔,31,3,0,0,1,"334,228
(1.15)","9,297
(0.03)"
센트럴1 리딩클럽,(주)센클교육,31,4,0,7,2,"140,789
(0.48)","3,552
(0.01)"
아이보람,아이보람(주),30,6,1,0,1,"237,380
(0.82)","5,563
(0.02)"
에프티케이잉글리쉬(FTK English),(주)맥스교육,28,6,0,4,0,"140,189
(0.48)","2,601
(0.01)"
캉가잉글리쉬,(주)엘포트,24,21,6,0,0,"0
(0.00)","0
(0.00)"
팬그램,(주)러닝앤코,24,0,0,0,0,"0
(0.00)","0
(0.00)"
토마스잉글리시,중앙지엔이(주),24,0,0,28,0,"50,799
(0.17)","577
(0.00)"
YBM교육 학습지지사,(주)와이비엠교육,21,0,0,0,0,"8,725
(0.03)","0
(0.00)"
라이즈어학원,(주)라이즈에듀케이션코리아,19,10,0,0,0,"0
(0.00)","0
(0.00)"
토피아어학원,토피아에듀케이션(주),17,0,6,1,0,"515,169
(1.77)","4,565
(0.02)"
한솔교육영어지사,(주)한솔교육,16,0,0,0,0,"24,094
(0.08)","803
(0.00)"
리딩타운어학원,(주)리딩월드,16,1,0,2,0,"18,533
(0.06)","132
(0.00)"
표현어학원,표현러닝,16,0,0,0,0,"0
(0.00)","0
(0.00)"
잉디사고력영어,잉디에듀케이션,13,3,0,2,0,"55,620
(0.19)","3,098
(0.01)"
이엘씨어학원(ELC어학원),(주)타임교육,13,2,0,1,0,"59,592
(0.20)","828
(0.00)"
MILC Learning(밀크러닝),(주)리딩타운,13,15,0,2,0,"5,451
(0.02)","57
(0.00)"
유니랭스,유니랭스,13,0,0,1,0,"10,701
(0.04)","146
(0.00)"
청담아이가르텐,(주)청담러닝,12,2,0,0,1,"0
(0.00)","0
(0.00)"
메이플베어,(주)메이플베어코리아,11,0,0,0,0,"1,593,723
(5.48)","6,763
(0.02)"
CL어학원,(주)유베스타,10,2,0,1,1,"22,171
(0.08)","363
(0.00)"
고래영어,새김교육(주),9,9,0,0,0,"0
(0.00)","0
(0.00)"
민병철스피킹웍스,(주)민병철스피킹웍스,9,1,2,0,0,"503,850
(1.73)","142,753
(0.49)"
헤럴드스쿨,(주)헤럴드아카데미,9,0,0,0,0,"0
(0.00)","0
(0.00)"
리마커블 잉글리시,(주)리마커블교육,8,8,0,0,0,"0
(0.00)","0
(0.00)"
원더랜드,퀘스트아카데미(주),7,1,0,1,0,"0
(0.00)","0
(0.00)"
파고다주니어,(주)파고다에스씨에스,6,0,1,0,0,"0
(0.00)","0
(0.00)"
리딩스타학원,리딩스타(주),6,2,0,1,1,"0
(0.00)","0
(0.00)"
엠폴리어학원,(주)코리아폴리스쿨,5,1,0,0,0,"1,966,853
(6.76)","13,569
(0.05)"
아이비탑리딩,(주)아탑교육,5,1,1,0,0,"0
(0.00)","0
(0.00)"
이노블스(enovels),(주)이노블스,5,0,0,0,0,"298,000
(1.02)","8,280
(0.03)"
헤더잉글리쉬,(주)헤럴드아카데미,4,0,0,0,0,"0
(0.00)","0
(0.00)"
프랜시스파커컬리지잇,(주)교원위즈,4,0,0,0,0,"0
(0.00)","0
(0.00)"
CIE 어학원(씨아이이어학원),어세스먼트코리아,3,4,0,1,0,"0
(0.00)","0
(0.00)"
이야스콜라,(주)이야에듀,3,3,0,0,0,"0
(0.00)","0
(0.00)"
헬렌도론(Helen Doron),헬렌도론코리아(주),3,3,0,0,0,"0
(0.00)","0
(0.00)"
3030키즈,(주)3030영어,2,0,0,0,0,"0
(0.00)","0
(0.00)"
글로링크어학원,(주)글로링크에듀케이션,2,1,0,0,0,"0
(0.00)","0
(0.00)"
블루스프링스 어학원,(주)블루스프링스,2,0,0,0,0,"0
(0.00)","0
(0.00)"
드림키오,(주)드림키오,2,1,0,0,0,"0
(0.00)","0
(0.00)"
오감랭귀지,오감에듀,2,2,0,0,0,"0
(0.00)","0
(0.00)"
플라이 잉글리쉬(FLY English),(주)야미교육,1,1,0,0,0,"0
(0.00)","0
(0.00)"
쉐인어학원,쉐인어학원,1,1,0,0,0,"0
(0.00)","0
(0.00)"
