브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,18.0,1.0,1.0,1.0,0.0,"210,856
(1.00)","4,041
(1.88)"
꼬마숲 어린이집,(주)꼬망세네트웍스,201,0,0,34,10,"125,653
(0.60)","3,237
(0.02)"
미술로생각하기,(주)빅토미술로생각하기,113,3,0,2,9,"173,858
(0.82)","3,898
(0.02)"
차일드유,(주)유베스타,94,4,26,24,0,"105,512
(0.50)","2,083
(0.01)"
트램폴린놀이방노리파크(NORIPARK),(주)다담에프엔에스,69,10,0,13,2,"145,598
(0.69)","0
(0.00)"
블럭팡,(주)더캠트사업본부,64,3,9,8,3,"40,722
(0.19)","1,489
(0.01)"
바퀴달린그림책,(주)바퀴달린그림책,38,1,0,1,1,"92,156
(0.44)","2,602
(0.01)"
상상블럭,(주)플레이타임그룹,37,0,11,0,0,"116,175
(0.55)","3,793
(0.02)"
블럭버스,(주)다솔코리아,35,2,0,8,3,"106,451
(0.50)","15,436
(0.07)"
타요키즈카페,(주)플레이스원,34,1,0,3,0,"544,605
(2.58)","2,952
(0.01)"
플레이타임,(주)플레이타임그룹,30,3,12,0,0,"182,268
(0.86)","2,490
(0.01)"
렘포레(Lamfore),렘포레인재개발연구소,27,2,7,3,0,"0
(0.00)","0
(0.00)"
짐보리플레이앤뮤직,(주)짐월드,27,2,1,2,1,"219,428
(1.04)","9,019
(0.04)"
오르다코리아,(주)오르다코리아,25,0,0,2,0,"122,965
(0.58)","3,367
(0.02)"
똑똑블럭,(주)플레이타임그룹,25,0,2,0,1,"113,399
(0.54)","4,227
(0.02)"
위즈아일랜드,(주)교원위즈,22,2,0,3,0,"749,963
(3.56)","6,279
(0.03)"
맘앤맘마,맘앤맘마,21,9,0,0,1,"106,214
(0.50)","9,144
(0.04)"
헬로밀가루,헬로밀가루본사,20,4,2,0,2,"197,982
(0.94)","2,864
(0.01)"
키즈스포츠클럽챔피언,(주)플레이타임그룹,17,8,2,0,0,"616,259
(2.92)","3,036
(0.01)"
애플트리,(주)플레이타임그룹,15,0,6,0,0,"110,234
(0.52)","3,600
(0.02)"
슈슈봉봉,(주)슈슈봉봉프렌즈,13,2,3,0,1,"209,474
(0.99)","2,491
(0.01)"
상상스케치,(주)플레이타임그룹,12,5,0,0,1,"221,240
(1.05)","7,540
(0.04)"
상상노리,(주)플레이타임그룹,12,0,14,0,0,"134,513
(0.64)","889
(0.00)"
큐리프리미엄키즈카페,(주)케이아이피엔터테인먼트,11,11,0,0,0,"257,007
(1.22)","2,555
(0.01)"
블럭앤퍼즐애플,(주)플레이타임그룹,10,2,0,0,0,"222,052
(1.05)","2,783
(0.01)"
모넬로(MONELLO),(주)다담에프엔에스,8,2,0,0,0,"222,015
(1.05)","0
(0.00)"
슈퍼윙스키즈카페,(주)키즈코리아,6,3,0,0,0,"0
(0.00)","0
(0.00)"
스위밍 키즈,유한회사스위밍키즈,6,2,0,0,0,"196,318
(0.93)","1,510
(0.01)"
미니특공대테마파크,(주)큐브스튜디오,5,1,0,1,0,"0
(0.00)","0
(0.00)"
베이비엔젤스,(주)플레이타임그룹,5,1,1,0,0,"203,714
(0.97)","2,294
(0.01)"
구름빵 플레이타임,(주)플레이타임그룹,4,0,0,0,0,"0
(0.00)","0
(0.00)"
뽀로로파크,(주)뽀로로파크,4,1,0,0,0,"0
(0.00)","0
(0.00)"
프레리 키즈카페,(주)루치아컴퍼니,3,0,0,0,0,"157,337
(0.75)","1,453
(0.01)"
키&주파크,(주)플루션,2,2,0,0,0,"0
(0.00)","0
(0.00)"
어울놀이,(주)빅맨,2,2,0,0,0,"0
(0.00)","0
(0.00)"
노리 디지털키즈카페,(주)크리스피,2,2,0,0,0,"0
(0.00)","0
(0.00)"
베스트키즈,(주)서울랜드,2,0,0,1,0,"0
(0.00)","0
(0.00)"
