브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,14.0,4.0,0.0,0.0,0.0,"167,123
(1.00)","4,857
(3.85)"
작심,(주)아이엔지스토리,198,38,0,0,0,"151,047
(0.90)","1,916
(0.01)"
놀숲,(주)놀숲,177,18,0,20,10,"147,516
(0.88)","2,492
(0.01)"
더풋샵(THE FOOT SHOP),(주)더풋샵컴퍼니,157,12,5,3,25,"443,125
(2.65)","10,326
(0.06)"
르하임스터디카페,(주)르하임,135,64,0,1,2,"142,852
(0.85)","7,574
(0.05)"
ScentOn(센트온),(주)센트온,135,8,0,0,0,"7,225
(0.04)","0
(0.00)"
깔끄미계단,(주)깔끄미크린하우스,121,9,0,8,0,"34,837
(0.21)","0
(0.00)"
클린앤제이,(주)클린앤제이,105,62,14,36,0,"0
(0.00)","0
(0.00)"
미스터힐링,(주)미스터즈,100,6,0,13,9,"77,848
(0.47)","2,179
(0.01)"
비지팅엔젤스,(주)비지팅엔젤스코리아,98,44,9,8,0,"0
(0.00)","0
(0.00)"
어드벤처피아노,(주)에듀프라임,87,5,7,0,0,"171,550
(1.03)","0
(0.00)"
커피랑도서관,커피랑도서관(주),86,24,0,7,13,"136,626
(0.82)","2,469
(0.01)"
커피랑도서관,커피랑도서관(주),86,24,0,7,13,"136,626
(0.82)","2,469
(0.01)"
아리아케어 방문요양센터,(주)아리아케어코리아,80,48,0,2,2,"121,229
(0.73)","9,440
(0.06)"
아리아케어 방문요양센터,(주)아리아케어코리아,80,48,0,2,2,"121,229
(0.73)","9,440
(0.06)"
아리아케어 방문요양센터,(주)아리아케어코리아,80,48,0,2,2,"121,229
(0.73)","9,440
(0.06)"
아리아케어 방문요양센터,(주)아리아케어코리아,80,48,0,2,2,"121,229
(0.73)","9,440
(0.06)"
이노티안경,(주)이노티,78,8,6,3,0,"235,711
(1.41)","6,822
(0.04)"
개미인력개발,개미인력개발(주),74,14,0,7,0,"0
(0.00)","0
(0.00)"
크린파트너,크린파트너본사,70,12,0,3,5,"47,846
(0.29)","2,952
(0.02)"
플랜A,(주)아지오디자인,68,26,0,0,4,"0
(0.00)","0
(0.00)"
카카오T블루(kakaoTblue),(주)케이엠솔루션,66,17,0,1,0,"0
(0.00)","0
(0.00)"
화이트셀프빨래방,인화이트,59,5,0,1,1,"0
(0.00)","0
(0.00)"
