브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,7.0,0.0,0.0,0.0,0.0,"297,859
(1.00)","8,220
(3.33)"
야옹아멍멍해봐,(주)야옹아멍멍해봐,68,7,0,1,0,"561,793
(1.89)","9,757
(0.03)"
쿨펫동물병원,(주)쿨펫,50,0,5,0,0,"221,886
(0.74)","9,466
(0.03)"
폴리파크,(주)포파코,42,8,0,1,0,"320,471
(1.08)","7,999
(0.03)"
러브펫멀티펫샵,(주)러브펫코리아,11,3,0,5,0,"175,200
(0.59)","7,659
(0.03)"
아이러브펫동물병원,(주)위즈펫,7,0,1,0,0,"281,897
(0.95)","4,339
(0.01)"
유;폴(U;POL),유폴,4,4,0,0,0,"0
(0.00)","0
(0.00)"
낭만고양이,낭만고양이본점,3,0,0,0,0,"0
(0.00)","0
(0.00)"
서울퍼피,서울퍼피,2,0,0,3,0,"0
(0.00)","0
(0.00)"
온누리동물병원,(주)온누리펫,2,0,0,0,0,"0
(0.00)","0
(0.00)"
렙타일정글,렙타일정글(ReptileJungle),2,0,0,0,0,"0
(0.00)","0
(0.00)"
위즈펫동물병원,(주)위즈펫,2,0,1,0,0,"225,912
(0.76)","10,102
(0.03)"
라이프독,라이프독,1,1,0,5,0,"0
(0.00)","0
(0.00)"
비쇼네,씨케이컴퍼니,1,0,0,0,0,"0
(0.00)","0
(0.00)"
미어캣파크,(주)더만듦,0,0,0,0,0,"0
(0.00)","0
(0.00)"
퍼피솔루션,모들카페,0,0,0,0,0,"0
(0.00)","0
(0.00)"
폴리파크플러스,(주)포파코,0,0,0,0,0,"0
(0.00)","0
(0.00)"
어라운드펫,(주)케이앤피어라운드(K&PAROUND),0,0,0,0,0,"0
(0.00)","0
(0.00)"
리츠펫(ritzpet),(주)바바코리아,0,0,0,0,0,"0
(0.00)","0
(0.00)"
겟풀(GETPOOL),(주)탐앤탐스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
브이케어,주식히사펫닥,0,0,0,0,0,"0
(0.00)","0
(0.00)"
야옹아놀자,야옹아놀자,0,0,0,0,0,"0
(0.00)","0
(0.00)"
도그베이,(주)애견컴퍼니,0,0,0,0,0,"0
(0.00)","0
(0.00)"
털로덮인친구들,주식화사반려동물,0,0,0,0,0,"0
(0.00)","0
(0.00)"
반생,(주)밸리스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
이리온,우리와(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
올리스,올리스24,0,0,0,0,0,"0
(0.00)","0
(0.00)"
마이리틀프렌드,(주)마이리틀프렌드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
