브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,136.0,15.0,1.0,5.0,10.0,"54,041
(1.00)","4,571
(1.81)"
크린토피아,(주)크린토피아,"2,634",122,0,66,247,"108,108
(2.00)","8,939
(0.17)"
월드크리닝,(주)월드크리닝,473,59,20,33,63,"91,482
(1.69)","8,182
(0.15)"
크린업24 빨래방,(주)유니룩스,444,52,0,5,7,"24,660
(0.46)","2,397
(0.04)"
크린위드,(주)월드씨앤에프,166,16,0,40,3,"0
(0.00)","0
(0.00)"
워시테리아,(주)스마트워시,108,22,3,0,0,"40,719
(0.75)","1,582
(0.03)"
위니아24크린샵,(주)위니아에이드,80,40,0,0,0,"36,916
(0.68)","2,229
(0.04)"
테라스크린,(주)테라스크린,62,8,18,3,2,"0
(0.00)","0
(0.00)"
백마크리닝R,(주)백마크리닝R,54,54,0,0,0,"47,044
(0.87)","3,881
(0.07)"
백마크리닝S,(주)백마크리닝S,40,40,0,0,0,"45,948
(0.85)","4,067
(0.08)"
세탁풍경,세탁풍경,28,14,0,1,0,"0
(0.00)","0
(0.00)"
세탁을위한사람들,(주)유성,28,1,0,6,0,"30,138
(0.56)","2,997
(0.06)"
크린시아,크린시아,19,11,0,1,2,"65,563
(1.21)","6,571
(0.12)"
백마크리닝,백마크리닝,18,18,0,0,0,"45,497
(0.84)","4,549
(0.08)"
하이크리닝,하이크리닝협동조합,16,5,1,0,0,"63,033
(1.17)","5,821
(0.11)"
하얀크리닝,하얀크리닝,16,5,0,2,3,"43,782
(0.81)","3,789
(0.07)"
화이트크리닝,화이트크리닝,12,0,0,0,4,"33,976
(0.63)","3,185
(0.06)"
크린플러스,(주)크린플러스,10,0,0,1,2,"66,297
(1.23)","5,666
(0.10)"
크린캐츠세탁프리,(주)조이박스,10,5,4,0,0,"37,856
(0.70)","3,111
(0.06)"
최정민과함께하는 크리닝마스터,크리닝마스터,8,4,0,2,0,"83,644
(1.55)","6,172
(0.11)"
새로산운동화,새로산운동화프랜차이즈,3,0,0,0,0,"0
(0.00)","0
(0.00)"
참좋은세탁소,(주)민트크린,0,0,0,0,0,"0
(0.00)","0
(0.00)"
크린에이드,(주)크린에이드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
신데렐라,(주)씨엘피코리아,0,0,0,0,0,"0
(0.00)","0
(0.00)"
크렌즈갤러리,(주)크린에이드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
세탁마을,엘림씨엔씨,0,0,0,0,0,"0
(0.00)","0
(0.00)"
클린 샘,샘랩(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
세탁쇼,(주)차렸다,0,0,0,0,0,"0
(0.00)","0
(0.00)"
워시아워(WASHHOUR),(주)클린스퀘어인터내셔널,0,0,0,0,0,"0
(0.00)","0
(0.00)"
프로세탁러,찬스바이찬(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
백마크리닝T,(주)백마크리닝티,0,0,0,0,0,"0
(0.00)","0
(0.00)"
월드크린,(주)월드크린,0,0,0,0,0,"0
(0.00)","0
(0.00)"
