브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,13.0,3.0,0.0,1.0,2.0,"751,345
(1.00)","1,397
(2.11)"
야자,(주)야놀자에프앤지,73,8,1,5,15,"313,623
(0.42)","917
(0.00)"
브라운도트호텔,(주)야놀자에프앤지,43,20,0,6,8,"144,298
(0.19)","322
(0.00)"
얌(YAM),(주)야놀자에프앤지,41,4,0,3,15,"168,084
(0.22)","1,353
(0.00)"
넘버25(NO.25),(주)야놀자에프앤지,33,19,0,10,6,"1,537,408
(2.05)","5,038
(0.01)"
호텔여기어때(HOTEL여기어때),(주)위드이노베이션,18,1,1,1,0,"800,786
(1.07)","1,509
(0.00)"
케이-게스트하우스(k-guesthouse),(주)나라365,15,0,3,0,2,"309,692
(0.41)","452
(0.00)"
게스트하우스포유,에스엠마스터(주),12,0,0,0,0,"0
(0.00)","0
(0.00)"
호텔에비뉴(H AVENUE),(주)야놀자에프앤지,6,1,0,0,1,"559,748
(0.74)","770
(0.00)"
비클래시(BE CLASSY),(주)쇼플레이스,5,3,0,0,0,"608,641
(0.81)","2,153
(0.00)"
호텔더하운드(HOTEL THE HOUND),(주)야놀자에프앤지,5,0,0,3,0,"42,676
(0.06)","61
(0.00)"
골든튤립,골든튤립코리아(주),5,2,0,0,0,"3,028,503
(4.03)","0
(0.00)"
휴식,(주)휴식,4,4,0,0,0,"0
(0.00)","0
(0.00)"
작심하우스,(주)아이엔지스토리,0,0,0,0,0,"0
(0.00)","0
(0.00)"
더블스테이,(주)더블스테이,0,0,0,0,0,"0
(0.00)","0
(0.00)"
로얄튤립,골든튤립코리아(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
리조텔 거기조아,(주)리조텔,0,0,0,0,0,"0
(0.00)","0
(0.00)"
낭만스테이,(주)아이센스에프앤비,0,0,0,0,0,"0
(0.00)","0
(0.00)"
튤립인,골든튤립코리아(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
호텔명품,엠에이치디자인그룹(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
베스트루이스해밀턴호텔,(주)베스트루이스해밀턴디자인그룹,0,0,0,0,0,"0
(0.00)","0
(0.00)"
