브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,30.0,7.0,0.0,2.0,2.0,"272,156
(1.00)","2,773
(2.62)"
골프존파크(GOLFZON PARK),(주)골프존,"1,167",276,0,19,113,"0
(0.00)","0
(0.00)"
점핑하이,(주)점핑하이,332,217,0,97,0,"0
(0.00)","0
(0.00)"
curves,(주)커브스코리아,301,10,0,25,36,"93,339
(0.34)","2,501
(0.01)"
스트라이크존(STRIKEZON),(주)뉴딘콘텐츠,169,9,0,11,11,"182,638
(0.67)","1,379
(0.01)"
리얼야구존,(주)리얼야구존,155,2,0,22,7,"178,481
(0.66)","1,539
(0.01)"
레전드야구존,(주)클라우드게이트,88,2,0,0,0,"193,552
(0.71)","1,378
(0.01)"
스포애니,(주)케이디스포츠,65,15,0,0,0,"1,232,364
(4.53)","5,967
(0.02)"
아메리카요가,(주)아메리카요가,46,2,2,2,9,"251,980
(0.93)","4,168
(0.02)"
모던필라테스MPI,(주)엠피아이모던필라테스,40,17,0,0,5,"0
(0.00)","0
(0.00)"
킹콩점프,(주)친구사이,38,0,8,0,8,"108,716
(0.40)","1,050
(0.00)"
단월드,(주)단월드,24,0,3,0,0,"0
(0.00)","0
(0.00)"
케이닥터바디시스템,(주)효전,23,2,0,0,0,"0
(0.00)","0
(0.00)"
에스엔피이(SNPE) 바른자세척추운동,(주)한국바른자세연구원,17,7,0,0,0,"56,565
(0.21)","1,640
(0.01)"
케어필라테스,빅사이트,16,4,1,0,0,"0
(0.00)","0
(0.00)"
존케이지빌리어즈,노리인터랙티브(주),16,6,0,4,0,"61,905
(0.23)","994
(0.00)"
점핑머신,점핑머신,16,16,0,0,0,"81,923
(0.30)","718
(0.00)"
바디채널(BODYCHANNEL),(주)바디채널,15,7,0,0,0,"760,784
(2.80)","3,281
(0.01)"
아리아(ARIA)센터,(주)프랜조이,15,7,0,0,0,"221,393
(0.81)","3,489
(0.01)"
브라보 퍼블릭 스크린골프,(주)퍼블릭스크린골프,14,13,0,0,0,"0
(0.00)","0
(0.00)"
레전드히어로즈,(주)클라우드게이트,14,4,0,0,0,"276,857
(1.02)","1,298
(0.00)"
포시즌필라테스,(주)소울앤바디,14,7,1,0,3,"359,310
(1.32)","4,753
(0.02)"
4차원균형 다이어트요가,한국건강리더십교육원,13,2,0,0,0,"74,375
(0.27)","704
(0.00)"
피크바이짐,피크바이짐영통점,12,5,0,3,3,"186,940
(0.69)","2,820
(0.01)"
14일동안,(주)십사일동안,11,4,0,0,2,"308,634
(1.13)","4,626
(0.02)"
이브필라테스,(주)이브필라테스,10,7,0,0,0,"311,429
(1.14)","7,267
(0.03)"
랩스휘트니스,랩스컴퍼니,9,0,0,1,0,"815,063
(2.99)","6,452
(0.02)"
에이치엠풋살파크 (hm futsal park),(주)에이치엔에스,9,1,0,1,0,"237,659
(0.87)","425
(0.00)"
리윰필라테스,(주)이제이에이치앤씨,8,1,0,0,1,"320,825
(1.18)","3,994
(0.01)"
작당,(주)올댓메이커,8,2,0,0,0,"0
(0.00)","0
(0.00)"
제로키니,제로키니,7,2,0,0,0,"105,030
(0.39)","2,207
(0.01)"
수성아트복싱클럽,수성아트복싱클럽체인본사,7,0,0,0,0,"64,920
(0.24)","935
(0.00)"
모던필라테스 부산경남지부,모던필라테스,7,1,0,2,0,"114,997
(0.42)","1,443
(0.01)"
공브라더스,(주)공브라더스,7,0,0,0,0,"243,746
(0.90)","2,664
(0.01)"
몸이야,(주)몸이야,6,2,1,0,0,"218,800
(0.80)","3,696
(0.01)"
W필라테스,W필라테스영통,6,1,0,0,2,"416,186
(1.53)","5,675
(0.02)"
핏플러스휘트니스,(주)대성에프앤지,5,1,0,0,0,"272,102
(1.00)","1,977
(0.01)"
갤러리골프아카데미,(주)디비홀딩스,5,3,0,0,1,"0
(0.00)","0
(0.00)"
벤투스CC,(주)타임앤플레이스,5,3,0,1,0,"142,024
(0.52)","1,397
(0.01)"
에소르핏,(주)47컴퍼니,4,4,0,0,0,"0
(0.00)","0
(0.00)"
타워필라테스,타워아카데미,4,0,0,0,0,"0
(0.00)","0
(0.00)"
