브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,43.0,5.0,1.0,2.0,1.0,"323,236
(1.00)","12,608
(1.76)"
오렌즈,(주)스타비젼,306,23,1,6,16,"448,007
(1.39)","28,418
(0.09)"
일공공일안경콘택트,(주)토마토디앤씨,277,6,0,5,5,"282,111
(0.87)","9,720
(0.03)"
렌즈미,(주)렌즈미,227,14,3,21,6,"201,221
(0.62)","10,335
(0.03)"
글라스스토리,(주)글라스스토리안경,212,1,29,30,2,"273,562
(0.85)","10,632
(0.03)"
안경매니져,(주)안경매니져,187,8,6,16,2,"320,568
(0.99)","11,939
(0.04)"
안경나라,(주)토마토디앤씨,141,2,0,6,3,"250,988
(0.78)","9,509
(0.03)"
안경박사,(주)안경박사,124,1,10,0,2,"0
(0.00)","0
(0.00)"
으뜸50안경,(주)으뜸50안경,117,67,0,2,8,"1,077,416
(3.33)","35,635
(0.11)"
으뜸플러스안경,플러스옵틱(주),107,59,1,0,5,"946,006
(2.93)","33,616
(0.10)"
아이피아,(주)안경매니져,103,14,0,3,1,"247,784
(0.77)","14,543
(0.04)"
렌즈타운,코코엘,80,10,7,0,4,"259,758
(0.80)","34,288
(0.11)"
아이젠트리(EYE GENTRY),아이젠트리(주),64,9,0,2,2,"445,294
(1.38)","12,174
(0.04)"
아이디어(Eyedear),(주)상상,62,8,1,1,2,"245,355
(0.76)","8,883
(0.03)"
씨채널,(주)안경매니져,62,0,0,5,1,"200,146
(0.62)","9,263
(0.03)"
아이데코,(주)지앤디,59,18,0,0,4,"149,661
(0.46)","2,690
(0.01)"
K비젼안경,(주)케이비젼안경체인,47,2,0,2,1,"373,030
(1.15)","9,168
(0.03)"
글라스박스(GLASSBOX),(주)글라스박스,47,0,0,5,5,"0
(0.00)","0
(0.00)"
시호비전(SEEHO VISION),(주)시호비전,42,0,16,0,3,"286,091
(0.89)","11,531
(0.04)"
세컨페이스,(주)젬인터네셔널,38,3,2,1,5,"273,462
(0.85)","8,228
(0.03)"
눈사랑안경,(주)프렌치아이,36,5,0,0,0,"357,196
(1.11)","12,849
(0.04)"
안경창고킹싸군,(주)이엔비코퍼레이션,35,0,0,5,1,"0
(0.00)","0
(0.00)"
렌즈맨안경원,(주)다이안옵티칼,33,0,4,3,0,"196,483
(0.61)","16,902
(0.05)"
글라스바바안경,(주)글라스바바안경체인,32,2,0,2,0,"781,503
(2.42)","10,464
(0.03)"
아이패밀리,(주)이엔비코퍼레이션,32,0,0,5,1,"0
(0.00)","0
(0.00)"
렌즈디바,(주)메인코리아,32,0,2,1,0,"26,859
(0.08)","7,604
(0.02)"
렌즈스토리,(주)글라스스토리안경,28,1,9,23,0,"120,385
(0.37)","4,417
(0.01)"
JINY's(지니스),(주)지니스안경체인,25,25,0,0,0,"0
(0.00)","0
(0.00)"
보다안경,보다안경(주),20,0,1,0,0,"262,350
(0.81)","13,593
(0.04)"
E안경(이안경),(주)이안경,17,1,0,0,0,"13,484
(0.04)","257
(0.00)"
갤러리안경,(주)갤러리안경,13,0,0,2,0,"283,400
(0.88)","10,090
(0.03)"
태극안경콘택트,(주)태극안경,12,1,0,0,0,"383,781
(1.19)","8,640
(0.03)"
렌즈나인(LENS NINE),(주)렌즈나인,12,6,0,4,0,"63,752
(0.20)","8,238
(0.03)"
아이세이버(EYESAVER),(주)아이세이버,11,2,0,0,0,"399,849
(1.24)","7,873
(0.02)"
씨채널,(주)씨채널,10,11,0,1,0,"0
(0.00)","0
(0.00)"
아이에비뉴,(주)엘앤씨에비뉴,10,0,4,0,0,"485,540
(1.50)","20,176
(0.06)"
씨채널(See Channel),(주)토마토디앤씨,7,0,0,1,0,"456,623
(1.41)","10,619
(0.03)"
탑클래스 안경체인(TOP CLAS2),(주)탑클래스안경체인,7,5,0,0,0,"0
(0.00)","0
(0.00)"
라운드2(ROUND2),(주)프렌티스,5,0,0,0,0,"157,280
(0.49)","4,525
(0.01)"
"안경,진정성",(주)안경진정성,5,4,0,0,0,"270,771
(0.84)","14,769
(0.05)"
눈애편안,(주)상상,5,0,0,1,0,"127,100
(0.39)","4,499
(0.01)"
웨이브안경원,(주)다이안옵티칼,3,0,0,0,0,"0
(0.00)","0
(0.00)"
원셀프안경콘택트,(주)원셀프안경,3,1,0,0,0,"0
(0.00)","0
(0.00)"
파리글라스,(주)다이안옵티칼,2,2,0,0,0,"0
(0.00)","0
(0.00)"
아이조아렌즈,(주)아이조아,2,1,0,0,0,"0
(0.00)","0
(0.00)"
블루페퍼(BLUE PEPPER),(주)블루페퍼,1,1,0,0,0,"0
(0.00)","0
(0.00)"
글라스타,(주)라온비젼,0,0,0,0,0,"0
(0.00)","0
(0.00)"
글라스월드,(주)글라스월드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
글라스미,(주)렌즈미,0,0,0,0,0,"0
(0.00)","0
(0.00)"
아이파인(EYE FINE),아이젠트리(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
멀리바안경,아이젠트리(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
피콜로안경원,피콜로안경,0,0,0,0,0,"0
(0.00)","0
(0.00)"
렌즈스토리(LENS STORY),(주)안경매니져,0,0,0,0,0,"0
(0.00)","0
(0.00)"
글라스스토어,(주)글라스스토리안경,0,0,0,0,0,"0
(0.00)","0
(0.00)"
안경369,(주)글라스바바안경체인,0,0,0,0,0,"0
(0.00)","0
(0.00)"
바라보다,(주)유아이글라스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
글라스스토리 (GLASS STORY),(주)안경매니져,0,0,0,0,0,"0
(0.00)","0
(0.00)"
온세일(onsail),(주)라온비젼,0,0,0,0,0,"0
(0.00)","0
(0.00)"
아이비스,(주)아이비스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
스펙터,(주)제이엔에프아이티씨,0,0,0,0,0,"0
(0.00)","0
(0.00)"
다비치안경,(주)다비치안경체인,0,0,0,0,0,"0
(0.00)","0
(0.00)"
룩옵티컬(LOOK Optical),(주)룩옵틱스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
I Love Lens (아이러브렌즈),(주)글라스스토리안경,0,0,0,0,0,"0
(0.00)","0
(0.00)"
