브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,28.0,6.0,0.0,0.0,1.0,"358,303
(1.00)","4,776
(2.50)"
세븐스타코인노래연습장,(주)루센트,197,40,0,2,14,"0
(0.00)","0
(0.00)"
락휴노래연습장,(주)대승인터컴,126,22,0,9,9,"181,923
(0.51)","3,251
(0.01)"
셜록홈즈,(주)언리얼컴퍼니,49,11,0,1,0,"182,749
(0.51)","3,285
(0.01)"
락휴노래타운,(주)대승인터컴,41,2,0,2,1,"489,167
(1.37)","5,537
(0.02)"
레드버튼(RedButton),(주)레드버튼,16,7,0,0,0,"693,312
(1.93)","7,242
(0.02)"
히어로보드게임카페,(주)펀코리아,12,8,0,0,0,"385,597
(1.08)","5,671
(0.02)"
홈즈앤루팡 보드게임카페,(주)홈즈앤루팡,7,6,0,0,0,"0
(0.00)","0
(0.00)"
아수라발발타,아수라발발타(주),6,0,0,0,1,"217,071
(0.61)","3,670
(0.01)"
정글비,정글비,4,4,0,0,0,"0
(0.00)","0
(0.00)"
오라구코인노래연습장,오라구,1,1,0,0,0,"0
(0.00)","0
(0.00)"
브레이크아웃 이스케이프,(주)이스케이프랩,1,0,0,0,0,"0
(0.00)","0
(0.00)"
EVR 그라운드,(주)리앤팍스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
텐코인,텐에프씨,0,0,0,0,0,"0
(0.00)","0
(0.00)"
수노래연습장,(주)우리모두브라보,0,0,0,0,0,"0
(0.00)","0
(0.00)"
슈퍼스타코인노래연습장,엔씨엔터(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
도어이스케이프,도어이스케이프,0,0,0,0,0,"0
(0.00)","0
(0.00)"
