브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,82.0,82.0,0.0,0.0,0.0,"2,681
(1.00)","0
-"
마카롱택시,(주)케이에스티모빌리티,"1,120","1,120",0,0,0,"2,681
(1.00)","0
-"
카카오T블루,(주)디지티모빌리티,27,27,0,0,0,"0
(0.00)","0
-"
인익스프레스(INXPRESS),(주)인익스프레스코리아,3,1,0,1,0,"0
(0.00)","0
-"
반반택시,(주)코나투스,0,0,0,0,0,"0
(0.00)","0
-"
다트,다트쉐어링(주),0,0,0,0,0,"0
(0.00)","0
-"
아이엠(i.M),㈜진모빌리티,0,0,0,0,0,"0
(0.00)","0
-"
인천콜,(주)스마트인천콜,0,0,0,0,0,"0
(0.00)","0
-"
우버택시(Uber Taxi),우버코리아테크놀로지(유),0,0,0,0,0,"0
(0.00)","0
-"
토마토모빌리티,(주)리라소프트,0,0,0,0,0,"0
(0.00)","0
-"
유모스탭(UMOS TAP),(주)코드42,0,0,0,0,0,"0
(0.00)","0
-"
로카(LOCAR),(주)스타릭스,0,0,0,0,0,"0
(0.00)","0
-"
나비콜,(주)나비콜,0,0,0,0,0,"0
(0.00)","0
-"
코리아 택시(KOREA TAXI),(주)리싱,0,0,0,0,0,"0
(0.00)","0
-"
세븐콜,(주)세븐콜택시,0,0,0,0,0,"0
(0.00)","0
-"
