브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,23.0,5.0,0.0,1.0,1.0,"318,097
(1.00)","8,813
(2.60)"
리안,미창조(주),394,48,6,44,18,"266,281
(0.84)","8,370
(0.03)"
세이프존,(주)엑손알앤디,337,347,0,10,0,"0
(0.00)","0
(0.00)"
블루클럽,(주)토마토디앤씨,319,17,0,20,10,"0
(0.00)","0
(0.00)"
박승철헤어스투디오,(주)피에스씨네트웍스,210,14,12,10,10,"458,193
(1.44)","9,869
(0.03)"
벤자롱스파,제이엔씨벤자롱(주),199,53,10,3,0,"70,265
(0.22)","21,292
(0.07)"
토리헤어,(주)토리,195,32,0,5,46,"331,188
(1.04)","5,702
(0.02)"
구피샵,(주)에스엘에스탑,180,29,3,3,10,"38,992
(0.12)","3,763
(0.01)"
이철헤어커커,(주)커커,179,18,0,21,11,"0
(0.00)","0
(0.00)"
이가자헤어비스,(주)뷰티끄레아,146,9,0,15,7,"0
(0.00)","0
(0.00)"
에이치스타일(H-STYLE),로얄파트너스(주),121,11,0,0,0,"186,293
(0.59)","19,292
(0.06)"
로이드밤,(주)휴이엠컴퍼니,112,27,2,2,5,"451,556
(1.42)","9,562
(0.03)"
약손명가,(주)약손명가외1,98,13,0,7,0,"709,131
(2.23)","16,753
(0.05)"
미플아미아,(주)미플네이처,86,2,0,12,12,"206,544
(0.65)","6,869
(0.02)"
박준뷰티랩,(주)피엔제이,85,9,0,10,0,"0
(0.00)","0
(0.00)"
제오헤어,(주)뷰쎄,72,4,3,10,8,"475,662
(1.50)","10,761
(0.03)"
포쉬네일,아름다운비젼,67,4,8,0,9,"125,823
(0.40)","7,953
(0.03)"
지노헤어(XINO HAIR),(주)지노홀딩스,63,15,0,4,6,"0
(0.00)","0
(0.00)"
이훈헤어칼라,(주)이연에프비,56,5,0,6,7,"184,210
(0.58)","5,463
(0.02)"
보그 (VOG),(주)브이오지코리아,48,10,1,0,2,"354,447
(1.11)","10,650
(0.03)"
아이디헤어,(주)아이디뷰티,43,3,0,0,7,"1,339,509
(4.21)","14,019
(0.04)"
아이디헤어,(주)아이디뷰티,43,3,0,0,7,"1,339,509
(4.21)","14,019
(0.04)"
헤어망고,(주)에이치엠코리아,43,5,0,1,3,"415,877
(1.31)","7,271
(0.02)"
염색이야기,우리들체인,39,11,0,2,2,"62,225
(0.20)","5,949
(0.02)"
헬로우컷,에이치앤씨(H&C),37,12,0,6,1,"0
(0.00)","0
(0.00)"
리소헤어(LISOHAIR),(주)엘케이아이,36,6,0,1,0,"0
(0.00)","0
(0.00)"
오다헤어,(주)헤어플래닛,34,6,3,3,0,"383,195
(1.20)","19,160
(0.06)"
modshair,(주)엠에이치프로페셔날,33,7,0,2,4,"0
(0.00)","0
(0.00)"
빨간코끼리,빨간코끼리(R&E),31,4,0,0,2,"71,176
(0.22)","2,752
(0.01)"
몰디브태닝,몰디브태닝컴퍼니,30,11,0,0,0,"0
(0.00)","0
(0.00)"
디아르떼보스헤어,(주)휴이엠컴퍼니,29,9,0,1,1,"349,052
(1.10)","9,918
(0.03)"
스킨포유,에스앤비코리아(주),29,0,0,1,3,"100,620
(0.32)","0
(0.00)"
얼짱몸짱,(주)뷰피플,29,0,0,6,2,"210,327
(0.66)","6,633
(0.02)"
더맑은스킨,(주)플랜에이컴퍼니,29,13,6,4,0,"47,447
(0.15)","3,873
(0.01)"
골든네일,(주)플랜에이컴퍼니,27,4,62,5,1,"129,557
(0.41)","9,470
(0.03)"
헤어12.5,(주)코아띠,26,4,0,12,0,"313,223
(0.98)","9,399
(0.03)"
미랑컬헤어,아름네트웍스(주),26,0,0,6,0,"0
(0.00)","0
(0.00)"
SBS아카데미뷰티스쿨,(주)미지에듀,24,2,3,0,3,"0
(0.00)","0
(0.00)"
조으다헤어,(주)조으다,22,22,0,0,0,"0
(0.00)","0
(0.00)"
레드헤어 COOL,레드헤어,22,3,0,4,1,"266,447
(0.84)","10,481
(0.03)"
닥터수,(주)닥터수,21,3,1,0,0,"106,804
(0.34)","3,360
(0.01)"
프리미엄살롱세종,(주)미용그룹세종,20,2,0,4,2,"321,423
(1.01)","18,316
(0.06)"
헤어아티스트엠,(주)헤어아티스트엠,20,5,0,0,2,"354,311
(1.11)","12,200
(0.04)"
닥터모락,(주)닥터모락,19,13,0,0,0,"246,695
(0.78)","10,717
(0.03)"
에리카헤어,(주)에리카,18,12,0,0,1,"372,862
(1.17)","9,322
(0.03)"
어반그라운드헤어(urbangroundhair),(주)가나안홀딩스,18,5,0,1,1,"302,276
(0.95)","6,980
(0.02)"
펠리아 뷰티살롱,(주)펠리아,18,0,0,3,1,"319,667
(1.00)","7,502
(0.02)"
이미호아이래쉬(이미호eyelash),이미호아이래쉬,18,0,0,3,0,"45,000
(0.14)","11,000
(0.03)"
탑스칼프,비오엠코스메틱(주),18,5,0,2,4,"241,208
(0.76)","8,129
(0.03)"
금단비가,(주)금단비가,18,3,4,0,2,"0
(0.00)","0
(0.00)"
헤어아떼,(주)더비앤에이치,18,4,1,1,2,"265,860
(0.84)","6,361
(0.02)"
아미치0.3,(주)다모생활건강,17,0,0,0,0,"139,417
(0.44)","3,524
(0.01)"
헤어팡팡,에스앤피컴퍼니,16,1,0,0,0,"397,775
(1.25)","7,084
(0.02)"
아이벨르팜므(I Belle Femme),(주)디이노,16,1,0,2,0,"375,973
(1.18)","8,840
(0.03)"
토니앤가이,(주)케이앤씨서비스,15,1,4,0,0,"0
(0.00)","0
(0.00)"
쟈끄데상쥬,(주)디이노,15,0,0,4,1,"506,788
(1.59)","7,857
(0.02)"
닥터스칼프,(주)닥터스칼프,15,2,3,0,0,"0
(0.00)","0
(0.00)"
차홍룸(CHAHONG ROOM),(주)씨에이치인터내셔널,15,5,0,0,0,"188,871
(0.59)","2,778
(0.01)"
고정현헤어,(주)고헤어,15,1,0,0,2,"809,124
(2.54)","13,879
(0.04)"
위뷰티,(주)위뷰티,14,0,0,0,1,"0
(0.00)","0
(0.00)"
헤어1380,(주)더비앤에이치,13,1,1,0,1,"183,977
(0.58)","5,676
(0.02)"
꾸아퍼스트,꾸아몽드(주),13,4,0,3,0,"971,777
(3.05)","13,562
(0.04)"
가인미가,(주)가인미가그룹,13,1,0,0,1,"362,597
(1.14)","6,036
(0.02)"
휴이엠헤어,(주)휴이엠컴퍼니,13,13,0,0,0,"0
(0.00)","0
(0.00)"
예신,(주)예신건강가꾸기,13,4,0,7,0,"0
(0.00)","0
(0.00)"
커틸다헤어살롱,㈜열펌공화국,12,3,0,2,0,"0
(0.00)","0
(0.00)"
뉴욕비비,(주)뷰티베리,11,0,0,0,0,"11,808
(0.04)","564
(0.00)"
스파나무,(주)뷰티컴바인,11,2,0,0,0,"340,796
(1.07)","10,244
(0.03)"
루루앤아이래쉬,루루앤아이래쉬,11,0,0,0,0,"97,703
(0.31)","6,967
(0.02)"
헤솔두피클리닉스,(주)에코마인,11,2,0,0,0,"177,631
(0.56)","6,825
(0.02)"
사틴헤어,(주)사틴,11,0,1,0,0,"622,558
(1.96)","15,459
(0.05)"
버블스토리,(주)펀키즈코리아,11,0,1,0,0,"125,420
(0.39)","7,261
(0.02)"
드라포레(De La foret),(주)포레,10,4,0,1,0,"0
(0.00)","0
(0.00)"
닥터포헤어,(주)휴메이저,10,3,2,0,0,"237,767
(0.75)","9,747
(0.03)"
헤어팰리스(Hair Palace),로얄파트너스(주),10,0,0,0,0,"246,534
(0.78)","6,614
(0.02)"
자미한,자미한미용학원,9,4,0,2,0,"56,504
(0.18)","2,018
(0.01)"
이진헤어,(주)이진뷰티,8,2,0,0,1,"263,476
(0.83)","8,865
(0.03)"
라뷰티코아,(주)라뷰티코아,8,0,5,1,0,"0
(0.00)","0
(0.00)"
박공헤어,(주)피에스씨네트웍스,8,2,0,0,1,"370,390
(1.16)","13,987
(0.04)"
뽑자 슈가링,비에프오코리아(B.F.OKOREA),8,8,0,0,0,"68,952
(0.22)","3,491
(0.01)"
김송정머리터,김송정머리터,7,7,0,0,0,"0
(0.00)","0
(0.00)"
이경민포레,(주)포레,7,0,0,6,1,"889,708
(2.80)","10,889
(0.03)"
순수,(주)순수패밀리,7,5,0,0,0,"0
(0.00)","0
(0.00)"
키웰(KEYWELL),(주)사이,6,1,0,0,2,"430,447
(1.35)","8,323
(0.03)"
부르힐에스테틱,브라이트피플,6,6,0,1,0,"0
(0.00)","0
(0.00)"
더블유엠에스테틱두피센터,더블유엠에스테틱시지점,5,1,1,0,0,"106,463
(0.33)","2,146
(0.01)"
칩꾸아프,플랑크타임(주),5,1,0,5,0,"127,500
(0.40)","5,100
(0.02)"
젠틀루뉴욕,(주)이엑스피코리아,5,4,0,0,0,"0
(0.00)","0
(0.00)"
코라인(KOHRAIN),KOHRAIN코라인,5,0,0,2,0,"281,404
(0.88)","8,381
(0.03)"
휴앤진,(주)휴앤진,4,1,0,3,0,"0
(0.00)","0
(0.00)"
큐헤어(Q HAIR),(주)큐에이치,4,1,0,1,1,"0
(0.00)","0
(0.00)"
시카고왁싱,엠제이부티끄(주),4,0,0,0,1,"0
(0.00)","0
(0.00)"
김찬월가모,(주)김찬월가모랩,4,0,0,0,0,"0
(0.00)","0
(0.00)"
더세리(THE SERI),(주)세리앤코,4,0,2,0,0,"0
(0.00)","0
(0.00)"
헤어7반장,(주)코아띠,4,4,0,0,0,"0
(0.00)","0
(0.00)"
하루두피 (Haru Scalp),(주)루틸코리아,4,1,0,0,0,"0
(0.00)","0
(0.00)"
엣지태닝,엣지태닝가맹본부,4,4,0,0,0,"0
(0.00)","0
(0.00)"
디탐(D.Tam),디탐,3,3,0,0,0,"311,833
(0.98)","7,196
(0.02)"
ZS HAIR SALON (제트에스헤어살롱),ZAS,3,1,0,0,0,"0
(0.00)","0
(0.00)"
차홍아르더,(주)씨에이치인터내셔널,3,0,0,0,0,"0
(0.00)","0
(0.00)"
시원하오,더케이웰니스,3,0,0,0,0,"0
(0.00)","0
(0.00)"
헤어그라피,(주)피에스씨네트웍스,3,0,0,0,1,"0
(0.00)","0
(0.00)"
미인가,미인가,3,0,0,0,0,"0
(0.00)","0
(0.00)"
지케이네일(GK네일),(주)위드코,3,0,0,0,0,"0
(0.00)","0
(0.00)"
채에스테틱,(주)케이뷰티원,2,1,0,0,0,"0
(0.00)","0
(0.00)"
아이벨르,(주)디이노,2,0,0,0,0,"0
(0.00)","0
(0.00)"
오캄(au calme),(주)뷰티끄레아,2,2,0,0,0,"0
(0.00)","0
(0.00)"
브로우돌(Brow-Doll),브로우돌,2,2,0,0,0,"0
(0.00)","0
(0.00)"
유미코리아뷰티,(주)한국미용전문그룹유미코리아,2,2,0,0,0,"0
(0.00)","0
(0.00)"
제니웨딩뷰티(jenny wedding beauty),(주)제니하우스,2,0,1,1,0,"0
(0.00)","0
(0.00)"
제니하우스(jennyhouse),(주)제니하우스,2,0,0,0,0,"0
(0.00)","0
(0.00)"
샹프리(SHANGPREE),(주)유알지,2,0,0,0,0,"0
(0.00)","0
(0.00)"
미휴,카이스트제1호연구소기업엠피위즈(주),2,0,0,0,0,"0
(0.00)","0
(0.00)"
에센슈얼,(주)케이앤씨서비스,2,1,0,0,0,"0
(0.00)","0
(0.00)"
칼라스파,(주)디에스그룹,1,1,1,0,0,"0
(0.00)","0
(0.00)"
크레이머파리헤어살롱,(주)크래이머코리아,1,0,0,0,0,"0
(0.00)","0
(0.00)"
론썸헤이드,론썸헤이드,1,1,0,0,0,"0
(0.00)","0
(0.00)"
팩하우스,(주)인트코퍼레이션,1,1,0,0,0,"0
(0.00)","0
(0.00)"
이환헤어궁,이환헤어궁,1,0,0,0,0,"0
(0.00)","0
(0.00)"
김활란뮤제네프,(주)김활란뮤제네프,1,0,0,0,0,"192,166
(0.60)","0
(0.00)"
블랭크유(BLANKYOU),(주)수이비뷰티컴퍼니,1,0,0,0,0,"0
(0.00)","0
(0.00)"
솔루미에스테,㈜지앤제이,1,1,0,0,0,"0
(0.00)","0
(0.00)"
엔네일,엔네일춘천지점,1,0,1,0,0,"0
(0.00)","0
(0.00)"
하다,(주)고헤어,1,0,0,1,0,"0
(0.00)","0
(0.00)"
스타일맨,(주)제이엠헤어존,1,1,0,0,0,"0
(0.00)","0
(0.00)"
슈슈앤쎄씨,(주)슈슈코스메틱,0,0,0,0,0,"0
(0.00)","0
(0.00)"
프랑크프로보,(주)뷰쎄,0,0,0,0,0,"0
(0.00)","0
(0.00)"
에즈헤어라운지,(주)디피플,0,0,0,0,0,"0
(0.00)","0
(0.00)"
엉클부스,엉클부스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
탈모야안녕,탈모야안녕,0,0,0,1,0,"0
(0.00)","0
(0.00)"
RADO,이엘뷰티미용재료,0,0,0,0,0,"0
(0.00)","0
(0.00)"
스파에이르,에이르랩,0,0,0,0,0,"0
(0.00)","0
(0.00)"
최가을헤어드레서,(주)뷰티레이블,0,0,0,0,0,"0
(0.00)","0
(0.00)"
계서은제이르,계서은제이르,0,0,0,0,0,"0
(0.00)","0
(0.00)"
3.4.5 헤어살롱,(주)뷰티투웰브,0,0,0,0,0,"0
(0.00)","0
(0.00)"
슈가헤어디자인숍(SUGAR HAIR DESIGN SHOP),(주)지노홀딩스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
네일블룸,비엔티에프앤씨,0,0,0,0,0,"0
(0.00)","0
(0.00)"
CHOPHAIR,씨에이치오피네이션,0,0,0,0,0,"0
(0.00)","0
(0.00)"
엘케이엠포레뷰티(LKM foret beauty),(주)포레,0,0,0,0,0,"0
(0.00)","0
(0.00)"
준오헤어,(주)준오뷰티,0,0,0,0,0,"0
(0.00)","0
(0.00)"
네일닥터(Nail Doctor),(주)네일닥터,0,0,0,0,0,"0
(0.00)","0
(0.00)"
스파머시,(주)스파앤컨설팅,0,0,0,0,0,"0
(0.00)","0
(0.00)"
스킨랩엘,(주)스파앤컨설팅,0,0,0,0,0,"0
(0.00)","0
(0.00)"
더 크라이오테라피,(주)리얼야구존,0,0,0,0,0,"0
(0.00)","0
(0.00)"
라오나토뷰티스쿨,(주)미지에듀,0,0,0,0,0,"0
(0.00)","0
(0.00)"
살롱에이(salon a),(주)키애듀팩토리,0,0,0,0,0,"0
(0.00)","0
(0.00)"
민낯뷰티,(주)블라썸클라우드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
머리샵,머리샵,0,0,0,0,0,"0
(0.00)","0
(0.00)"
미더베스트(美THE BEST),플랜아우어(PLAN.OUR),0,0,0,0,0,"0
(0.00)","0
(0.00)"
레드美컬,레드헤어,0,0,0,0,0,"0
(0.00)","0
(0.00)"
장루이다비드(Jean Louis David),(주)제이엘디케이,0,0,0,0,0,"0
(0.00)","0
(0.00)"
라비앙르 로즈(LA VIE ENR ROSE),라비앙르로즈,0,0,0,0,0,"0
(0.00)","0
(0.00)"
핸팅(HANDTING),(주)핸팅,0,0,0,0,0,"0
(0.00)","0
(0.00)"
마들렌 헤어,(주)서진컴퍼니,0,0,0,0,0,"0
(0.00)","0
(0.00)"
그리니쉬,그리니쉬네일,0,0,0,0,0,"0
(0.00)","0
(0.00)"
Du Sol Hair (두쏠헤어),(주)두쏠트렌드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
나이스가이,(주)정우인터내셔널,0,0,0,0,0,"0
(0.00)","0
(0.00)"
르아르채(LEARECHE),(주)더뷰티,0,0,0,1,0,"0
(0.00)","0
(0.00)"
마끼에,(주)커커,0,0,0,0,0,"0
(0.00)","0
(0.00)"
요조바디라인,(주)제이어포드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
티나스타일,티나스타일,0,0,0,0,0,"0
(0.00)","0
(0.00)"
늘담빛,와이에스아이네트웍스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
에스뷰테라,에스씨파트너스(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
반디인하우스,뷰티경영연구소,0,0,0,0,0,"0
(0.00)","0
(0.00)"
레드폴바버샵,(주)레드폴바버샵,0,0,0,0,0,"0
(0.00)","0
(0.00)"
제이로랑,로랑뷰티,0,0,0,0,0,"0
(0.00)","0
(0.00)"
찰스리헤어테크,(주)찰스리,0,0,0,0,0,"0
(0.00)","0
(0.00)"
베이바이허슬기,(주)베이바이허슬기,0,0,0,0,0,"0
(0.00)","0
(0.00)"
스위스익스필,스위스익스필,0,0,0,0,0,"0
(0.00)","0
(0.00)"
모양,(주)엠프파트너스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
라트리헤어,(주)라트리컴퍼니,0,0,0,0,0,"0
(0.00)","0
(0.00)"
닥터모다르,루브젯,0,0,0,0,0,"0
(0.00)","0
(0.00)"
결이고은 에스테틱,(주)결이고은,0,0,0,0,0,"0
(0.00)","0
(0.00)"
우먼홈케어,우먼홈케어,0,0,0,0,0,"0
(0.00)","0
(0.00)"
