브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,11.0,2.0,0.0,0.0,0.0,"153,205
(1.00)","4,028
(6.50)"
해피케어,(주)해피케어,44,6,0,2,0,"44,953
(0.29)","2,964
(0.02)"
참사랑어머니회산후도우미,(주)참사랑씨앤이,34,2,1,0,3,"435,088
(2.84)","0
(0.00)"
덤인,(주)덤인,21,0,0,1,0,"49,571
(0.32)","0
(0.00)"
조은맘,조은맘산후도우미,19,11,0,0,0,"35,222
(0.23)","5,092
(0.03)"
도담도담 산후도우미,도담도담맘&베이비홈케어,16,4,0,0,0,"201,194
(1.31)","0
(0.00)"
위드맘케어,(주)위드맘케어,15,7,0,0,0,"0
(0.00)","0
(0.00)"
참사랑그린가가정관리사,(주)참사랑씨앤이,10,0,0,0,0,"0
(0.00)","0
(0.00)"
참사랑어머니회베이비시터,(주)참사랑씨앤이,10,0,1,0,0,"0
(0.00)","0
(0.00)"
시니어스초이스(Seniors Choice),(주)시니어케어24,9,9,0,0,0,"0
(0.00)","0
(0.00)"
위더스산후케어,위더스산후케어,4,1,0,0,0,"0
(0.00)","0
(0.00)"
엔젤스맘,엔젤스맘,0,0,0,0,0,"0
(0.00)","0
(0.00)"
봄빛베스트,봄빛베스트,0,0,0,0,0,"0
(0.00)","0
(0.00)"
이레아이맘,이레아이맘평생교육원,0,0,0,0,0,"0
(0.00)","0
(0.00)"
시니어케어24(Senior Care24),(주)시니어케어24,0,0,0,0,0,"0
(0.00)","0
(0.00)"
닥터맘 산모도우미,닥터맘앤닥터베베,0,0,0,0,0,"0
(0.00)","0
(0.00)"
해와달출장산후조리,(본점)해와달출장산후조리,0,0,0,0,0,"0
(0.00)","0
(0.00)"
