브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,7.0,3.0,0.0,0.0,0.0,"137,883
(1.00)","6,671
(4.33)"
플랜트,(주)플랜트스터디카페,37,18,0,0,0,"81,335
(0.59)","1,678
(0.01)"
플스빌,더캠트사업본부,29,19,0,5,0,"226,720
(1.64)","16,228
(0.12)"
열공스터디카페,(주)열공스터디카페,19,9,0,0,0,"105,595
(0.77)","2,109
(0.02)"
이랑한복,이랑한복,4,1,2,0,0,"0
(0.00)","0
(0.00)"
알파박스(ALPHABOX),알파박스,2,0,0,0,0,"0
(0.00)","0
(0.00)"
키친42,(주)시그널,1,1,0,0,0,"0
(0.00)","0
(0.00)"
쏘플 파티룸,(주)소셜패밀리,0,0,0,0,0,"0
(0.00)","0
(0.00)"
GARAGE KITCHEN(개러지키친),(주)개러지키친,0,0,0,0,0,"0
(0.00)","0
(0.00)"
KITCHEN WORKS(키친웍스),(주)에스앤엘웍스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
모두의 주방,(주)모두벤쳐스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
더프라자골프스튜디오,(주)더프라자,0,0,0,0,0,"0
(0.00)","0
(0.00)"
피크닉109,씨제이컨설팅(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
스마트탑오피스,(주)에이치엠크리에이션,0,0,0,0,0,"0
(0.00)","0
(0.00)"
