브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,86.0,7.0,2.0,3.0,0.0,"134,266
(1.00)","2,174
(2.52)"
블루핸즈(bluehands),현대자동차(주),"1,372",28,4,26,6,"0
(0.00)","0
(0.00)"
마스타,마스타자동차관리(주),760,21,30,0,0,"18,253
(0.14)","520
(0.00)"
마스타,마스타자동차관리(주),760,21,30,0,0,"18,253
(0.14)","520
(0.00)"
브이쿨,(주)지알테크,466,83,0,16,1,"89,021
(0.66)","0
(0.00)"
티스테이션,한국타이어앤테크놀로지(주),437,0,27,7,3,"679,979
(5.06)","0
(0.00)"
카앤피플,(주)카앤피플,270,143,12,107,0,"7,142
(0.05)","0
(0.00)"
스미스클럽,(주)스미스클럽,230,39,0,25,1,"79,020
(0.59)","1,720
(0.01)"
카젠,(주)카젠,209,2,11,4,2,"110,755
(0.82)","3,430
(0.03)"
레디카,마스타자동차관리(주),193,1,6,0,0,"13,187
(0.10)","300
(0.00)"
레디카,마스타자동차관리(주),193,1,6,0,0,"13,187
(0.10)","300
(0.00)"
투투정비서비스,투투정비서비스(주),91,0,0,0,0,"10,232
(0.08)","59
(0.00)"
매직터치,(주)엠티덴트테크,75,7,12,4,0,"31,965
(0.24)","1,164
(0.01)"
틴트어카,(주)틴트어카코리아,63,3,5,6,1,"80,010
(0.60)","2,870
(0.02)"
소낙스서비스,(주)알레스,60,23,0,10,0,"159,026
(1.18)","2,551
(0.02)"
메이저카,(주)메이저카,55,7,6,0,0,"45,599
(0.34)","806
(0.01)"
덱스크루(DEX CREW),(주)덱스크루,41,8,0,4,0,"97,334
(0.72)","3,134
(0.02)"
오토앤(auto&),오토앤(주),40,13,2,1,0,"925,714
(6.89)","5,614
(0.04)"
지바트,(주)지코프로,29,0,1,0,0,"68,862
(0.51)","4,527
(0.03)"
Detailer明(디테일러명),(주)디테일러명,23,23,0,0,0,"0
(0.00)","0
(0.00)"
카스페이스(CAR SPACE),카스페이스,20,5,0,1,2,"0
(0.00)","0
(0.00)"
바름정비,(주)바름파트너스,14,4,0,2,0,"0
(0.00)","0
(0.00)"
크린테크,(주)크린모어,13,0,0,1,3,"98,344
(0.73)","6,922
(0.05)"
에쓰-오일(S-OIL)슈퍼워시(SUPERWASH),오토앤(주),12,4,0,0,0,"0
(0.00)","0
(0.00)"
TS협력자동차검사소,한국교통안전공단,11,0,0,0,0,"7,854
(0.06)","140
(0.00)"
갓차,(주)갓차,11,4,0,0,0,"45,487
(0.34)","0
(0.00)"
엠팸,(주)엠팸,9,4,0,0,0,"0
(0.00)","0
(0.00)"
럭스서비스,럭스서비스(LUXEservice)본점,9,2,0,0,0,"61,167
(0.46)","2,284
(0.02)"
도도세차,S.I인터내셔널,8,0,0,2,0,"0
(0.00)","0
(0.00)"
킹콩샤워,(주)킹콩샤워,8,5,0,0,0,"148,289
(1.10)","1,508
(0.01)"
어제스트,(주)어제스트,8,0,0,3,1,"31,342
(0.23)","879
(0.01)"
VXST(버텍스 스팀),라미CNP(주),8,0,0,33,0,"0
(0.00)","0
(0.00)"
아이나비프리미엄스토어,팅크웨어(주),7,4,0,0,0,"500,000
(3.72)","5,719
(0.04)"
스팀맨,(주)창업맨,5,5,0,0,0,"0
(0.00)","0
(0.00)"
탑앤존,디티코리아,4,3,0,0,0,"0
(0.00)","0
(0.00)"
이지씨에스스팀파워(EGCS Steam Power),(주)에코그린카스토리,3,1,2,0,0,"0
(0.00)","0
(0.00)"
에스로드,(주)에스엔티,3,3,0,0,0,"0
(0.00)","0
(0.00)"
모토키이(motokii),모토키이(motokii),3,2,0,0,0,"0
(0.00)","0
(0.00)"
쉴드샵,쉴드샵,2,1,0,0,0,"16,650
(0.12)","695
(0.01)"
골드엠,골드엠,1,0,0,0,0,"0
(0.00)","0
(0.00)"
지족스(G'ZOX),오토앤(주),1,0,0,0,0,"0
(0.00)","0
(0.00)"
덱스워시,(주)덱스크루,1,1,0,0,0,"0
(0.00)","0
(0.00)"
디테일링(detailing),오토앤(주),1,0,1,0,0,"0
(0.00)","0
(0.00)"
1991모터스,1991모터스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
오토카지(Autocarz),(주)오토카지,0,0,0,0,0,"0
(0.00)","0
(0.00)"
autoOasis(오토오아시스),지에스엠비즈(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
쌍둥이출장세차,대구쌍둥이밧데리본점,0,0,0,0,0,"0
(0.00)","0
(0.00)"
세차라운지1944,만호CS,0,0,0,0,0,"0
(0.00)","0
(0.00)"
오토큐(AUTO Q),기아자동차(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
수파가드(Supagard),동화피앤디,0,0,0,0,0,"0
(0.00)","0
(0.00)"
스팀크루,스팀크루본부,0,0,0,0,0,"0
(0.00)","0
(0.00)"
ECO CLEAN,(주)에코클린,0,0,0,0,0,"0
(0.00)","0
(0.00)"
Circle AUTO TAG,(주)나인서클코리아,0,0,0,0,0,"0
(0.00)","0
(0.00)"
카핏,(주)글로씨,0,0,0,0,0,"0
(0.00)","0
(0.00)"
복원달인,(주)에스시알엠,0,0,0,0,0,"0
(0.00)","0
(0.00)"
티앤씨자동차외형복원,티앤씨자동차외형복원,0,0,0,0,0,"0
(0.00)","0
(0.00)"
내차를부탁해,내차를부탁해,0,0,0,0,0,"0
(0.00)","0
(0.00)"
플레이앤드,플레이앤드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
SPEEDMATE,SK네트웍스(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
카메오랩,삼정카메오,0,0,0,0,0,"0
(0.00)","0
(0.00)"
카포스,한국자동차전문정비사업조합연합회,0,0,0,0,0,"0
(0.00)","0
(0.00)"
쌔카스팀세차,(주)쌔카에스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
글로벌자동차유리,(주)지에이엠지,0,0,0,0,0,"0
(0.00)","0
(0.00)"
스팀보이게러지,(주)스팀보이게러지,0,0,0,0,0,"0
(0.00)","0
(0.00)"
공임나라,(주)자동차공임나라,0,0,0,0,0,"0
(0.00)","0
(0.00)"
