브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,10.0,2.0,0.0,2.0,0.0,"327,879
(1.00)","14,509
(2.22)"
노량진의 전설 미스사이공(miss420),(주)엠푸드에스엔시,208,22,0,88,0,"188,662
(0.58)","30,561
(0.09)"
후라이드참잘하는집,더스카이팜후라이드참잘하는집지점,178,42,1,0,13,"446,688
(1.36)","40,304
(0.12)"
Emoi(에머이),(주)에머이,76,4,0,32,2,"465,465
(1.42)","11,257
(0.03)"
쏭스클럽핫도그,(주)쏭앤킴푸드,54,5,3,1,4,"57,259
(0.17)","70,874
(0.22)"
아리가또맘마,(주)트렌차이즈,50,17,21,0,0,"209,750
(0.64)","11,206
(0.03)"
리틀하노이(LittleHANOI),(주)글로리본,41,7,8,8,3,"134,245
(0.41)","7,961
(0.02)"
미각양꼬치,(주)미각,39,3,4,0,0,"356,849
(1.09)","10,289
(0.03)"
도스마스,(주)도스마스,36,0,0,10,0,"177,540
(0.54)","9,803
(0.03)"
경성양꼬치,(주)천지,36,1,0,6,2,"274,486
(0.84)","10,979
(0.03)"
메콩타이,(주)메콩타이컴퍼니,30,3,0,2,2,"555,096
(1.69)","11,905
(0.04)"
베트남노상식당,(주)트리플에이컴퍼니,28,4,2,13,3,"241,385
(0.74)","9,560
(0.03)"
호아빈,(주)오리엔탈푸드코리아,28,1,0,11,3,"322,643
(0.98)","9,345
(0.03)"
영칼로리 쌀국수,(주)제이투케이에프앤비,26,24,0,2,0,"38,475
(0.12)","2,094
(0.01)"
생어거스틴,(주)늘솜,23,0,0,7,1,"816,351
(2.49)","13,411
(0.04)"
핵스테이크,(주)핵가족,23,11,0,12,1,"209,672
(0.64)","17,685
(0.05)"
램플러스,(주)제이에이치,22,1,0,7,1,"312,425
(0.95)","11,583
(0.04)"
포트리스,(주)포트리스,21,21,0,0,0,"123,084
(0.38)","7,779
(0.02)"
미분당,(주)미분당,19,9,0,0,2,"445,768
(1.36)","30,668
(0.09)"
일공공샤브,(주)일공공코리아,17,8,0,0,1,"505,428
(1.54)","6,851
(0.02)"
사이공본가,(주)글로벌프렌드,16,16,0,0,0,"358,104
(1.09)","16,401
(0.05)"
반포식스,(주)테이스티컴퍼니,15,0,0,0,0,"686,690
(2.09)","16,323
(0.05)"
부리또인,(주)인피플컴퍼니,14,3,0,1,2,"225,662
(0.69)","15,604
(0.05)"
도스타코스,(주)도스타코스,12,0,0,0,1,"255,207
(0.78)","12,509
(0.04)"
하와이새우트럭,(주)하와이팩토리,12,2,5,0,0,"203,751
(0.62)","6,062
(0.02)"
유생촌,(주)유생촌푸드,11,1,0,4,0,"1,111,425
(3.39)","11,629
(0.04)"
포로이,(주)포로이,10,1,0,4,1,"233,099
(0.71)","6,421
(0.02)"
르번미(Lebunmie),(주)세지푸드,10,1,2,0,0,"349,049
(1.06)","20,137
(0.06)"
리틀파파포(Little PAPA Pho),(주)피엠씨에프앤비,10,1,0,1,0,"263,418
(0.80)","12,329
(0.04)"
