브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,16.0,4.0,0.0,1.0,0.0,"352,071
(1.00)","11,910
-"
봉구스밥버거,(주)부자이웃,580,65,40,87,17,"108,546
(0.31)","3,209
-"
불닭발땡초동대문엽기떡볶이,(주)핫시즈너,487,26,0,0,20,"598,693
(1.70)","30,219
-"
김가네김밥,(주)김가네,427,34,3,34,21,"350,058
(0.99)","22,755
-"
죽이야기,(주)죽이야기,406,43,37,0,26,"134,950
(0.38)","11,774
-"
가마치통닭,(주)티지와이,398,220,0,19,49,"237,133
(0.67)","17,035
-"
썬더치킨,(주)썬더치킨,344,27,10,39,32,"100,169
(0.28)","4,757
-"
바다양푼이 동태탕 찜,(주)예진희알이에프,327,74,0,102,20,"20,826
(0.06)","694
-"
엑소엑소 푸드카페,(주)세컨드찬스,326,146,0,9,29,"59,630
(0.17)","531
-"
이차돌,(주)다름플러스,227,124,0,3,10,"833,828
(2.37)","25,042
-"
북촌손만두,(주)북촌사람들,174,34,4,32,10,"313,215
(0.89)","19,629
-"
청담동말자싸롱,(주)금탑에프앤비,162,13,26,0,10,"122,573
(0.35)","7,343
-"
뚱보집,(주)엘에이치케이컴퍼니,160,169,12,0,9,"386,689
(1.10)","16,755
-"
수내닭꼬치,(주)현풍,158,64,8,18,8,"111,940
(0.32)","8,283
-"
용범이네인계동껍데기,(주)김승용에프에스,158,160,0,2,5,"623,038
(1.77)","26,261
-"
곱창고,(주)제이엔케이패밀리,148,10,0,54,2,"367,276
(1.04)","13,774
-"
에그드랍(EGG DROP),(주)골든하인드,143,106,0,1,11,"379,545
(1.08)","41,857
-"
족발야시장,(주)족발야시장,142,54,0,3,9,"636,126
(1.81)","21,256
-"
청춘감성쌀핫도그,(주)청춘감성쌀핫도그,140,26,0,35,13,"60,687
(0.17)","7,368
-"
노가리&BEER,(주)티엘에프앤씨,136,40,0,12,13,"192,039
(0.55)","7,762
-"
디저트39,(주)디저트메이커스,135,24,34,0,6,"141,155
(0.40)","8,405
-"
대구반야월막창,(주)대구반야월막창,129,12,0,13,3,"177,265
(0.50)","6,743
-"
쿡1015,(주)홍익푸드,124,34,6,0,12,"228,565
(0.65)","18,493
-"
싸움의고수,(주)란체스터에프앤비,106,37,0,2,4,"265,505
(0.75)","17,612
-"
어사출또,어판왕어업회사법인㈜,102,17,0,8,7,"766,352
(2.18)","13,478
-"
캠토토스트,(주)주안,101,10,19,0,6,"45,388
(0.13)","3,799
-"
라무진,(주)라무진,100,12,4,1,4,"338,286
(0.96)","18,137
-"
라라코스트(raracost),(주)라라에프앤비(RARAF&B),98,0,0,9,7,"836,984
(2.38)","8,603
-"
혜화동돈까스극장,(주)골든카우보이,98,21,0,14,7,"60,049
(0.17)","3,811
-"
우리집다음에맛있는집양평해장국,(주)우리집다음에맛있는집,93,15,1,12,5,"277,281
(0.79)","5,861
-"
리얼안심탕수육,(주)록원에프엔비,93,64,0,25,0,"132,893
(0.38)","8,165
-"
콩심,(주)맛있는푸드,91,24,5,2,7,"506,351
(1.44)","17,698
-"
아비꼬,쿠산코리아(주),88,16,0,10,8,"470,243
(1.34)","18,559
-"
한스델리,(주)한스앤컴퍼니,84,1,3,15,4,"252,813
(0.72)","6,775
-"
육감만족,(주)정담,83,21,0,9,10,"413,777
(1.18)","16,764
-"
굴세상,(유)굴세상,82,1,0,4,3,"245,353
(0.70)","6,899
-"
육미명가옛날아우내순대&보쌈,(주)병천아우내식품,81,24,3,6,0,"129,097
(0.37)","4,385
-"
보고싶다,보고싶다(주),79,61,0,0,9,"657,633
(1.87)","14,860
-"
곱창이야기,(주)기성피제이에스,76,12,0,9,1,"389,161
(1.11)","19,456
-"
