브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,22.0,5.0,0.0,1.0,1.0,"213,339
(1.00)","14,199
(2.26)"
이삭토스트,(주)이삭,809,33,6,36,38,"144,992
(0.68)","14,227
(0.07)"
신전떡볶이,신전푸드시스,662,53,2,0,25,"0
(0.00)","0
(0.00)"
국수나무,해피브릿지협동조합,538,48,0,33,54,"231,426
(1.08)","13,602
(0.06)"
감탄떡볶이,(주)오투스페이스,352,22,0,42,23,"0
(0.00)","0
(0.00)"
청년다방,(주)한경기획,323,95,0,2,28,"365,552
(1.71)","17,165
(0.08)"
김밥천국,(주)정다믄,292,9,3,0,4,"0
(0.00)","0
(0.00)"
죠스떡볶이,(주)죠스푸드,247,14,42,1,24,"224,670
(1.05)","19,461
(0.09)"
응급실국물떡볶이,(주)금해코리아,221,121,0,4,12,"289,120
(1.36)","23,316
(0.11)"
두끼,(주)다른,218,54,0,0,20,"603,228
(2.83)","11,980
(0.06)"
신참떡볶이,(주)신참에프앤씨,215,53,16,11,25,"163,694
(0.77)","12,760
(0.06)"
공수간,(주)놀부,192,103,48,0,20,"54,021
(0.25)","14,890
(0.07)"
용우동,(주)용마을,186,22,11,0,3,"247,342
(1.16)","14,406
(0.07)"
불스떡볶이,(주)비케이홀딩스,138,33,11,0,15,"223,068
(1.05)","17,528
(0.08)"
바르다김선생,(주)바르다김선생,138,13,2,20,10,"396,549
(1.86)","23,973
(0.11)"
걸작떡볶이치킨,(주)위드인푸드,135,45,0,13,12,"316,393
(1.48)","24,452
(0.11)"
명인만두,(주)명인에프엔비,129,24,0,18,11,"153,571
(0.72)","9,356
(0.04)"
역전우동0410,(주)더본코리아,114,19,0,2,6,"373,280
(1.75)","23,260
(0.11)"
신포우리만두,(유)신포우리식품,113,13,0,11,5,"355,488
(1.67)","13,082
(0.06)"
토마토김밥,(주)푸름에프앤에스,106,8,3,3,5,"365,162
(1.71)","29,798
(0.14)"
만두여행,(주)인화에프엔비,105,114,0,17,1,"54,489
(0.26)","9,735
(0.05)"
신불떡볶이,(주)신불식품,99,14,0,13,10,"0
(0.00)","0
(0.00)"
오마뎅,(주)오마뎅,94,37,0,10,12,"163,028
(0.76)","18,169
(0.09)"
올떡,(주)지엔에스올떡,93,16,11,3,1,"106,103
(0.50)","9,135
(0.04)"
바푸리,(주)비피알,92,3,28,1,8,"168,053
(0.79)","12,283
(0.06)"
버무리떡볶이,(주)이플푸드,90,9,7,1,4,"161,311
(0.76)","15,177
(0.07)"
수유리우동집,(주)물과소금,88,22,0,8,2,"212,949
(1.00)","12,779
(0.06)"
무꼬뭐꼬떡볶이,(주)그루나무,86,86,0,0,0,"47,172
(0.22)","3,312
(0.02)"
생생돈까스,(주)에버리치에프앤비,77,8,1,18,6,"227,363
(1.07)","5,667
(0.03)"
밥맛나는세상,(주)소디프비앤에프,70,12,0,14,3,"228,722
(1.07)","16,187
(0.08)"
오떡후,(주)이엔에프컴퍼니,68,65,0,9,0,"110,737
(0.52)","11,295
(0.05)"
지지고(GGGO),(주)더블유엔씨,68,5,10,0,5,"141,713
(0.66)","19,196
(0.09)"
선비꼬마김밥,(주)와이엔비푸드,64,22,0,0,2,"227,305
(1.07)","20,762
(0.10)"
쿠웨이트떡볶이,(주)엘제이푸드,60,40,0,18,11,"167,889
(0.79)","13,787
(0.06)"
스쿨푸드,(주)에스에프이노베이션,59,13,4,10,5,"765,455
(3.59)","25,317
(0.12)"
스쿨푸드,(주)에스에프이노베이션,59,13,4,10,5,"765,455
(3.59)","25,317
(0.12)"
국대떡볶이,(주)지구당,58,0,0,13,5,"195,321
(0.92)","19,775
(0.09)"
황기순의,칼국수&돈까스,(주)티에스에프엔씨,57,5,0,21,0,"141,218
(0.66)","7,790
(0.04)"
이웃집소녀떡볶이,이웃집소녀쉐프,53,3,0,11,2,"168,340
(0.79)","9,920
(0.05)"
씨앤푸드스토리,청년떡볶이,(주)씨앤푸드스토리,52,9,0,12,0,"0
(0.00)","0
(0.00)"
오떡,(주)에이치앤비푸드,51,21,0,16,6,"181,793
(0.85)","12,022
(0.06)"
눈꽃치즈떡볶이,(주)피자헤븐코리아,49,11,0,11,1,"57,311
(0.27)","3,007
(0.01)"
장호덕손만두,장호덕손만두,47,23,0,0,0,"115,071
(0.54)","10,393
(0.05)"
수철이네왕새우튀김,(주)수철에프앤비,46,9,5,7,3,"221,226
(1.04)","14,843
(0.07)"
인정국물떡볶이,두레푸드,43,18,0,2,2,"198,439
(0.93)","16,318
(0.08)"
틈새라면,(주)틈새상사,43,3,0,7,0,"90,030
(0.42)","8,830
(0.04)"
킹콩떡볶이,이심전심(주),42,15,6,16,1,"105,384
(0.49)","9,330
(0.04)"
마피아떡볶이,밥값계산하는남자들,41,35,0,2,5,"186,760
(0.88)","13,060
(0.06)"
분식이,이래도,되는가,(주)분식이,39,23,0,0,5,"187,868
(0.88)","12,681
(0.06)"
아딸,(주)아딸,36,8,0,4,4,"106,392
(0.50)","11,061
(0.05)"
벌떡,(주)시현2014,36,36,0,0,0,"0
(0.00)","0
(0.00)"
송촌꼬마김밥,송촌꼬마김밥,35,0,3,0,2,"81,477
(0.38)","8,894
(0.04)"
석관동떡볶이,(주)오리엔트푸드,34,17,0,6,0,"0
(0.00)","0
(0.00)"
명동할머니국수,(주)봉원에프앤비,34,0,0,8,1,"257,348
(1.21)","14,741
(0.07)"
신떡,(주)신화에프앤비,34,3,12,0,3,"98,374
(0.46)","8,101
(0.04)"
잇또라멘,(주)와이더잇,33,21,0,10,0,"121,601
(0.57)","8,732
(0.04)"
삼첩분식,씨지에프(주),33,35,0,2,0,"78,549
(0.37)","0
(0.00)"
심할머니안흥찐빵만두,어우리,29,9,0,0,0,"118,594
(0.56)","9,256
(0.04)"
gre,P&T,(주)지알이위더스,29,34,0,5,0,"0
(0.00)","0
(0.00)"
인정국물떡볶이,인정푸드시스템,28,18,0,1,2,"197,349
(0.93)","17,651
(0.08)"
북문로떡볶이,(주)북문로키친,28,1,3,16,3,"97,892
(0.46)","9,685
(0.05)"
마신떡볶이,마신떡볶이,28,28,0,0,0,"0
(0.00)","0
(0.00)"
신만용신가네매운떡볶이,신만용신가네매운떡볶이,28,0,0,0,2,"129,359
(0.61)","7,561
(0.04)"
케이콜라보김밥∙떡볶이,(주)해지온,27,9,0,3,3,"174,733
(0.82)","6,025
(0.03)"
디델리,(주)디엔에프씨,27,2,2,0,0,"0
(0.00)","0
(0.00)"
리김밥,(주)바인인터내셔날,26,8,0,3,2,"282,890
(1.33)","23,379
(0.11)"
내가진짜떡볶이다,(주)진짜푸드,26,20,0,4,1,"264,885
(1.24)","59,518
(0.28)"
미미고,㈜미미고,26,26,0,0,0,"0
(0.00)","0
(0.00)"
왕순이,주먹밥,김밥,(주)왕순이,26,1,0,2,0,"139,746
(0.66)","13,766
(0.06)"
호떡당,(주)그랜드비스타,25,15,0,6,0,"86,008
(0.40)","9,816
(0.05)"
미정국수0410,(주)더본코리아,25,7,0,1,0,"516,271
(2.42)","32,136
(0.15)"
쫄면당,(주)인화에프엔비,25,25,0,0,0,"0
(0.00)","0
(0.00)"
할매손충무김밥,(주)할매손,25,1,5,0,0,"167,161
(0.78)","16,716
(0.08)"
꾼떡,(주)트로이,25,0,3,0,4,"105,888
(0.50)","7,361
(0.03)"
나는,조선의,떡볶이다,(주)이노레시피,25,0,10,0,0,"77,491
(0.36)","4,910
(0.02)"
얌샘,(주)얌샘,23,0,0,20,1,"165,527
(0.78)","12,123
(0.06)"
오별난멸치국수,(주)누들앤푸드,22,7,2,4,0,"548,167
(2.57)","14,647
(0.07)"
더바스켓,(주)성하식품,22,9,0,2,3,"166,861
(0.78)","11,484
(0.05)"
마리짱,(주)삼봉,22,7,0,9,0,"0
(0.00)","0
(0.00)"
밀방떡,형네가게,22,16,0,2,4,"245,153
(1.15)","22,764
(0.11)"
애플김밥,(주)애플김밥,21,2,0,0,1,"271,038
(1.27)","13,950
(0.07)"
알촌,(주)구연시스템,21,1,0,3,1,"190,778
(0.89)","9,619
(0.05)"
오정은A김밥,(주)오정은,21,4,3,2,1,"264,049
(1.24)","15,267
(0.07)"
소소떡볶이,(주)위대한,20,14,0,6,2,"192,553
(0.90)","12,907
(0.06)"
로라방앗간,㈜로라컴패니,19,10,1,0,1,"195,687
(0.92)","17,359
(0.08)"
정아니의불타는여고24시떡볶이,(주)불여시팸,19,15,0,0,0,"382,433
(1.79)","26,988
(0.13)"
마성떡볶이,(주)마성떡볶이,19,13,0,1,3,"170,121
(0.80)","17,306
(0.08)"
서가원김밥,(주)오색만찬,19,2,0,4,0,"136,004
(0.64)","8,512
(0.04)"
원래는,치킨집을,할려고,했었다,배달더쿡,19,19,0,0,0,"0
(0.00)","0
(0.00)"
행컵,(주)혜성푸드빌,19,4,0,0,3,"205,450
(0.96)","21,662
(0.10)"
분식쌀롱,동행푸드,18,11,0,0,2,"316,600
(1.48)","17,920
(0.08)"
찰스숯불김밥,(주)찰스푸드,18,0,0,6,2,"220,757
(1.03)","13,071
(0.06)"
슈퍼떡볶킹,(주)푸드테이너컴퍼니,18,5,0,0,0,"15,891
(0.07)","1,341
(0.01)"
공씨네주먹밥,맛있는놀이터외식사업부(주),18,1,0,2,2,"70,124
(0.33)","7,379
(0.03)"
신떡순신천할매떡볶이,신떡순신천할매떡볶이,18,18,0,0,0,"0
(0.00)","0
(0.00)"
모범떡볶이1976,(주)행길,17,3,3,3,1,"211,131
(0.99)","8,469
(0.04)"
신대장,떡볶이,캡틴신푸드시스템,17,6,0,1,2,"248,910
(1.17)","22,976
(0.11)"
파더스김밥,(주)미셰프,17,4,0,3,2,"43,108
(0.20)","2,120
(0.01)"
떡볶이스타,스타푸드시스템,17,8,1,0,0,"23,765
(0.11)","2,148
(0.01)"
엄청난떡볶이,엄청난떡볶이,17,0,0,4,5,"155,863
(0.73)","13,182
(0.06)"
정성한줄,(주)해밀코리아,17,2,0,2,0,"542,106
(2.54)","36,800
(0.17)"
채다올김밥,다올에프엔씨,17,0,1,0,0,"186,314
(0.87)","10,847
(0.05)"
우럼마왕만두,우럼마에프앤디,17,0,0,11,0,"153,137
(0.72)","15,795
(0.07)"
몬떡,(주)에버리치에프앤비,17,17,0,0,0,"0
(0.00)","0
(0.00)"
우리동네국수집,(주)봉화산푸드,16,2,0,2,1,"195,328
(0.92)","10,280
(0.05)"
웁스떡볶이,웁스에프앤씨,15,0,0,0,0,"51,870
(0.24)","4,404
(0.02)"
구포국수,제이피토탈,15,3,0,0,1,"184,524
(0.86)","10,405
(0.05)"
달토끼의,떡볶이,흡입구역,(주)포즈,15,15,0,0,0,"0
(0.00)","0
(0.00)"
자매떡볶이,(주)든해자매,14,3,0,1,5,"229,044
(1.07)","15,443
(0.07)"
로봇김밥,(주)로봇에프앤비,14,0,0,11,1,"197,070
(0.92)","15,211
(0.07)"
고수라,(주)고수라,14,0,4,0,0,"188,147
(0.88)","15,138
(0.07)"
빨강떡볶이,메이드,바이,신앤군컴퍼니,(주)제이알디,14,3,0,4,2,"221,024
(1.04)","21,221
(0.10)"
135튀김집,(주)대원어묵,13,7,0,3,0,"243,360
(1.14)","15,105
(0.07)"
김피라(kimpira),(주)솔트앤슈가,13,3,0,0,0,"156,067
(0.73)","5,218
(0.02)"
스쿨스토어,(주)스쿨스토어,13,1,9,1,3,"408,012
(1.91)","16,028
(0.08)"
참,좋은,김밥천국,좋은F&C,13,5,0,0,0,"182,633
(0.86)","12,547
(0.06)"
보용만두,(주)보용에프앤씨,13,1,0,6,3,"312,853
(1.47)","26,071
(0.12)"
조코만삼겹떡볶이,조코만본점,13,13,0,0,0,"146,413
(0.69)","11,893
(0.06)"
탄탄면공방,(주)에이티컴퍼니,13,8,0,3,0,"232,086
(1.09)","16,491
(0.08)"
홍스떡,홍스푸드,13,8,0,0,4,"290,440
(1.36)","17,424
(0.08)"
최가네크레이지떡볶이,최가네토탈푸드,13,13,0,0,0,"0
(0.00)","0
(0.00)"
불오뎅,공공식품,13,4,0,1,2,"176,948
(0.83)","13,434
(0.06)"
마포만두,(주)다우림푸드,12,0,0,3,1,"8,760
(0.04)","531
(0.00)"
기봉이,김밥,㈜기봉이,12,8,0,0,0,"183,503
(0.86)","10,836
(0.05)"
으니의수라간,(주)원스에프엔비,12,0,1,0,2,"63,996
(0.30)","11,725
(0.05)"
라이스쉐프,(주)이쉐프코리아,12,5,0,0,0,"220,356
(1.03)","21,601
(0.10)"
동대문떡볶이동떡,동대문떡볶이동떡하복대점,12,2,1,0,0,"162,654
(0.76)","14,313
(0.07)"
애플꼬마김밥,(주)애플푸드,12,12,0,0,0,"153,966
(0.72)","12,938
(0.06)"
동산만두,(주)동산만두,12,10,3,0,0,"194,471
(0.91)","20,369
(0.10)"
신존떡볶이,신존F&B힘찬푸드웰,12,5,1,0,0,"0
(0.00)","0
(0.00)"
김밥제일가,(주)쿡앤리빙,11,3,0,0,2,"176,679
(0.83)","21,105
(0.10)"
부산어묵,비에프씨F&D,11,4,0,4,1,"22,608
(0.11)","1,058
(0.00)"
즉석국물떡볶이,달쫀,달쫀,11,3,0,0,4,"203,271
(0.95)","14,405
(0.07)"
반장떡볶이,(주)반장푸드,11,1,0,5,0,"244,111
(1.14)","8,658
(0.04)"
바로그집,하나유통,11,0,0,0,0,"263,628
(1.24)","12,300
(0.06)"
남문떡볶이,(주)유민에프앤씨,11,6,0,4,1,"189,002
(0.89)","15,499
(0.07)"
개념떡볶이,(주)푸드엠코리아,11,8,0,1,0,"82,625
(0.39)","1,517
(0.01)"
대한분식,대한분식김보현인,11,11,0,0,0,"189,010
(0.89)","8,813
(0.04)"
치피떡,(주)생활에프앤비,10,2,0,3,2,"72,813
(0.34)","2,419
(0.01)"
떡군이네떡볶이,신우푸드,10,8,0,0,0,"0
(0.00)","0
(0.00)"
오늘애김밥(오늘愛김밥),(주)오늘애,10,5,0,0,1,"584,982
(2.74)","36,260
(0.17)"
더,땡초포차,비엘컴퍼니(주),10,10,0,0,0,"0
(0.00)","0
(0.00)"
땡큐꼬마김밥,(주)해오름에프앤비,10,0,0,0,2,"245,336
(1.15)","19,527
(0.09)"
진미면막국수,진미면막국수,9,0,0,0,1,"298,089
(1.40)","5,359
(0.03)"
신화신가네매운떡볶이,신화,9,1,0,4,0,"96,543
(0.45)","7,240
(0.03)"
여우愛,(주)퍼스트에이엔티,9,8,0,0,0,"206,001
(0.97)","13,735
(0.06)"
알면,통하는,떡볶이,알통떡볶이,9,4,0,3,1,"114,368
(0.54)","9,993
(0.05)"
한국수,알에스코리아,9,3,0,0,0,"348,917
(1.64)","7,428
(0.03)"
선릉역매운떡볶이,하늘아래(주),9,3,0,5,0,"212,744
(1.00)","13,588
(0.06)"
밥앤스낵,(주)트로이,9,3,1,0,0,"175,897
(0.82)","21,953
(0.10)"
이여사나무김밥,(주)다온코리아,9,2,0,0,0,"249,549
(1.17)","32,043
(0.15)"
신마녀떡볶이,신마녀F&C,8,8,0,0,0,"0
(0.00)","0
(0.00)"
유흥떡볶이,유흥F&B,8,8,0,0,0,"0
(0.00)","0
(0.00)"
참숯불닭발불떡볶이,(주)위드미,8,0,0,3,0,"135,563
(0.64)","8,431
(0.04)"
보영만두,(주)보영,8,1,0,3,0,"370,782
(1.74)","18,152
(0.09)"
두레마을우동집,두레푸드시스템,8,1,0,0,0,"88,510
(0.41)","4,752
(0.02)"
본만두,본푸드,8,4,0,0,0,"476,768
(2.23)","10,216
(0.05)"
핫프렌즈,핫도그,(주)위드미,8,0,0,5,0,"40,745
(0.19)","4,501
(0.02)"
춘하추동,"춘하추동F&C,동진여관",8,3,3,0,0,"152,792
(0.72)","7,129
(0.03)"
브라더꽈배기,(주)브라더푸드,8,8,0,0,0,"485,214
(2.27)","56,680
(0.27)"
돈페플러스,히노아스카(주),8,9,0,1,0,"87,728
(0.41)","6,733
(0.03)"
원빙고떡볶이,다보유통,8,0,0,2,0,"0
(0.00)","0
(0.00)"
사담손만두,(주)제이에이치푸드시스템,8,9,0,1,1,"710,285
(3.33)","8,237
(0.04)"
뚱볶이,뚱볶이,7,7,0,0,0,"115,061
(0.54)","10,460
(0.05)"
이토우야,ITTOUYA,칼스푸드(주),7,7,0,0,0,"189,278
(0.89)","10,419
(0.05)"
삐사감김밥,삐사감김밥앤러브스테이크(주),7,4,0,5,0,"0
(0.00)","0
(0.00)"
소가담,(주)센치밀리,7,1,0,6,0,"222,565
(1.04)","4,704
(0.02)"
찡떡,찡떡에프앤비,7,7,0,0,0,"327,332
(1.53)","37,056
(0.17)"
와닭꼬치,(주)푸디웍스랩,7,3,9,1,0,"74,928
(0.35)","9,437
(0.04)"
몬나니떡볶이,몬나니,7,0,4,4,0,"123,640
(0.58)","7,754
(0.04)"
밀크밥버거,(주)오색만찬,7,0,0,7,0,"41,102
(0.19)","4,641
(0.02)"
홍대마녀,(주)훌랄라,7,7,0,0,0,"22,223
(0.10)","739
(0.00)"
귀일,(주)오픈스카이앤귀일,7,2,0,1,0,"144,289
(0.68)","19,373
(0.09)"
장상궁김밥,(주)장상궁,7,2,0,0,0,"308,525
(1.45)","19,577
(0.09)"
갑진즉석,BrotherNewBrand,7,9,0,2,0,"0
(0.00)","0
(0.00)"
알리바바쏙쏙김밥,알리바바파트너스(주),6,6,0,1,0,"153,309
(0.72)","20,217
(0.09)"
남도분식,(주)오버플로우,6,6,0,0,0,"0
(0.00)","0
(0.00)"
미가람팔팔닭떡볶이,(주)미가람,6,1,0,0,0,"489,196
(2.29)","18,351
(0.09)"
투핑거스,(주)에땅,6,5,0,2,2,"74,569
(0.35)","9,486
(0.04)"
김대표,김밥,(주)덕,6,0,0,0,0,"354,559
(1.66)","23,903
(0.11)"
