브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,7.0,2.0,0.0,0.0,0.0,"462,764
(1.00)","12,177
(2.80)"
홍익돈까스,(주)홍익,96,10,5,0,8,"722,247
(1.56)","12,745
(0.03)"
서가앤쿡,(주)에스앤에스컴퍼니,85,5,0,3,2,"941,243
(2.03)","9,221
(0.02)"
쑝쑝돈까스,(주)에스에스피씨(SSPC),63,35,0,5,2,"280,885
(0.61)","13,319
(0.03)"
웰돈까츠,백's코리아,56,55,0,0,0,"41,539
(0.09)","3,765
(0.01)"
스탠딩스테이크,(주)푸디아,43,17,0,9,4,"147,343
(0.32)","10,436
(0.02)"
모모스테이크,(주)시작,43,2,0,21,7,"270,400
(0.58)","9,079
(0.02)"
요녀석,(주)아라에프엔비,42,31,0,1,5,"269,989
(0.58)","19,292
(0.04)"
스파게티스토리,(주)스토리푸드,42,17,0,0,1,"236,612
(0.51)","18,147
(0.04)"
올리앤(Ollien),(주)올앤컴퍼니,34,7,0,1,2,"0
(0.00)","0
(0.00)"
스푼필라프,(주)다다코퍼레이션,31,12,7,1,0,"177,282
(0.38)","24,455
(0.05)"
스파게티스토리까르보네,(주)인토외식산업,31,1,2,3,2,"185,999
(0.40)","11,080
(0.02)"
봉대박스파게티,(주)에프씨봉대박,30,1,0,6,3,"239,656
(0.52)","6,814
(0.01)"
파스타부오노바,원푸드,29,0,3,0,0,"0
(0.00)","0
(0.00)"
닐리,(주)엔아이에프앤씨,27,0,0,5,0,"379,041
(0.82)","18,628
(0.04)"
미태리,(주)트루팜,25,21,0,0,0,"284,462
(0.61)","19,105
(0.04)"
스테이크존,쉐프의연구소,23,19,0,2,0,"0
(0.00)","0
(0.00)"
빈체로,(주)에스씨케이,22,6,0,1,0,"420,547
(0.91)","12,876
(0.03)"
플라잉볼,(주)플라잉테이블,21,3,1,4,3,"188,324
(0.41)","8,184
(0.02)"
선식당,(주)선식당,21,21,0,0,0,"583,727
(1.26)","15,443
(0.03)"
파스토보이(pastoboy),(주)우주소년,20,5,5,1,2,"310,007
(0.67)","14,183
(0.03)"
한끼맛있다,(주)쉐프마인드,20,6,0,0,5,"581,873
(1.26)","9,538
(0.02)"
컨트리맨즈,(주)촌놈인터내셔널,19,5,4,0,0,"727,436
(1.57)","9,164
(0.02)"
롤링파스타,(주)더본코리아,18,18,0,0,0,"1,106,119
(2.39)","23,044
(0.05)"
루스트플레이스,㈜메이크어베러(Makeabetter),14,1,0,0,0,"1,124,370
(2.43)","11,239
(0.02)"
헝그리브라더스,규니스컴퍼니,14,11,0,4,0,"205,970
(0.45)","8,764
(0.02)"
샤이바나,(주)태그린,13,0,0,14,0,"532,985
(1.15)","14,169
(0.03)"
다락마을프리미엄(Darak Maeul Premium),(주)다락마을,11,0,7,0,1,"0
(0.00)","0
(0.00)"
퐁당카츠,(주)이엔에프컴퍼니,11,12,0,1,0,"0
(0.00)","0
(0.00)"
돈갓,(주)참쉬운푸드솔루션,10,22,0,12,0,"0
(0.00)","0
(0.00)"
뜨돈(DD'DON),(주)나무에프엠디,10,2,0,0,1,"656,652
(1.42)","11,542
(0.02)"
행복이있는그곳돈까스식당,더셰프코리아,10,3,0,4,0,"53,193
(0.11)","3,192
(0.01)"
이태리면가게,(주)맛있는도전,8,8,0,0,0,"0
(0.00)","0
(0.00)"
브라우니70,(주)브라우니웍스,8,0,0,2,0,"573,151
(1.24)","13,794
(0.03)"
비밀더비스트로(BMEAL THE BISTRO),(주)푸드홀릭스,8,1,0,0,0,"292,741
(0.63)","8,824
(0.02)"
닐리스(Nilli's),(주)라파미코,7,1,0,1,0,"255,865
(0.55)","5,701
(0.01)"
클램(CLAM),(주)씨에프씨(CFC),7,0,0,3,0,"542,636
(1.17)","12,704
(0.03)"
파티오42,(주)테그글로벌,7,1,2,1,0,"318,188
(0.69)","5,309
(0.01)"
맨인더키친(MAN IN THE KITCHEN),(주)다오이앤씨,7,2,0,0,0,"682,373
(1.47)","9,638
(0.02)"
동성로매콩돈까스와 냉면,동성로매콩돈까스와냉면,7,0,0,2,0,"300,608
(0.65)","15,821
(0.03)"
그 : 숲,수풀림컴퍼니,6,3,0,0,0,"525,000
(1.13)","10,037
(0.02)"
김씨화덕,김씨에프엔비(F&B),6,1,0,2,0,"492,803
(1.06)","19,425
(0.04)"
디들리밥,디들리밥(순천국가정원점),6,6,0,0,0,"0
(0.00)","0
(0.00)"
아인방,(주)새모양에프앤비,6,1,1,0,1,"1,039,751
(2.25)","7,742
(0.02)"
아날로그키친,(주)더에이그룹,5,0,0,1,1,"524,684
(1.13)","21,860
(0.05)"
빠레뜨한남,(주)이트렌디,5,5,0,0,0,"802,328
(1.73)","25,200
(0.05)"
마녀주방,(주)디에프코리아,5,2,0,0,0,"703,593
(1.52)","10,839
(0.02)"
수페부엌,(주)수페컴퍼니,5,1,0,0,0,"508,923
(1.10)","10,255
(0.02)"
써니네집(ssunine jib),써니네집본점,5,0,0,0,0,"0
(0.00)","0
(0.00)"
롱브레드,(주)파인푸드컴퍼니,5,1,2,0,0,"637,382
(1.38)","9,443
(0.02)"
헌터스문,(주)농협목우촌,5,0,0,2,0,"341,287
(0.74)","5,963
(0.01)"
안디아모티볼리 (Andiamo Tivoli),티볼리파스타푸드,5,5,0,0,0,"524,551
(1.13)","14,050
(0.03)"
고메돈까스,(주)고메푸드,5,3,0,0,0,"611,624
(1.32)","6,184
(0.01)"
정든밤,(주)삼덕로드,5,5,0,0,0,"407,680
(0.88)","15,132
(0.03)"
은하별,은하별,5,5,0,0,0,"0
(0.00)","0
(0.00)"
아키바돈카츠With카레,굿라이스(GoodRice),4,1,0,2,0,"0
(0.00)","0
(0.00)"
리틀파스타,(주)쉐프코리아,4,0,0,0,0,"0
(0.00)","0
(0.00)"
