브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,58.0,5.0,0.0,1.0,3.0,"164,130
(1.00)","15,018
(2.50)"
배스킨라빈스,비알코리아(주),"1,396",122,3,11,55,"522,863
(3.19)","28,634
(0.17)"
설빙,(주)설빙,435,41,3,19,47,"316,534
(1.93)","5,551
(0.03)"
나뚜루,롯데제과(주),52,3,0,11,0,"141,442
(0.86)","17,302
(0.11)"
빨라쪼델프레도,(주)빨라쪼,44,19,4,0,1,"112,513
(0.69)","13,765
(0.08)"
도쿄빙수,(주)에스에스에이푸드,23,6,7,0,4,"118,384
(0.72)","6,394
(0.04)"
빙달,(주)빙달,10,1,0,2,3,"21,232
(0.13)","0
(0.00)"
오슬로(o'slo),(주)신세계푸드,8,2,0,2,0,"166,376
(1.01)","21,861
(0.13)"
소프트리(SOFTREE),(주)소프트리,6,0,0,1,0,"91,083
(0.55)","10,590
(0.06)"
프로즌브라이드,(주)에프비코리아,6,3,1,4,3,"88,377
(0.54)","9,589
(0.06)"
에맥앤볼리오스(Emack & Bolio's),(주)르뱅코리아,6,1,0,0,0,"159,322
(0.97)","9,577
(0.06)"
눈꽃빙수 꽃빙,(주)커먼파트너스,5,2,0,2,0,"0
(0.00)","0
(0.00)"
제주설심당,제주설심당,4,1,0,0,0,"0
(0.00)","0
(0.00)"
페르케노,(주)이랜드이츠,4,0,0,0,0,"0
(0.00)","0
(0.00)"
젤라뚜또,(주)젤라뚜또,2,1,0,2,0,"67,307
(0.41)","26,922
(0.16)"
스위트몬스터(SWEET MONSTER),스위트몬스터(주),2,0,0,8,0,"0
(0.00)","0
(0.00)"
캘리소프트서브,(주)에스이티아이,1,1,0,0,0,"0
(0.00)","0
(0.00)"
콜드스톤,(주)스타럭스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
간식창고,(주)아우온,0,0,0,0,0,"0
(0.00)","0
(0.00)"
요거트미,(주)엘에이치지,0,0,0,0,0,"0
(0.00)","0
(0.00)"
망고홀릭,망고홀릭체인본부,0,0,0,0,0,"0
(0.00)","0
(0.00)"
파시야,(주)앤하우스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
밀탑(MEALTOP),(주)밀탑,0,0,0,0,0,"0
(0.00)","0
(0.00)"
쿠크봉,(주)와이어즈,0,0,0,0,0,"0
(0.00)","0
(0.00)"
브알라,(주)브알라,0,0,0,0,0,"0
(0.00)","0
(0.00)"
하겐다즈,한국하겐다즈(주),0,0,0,0,0,"0
(0.00)","0
(0.00)"
빙찌,빙찌,0,0,0,0,0,"0
(0.00)","0
(0.00)"
픽미픽미아이스크림할인점,픽미픽미아이스,0,0,0,0,0,"0
(0.00)","0
(0.00)"
바세츠 아이스크림(BASSETTS ICE CREAM),(주)바세츠코리아,0,0,0,0,0,"0
(0.00)","0
(0.00)"
요거베리,(주)휴럼,0,0,0,0,0,"0
(0.00)","0
(0.00)"
스쿱스젤라또,스쿱스젤라또,0,0,0,0,0,"0
(0.00)","0
(0.00)"
알라스카인제주,(주)알라스카인제주,0,0,0,0,0,"0
(0.00)","0
(0.00)"
SG무인셀프아이스크림할인점,빙고아이스크림할인점(본점),0,0,0,0,0,"0
(0.00)","0
(0.00)"
카페보라,(주)디저트픽코리아,0,0,0,0,0,"0
(0.00)","0
(0.00)"
아이스빈(ICE BEAN),(주)에프앤지코리아,0,0,0,0,0,"0
(0.00)","0
(0.00)"
