브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,38.0,10.0,2.0,4.0,2.0,"246,554
(1.00)","16,344
(2.48)"
공차,(주)공차코리아,498,126,3,6,29,"448,335
(1.82)","25,378
(0.10)"
쥬씨(JUICY),쥬씨(주),480,29,46,95,41,"155,777
(0.63)","14,814
(0.06)"
쥬씨(JUICY),쥬씨(주),480,29,46,95,41,"155,777
(0.63)","14,814
(0.06)"
쥬씨(JUICY),쥬씨(주),480,29,46,95,41,"155,777
(0.63)","14,814
(0.06)"
팔공티,(주)팔공티,212,176,0,0,3,"208,663
(0.85)","17,068
(0.07)"
스무디킹(SMOOTHIEKING),스무디킹코리아(주),113,35,7,4,0,"183,189
(0.74)","13,166
(0.05)"
차얌,(주)프로젝트비,92,92,0,0,0,"271,762
(1.10)","30,732
(0.12)"
오가다,(주)오가다,91,19,8,11,5,"119,266
(0.48)","4,414
(0.02)"
킹콩쥬스엔커피,(주)킹콩쥬스엔커피,84,10,0,12,6,"46,947
(0.19)","6,085
(0.02)"
아마스빈코리아,(주)스토어하우스,67,20,0,4,0,"425,034
(1.72)","38,189
(0.15)"
흑화당,(주)우남에프앤씨,61,64,0,3,0,"397,053
(1.61)","21,054
(0.09)"
19티(TEA),(주)참인포텍,48,29,0,3,0,"119,268
(0.48)","10,472
(0.04)"
타이거슈가(TIGER SUGAR),(주)타이거슈가코리아,41,41,0,0,2,"1,407,209
(5.71)","57,757
(0.23)"
호이차,(주)호이컴퍼니,29,31,0,2,0,"206,459
(0.84)","18,906
(0.08)"
매스커피,(주)매스컴퍼니,26,2,0,0,1,"208,345
(0.85)","11,985
(0.05)"
쥬스킹(JUICE KING),(주)엠투에프앤비,18,2,0,3,0,"70,375
(0.29)","6,983
(0.03)"
타이티카페(TAETEA CAFE),(주)대익인터내셔날코리아,18,1,0,1,1,"0
(0.00)","0
(0.00)"
쩐주단,(주)쩐주단코리아,16,23,0,7,1,"355,134
(1.44)","21,702
(0.09)"
쥬스스타,선우프로듀스(주),13,1,0,12,2,"46,925
(0.19)","3,800
(0.02)"
제주스,(주)제주스,13,4,0,1,1,"125,548
(0.51)","9,281
(0.04)"
타이완슈가,(주)에이치비흥보,10,10,0,0,0,"0
(0.00)","0
(0.00)"
모리셔스브라운(Mauritius Brown),(주)씨앤딜,8,9,0,1,0,"180,455
(0.73)","28,493
(0.12)"
마이쥬스,(주)마이에프앤비,8,4,0,2,0,"193,882
(0.79)","9,528
(0.04)"
쥬스팩토리,(주)쥬스팩토리,6,0,0,1,0,"75,507
(0.31)","6,674
(0.03)"
요거트맨,컴퍼니맨(주),6,3,0,1,0,"25,886
(0.10)","2,876
(0.01)"
차타임라운지,(주)차타임,5,2,0,1,0,"175,290
(0.71)","8,353
(0.03)"
락립배,락립배코리아(주),4,4,0,0,0,"0
(0.00)","0
(0.00)"
황칠가 카페,(주)에이치에스피라이프,4,0,0,1,0,"0
(0.00)","0
(0.00)"
잠바주스,(주)파리크라상,4,2,0,0,1,"0
(0.00)","0
(0.00)"
허유산(HUI LIU SHAN),(주)허유산코리아,3,1,0,0,0,"0
(0.00)","0
(0.00)"
티희차(Teaheecha),(주)티희차,3,2,0,0,0,"0
(0.00)","0
(0.00)"
휴롬주스,(주)휴롬팜,3,0,0,0,0,"0
(0.00)","0
(0.00)"
행복당(XING FU TANG),행복당,2,2,0,0,0,"0
(0.00)","0
(0.00)"
카페그리닝,지알엔푸드,2,2,0,0,0,"0
(0.00)","0
(0.00)"
쥬청과,순수유통(주),2,2,0,0,0,"0
(0.00)","0
(0.00)"
fave,(주)페이브푸드,2,2,0,0,0,"406,008
(1.65)","11,272
(0.05)"
마치마치,(주)마치마치코리아,2,2,0,0,0,"0
(0.00)","0
(0.00)"
KUNGFU TEA(쿵푸티),(주)쿵푸티코리아,1,1,0,0,0,"0
(0.00)","0
(0.00)"
흑본당,(주)비피알,1,3,0,2,0,"0
(0.00)","0
(0.00)"
