브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,9.0,2.0,0.0,1.0,0.0,"420,095
(1.00)","22,039
(2.44)"
미소야,(주)보우앤파트너스,195,8,8,0,12,"356,974
(0.85)","18,968
(0.05)"
미소야,(주)보우앤파트너스,195,8,8,0,12,"356,974
(0.85)","18,968
(0.05)"
쿠우쿠우,(주)쿠우쿠우,117,16,0,4,8,"2,945,261
(7.01)","13,468
(0.03)"
배터지는생동까스,(주)진진에프씨,87,8,16,0,0,"110,012
(0.26)","8,934
(0.02)"
동명 카츠,(주)던케이투에스,78,39,0,30,10,"102,727
(0.24)","8,154
(0.02)"
하루엔소쿠,(주)하루돈,73,24,6,5,5,"239,158
(0.57)","11,060
(0.03)"
도쿄라멘,(주)초심에프앤씨,59,32,5,5,1,"149,243
(0.36)","9,194
(0.02)"
가츠몽,(주)가츠몽,39,3,4,0,4,"231,634
(0.55)","13,856
(0.03)"
기소야,(주)공영식품,39,3,6,2,2,"156,020
(0.37)","4,910
(0.01)"
미카도스시,(주)올바른에프앤비,38,12,0,7,0,"653,831
(1.56)","25,397
(0.06)"
산카이 이자카야,(주)에스앤디코퍼레이션,35,6,0,6,0,"415,563
(0.99)","11,916
(0.03)"
히노아지,(주)젠푸드,34,12,0,8,2,"252,863
(0.60)","11,145
(0.03)"
오산조은참치,(주)준쿡코리아,33,17,0,11,2,"0
(0.00)","0
(0.00)"
홍대돈부리,(주)홍대돈부리,32,6,0,2,2,"387,255
(0.92)","19,711
(0.05)"
스시웨이,(주)사보르웨이,28,2,0,8,4,"434,162
(1.03)","14,873
(0.04)"
심야오뎅,(주)골든스트릿,27,3,0,8,0,"155,182
(0.37)","6,536
(0.02)"
소노야,(주)공영식품,26,2,1,1,5,"192,541
(0.46)","12,862
(0.03)"
25센치,이오에프씨(주),26,24,0,0,0,"414,671
(0.99)","12,990
(0.03)"
카모메,(주)카모메호스피탈리티그룹,26,5,0,4,0,"177,807
(0.42)","15,550
(0.04)"
독도참치,(주)독도참치,25,0,0,5,0,"0
(0.00)","0
(0.00)"
야미가,(주)제이더블유푸드코리아,24,0,0,6,1,"460,108
(1.10)","25,567
(0.06)"
하코야,(주)엘에프푸드,24,6,0,7,1,"244,988
(0.58)","11,284
(0.03)"
25카츠,(주)델리치랩,23,0,1,3,0,"350,933
(0.84)","16,172
(0.04)"
토끼정,(주)에스앤에스코퍼레이션,22,3,0,6,1,"1,077,730
(2.57)","14,763
(0.04)"
동경에서먹었던규동,(주)어반푸드랩,22,15,0,0,0,"250,449
(0.60)","18,221
(0.04)"
스시오블랙컨테이너,(주)제이알인터내셔널,21,0,2,0,0,"907,018
(2.16)","101,945
(0.24)"
金太郞,(주)예가,21,0,6,0,0,"260,590
(0.62)","9,275
(0.02)"
신기소,(주)공영식품,21,4,1,1,3,"204,048
(0.49)","7,095
(0.02)"
키햐아,(주)우리우스,20,0,0,8,0,"221,027
(0.53)","9,426
(0.02)"
이자와,(주)왕컴퍼니,20,0,6,7,3,"395,760
(0.94)","14,196
(0.03)"
아오리라멘,(주)팩토리엔,18,3,0,26,0,"460,835
(1.10)","10,716
(0.03)"
키무카츠,㈜키무카츠아시아,18,3,3,0,1,"313,109
(0.75)","16,425
(0.04)"
홈팝참치,(주)동심컴퍼니,18,0,4,0,4,"157,800
(0.38)","10,600
(0.03)"
주인의주방,(주)트리플에이컴퍼니,17,10,2,3,0,"260,885
(0.62)","8,052
(0.02)"
미스터스시,(주)해운대엠에스,17,0,0,7,0,"451,812
(1.08)","13,767
(0.03)"
겐로쿠우동,겐로쿠우동,16,1,0,1,0,"240,214
(0.57)","12,638
(0.03)"
하나돈까스,(주)파나,16,1,0,2,0,"544,395
(1.30)","39,833
(0.09)"
고칸,(주)대건에프앤비,16,5,0,0,2,"357,763
(0.85)","16,676
(0.04)"
탐나종합어시장,(주)골든밥코리아,15,15,0,0,0,"2,209,391
(5.26)","13,738
(0.03)"
코코로벤또,(주)카모메호스피탈리티그룹,15,2,0,2,0,"371,748
(0.88)","21,503
(0.05)"
마싰는끼니,(주)최고식품카페아라,15,3,0,11,2,"185,440
(0.44)","5,131
(0.01)"
돈돈정,(주)제이에스푸드컴퍼니,14,0,21,3,0,"526,441
(1.25)","163,781
(0.39)"
유리카모메,(주)광장,14,1,0,2,0,"262,888
(0.63)","14,794
(0.04)"
쿠벤(KU·BEN),(주)아이딜홈,14,0,1,2,1,"131,083
(0.31)","11,247
(0.03)"
새벽회,(주)탑에프앤비,13,13,0,0,0,"0
(0.00)","0
(0.00)"
소미돈까스,소미돈까스,11,4,2,0,2,"0
(0.00)","0
(0.00)"
야간얼큰우동,(주)다다컴퍼니,11,0,8,0,0,"0
(0.00)","0
(0.00)"
수코미치,수기획,10,8,0,5,1,"256,951
(0.61)","12,337
(0.03)"
스시메이진,(주)와이엔에스홀딩스,10,5,0,3,1,"0
(0.00)","0
(0.00)"
오와스시,오와스시,10,1,0,2,0,"458,246
(1.09)","16,783
(0.04)"
헬로피쉬,와이엠에프앤비,9,0,0,5,0,"246,638
(0.59)","14,279
(0.03)"
카츠탄탄,카츠탄탄(TheTANTAN),8,7,0,1,0,"483,248
(1.15)","11,045
(0.03)"
이자카야 게다(げた),운치상회,8,8,0,0,0,"324,757
(0.77)","11,881
(0.03)"
제라진돈가스,(주)제라진에프엔비,8,1,0,0,0,"253,750
(0.60)","14,817
(0.04)"
히메노라멘,(주)잘만든,8,7,0,5,0,"314,175
(0.75)","13,919
(0.03)"
고레카레,(주)고레코리아,7,3,0,0,0,"290,911
(0.69)","11,058
(0.03)"
시오도메,(주)소담푸드,7,1,1,0,0,"192,126
(0.46)","4,251
(0.01)"
야끼화로,(주)야끼화로,7,2,0,1,0,"519,933
(1.24)","12,645
(0.03)"
이태원천상,(주)에프씨천상,7,1,2,0,0,"819,066
(1.95)","11,222
(0.03)"
마마돈,굿펠라스(goodfellas),7,1,0,2,0,"347,797
(0.83)","18,334
(0.04)"
도쿄이찌바,(주)제이알에프앤씨,7,3,0,0,0,"535,957
(1.28)","107,014
(0.25)"
마카나이,(주)더준푸드원,7,1,0,1,0,"201,150
(0.48)","15,804
(0.04)"
스시한판,(주)제이알인터내셔널,6,0,1,0,0,"636,811
(1.52)","300,115
(0.71)"
멘야마쯔리,멘야마쯔리(주),6,3,0,0,0,"256,090
(0.61)","13,854
(0.03)"
호키네 유부,(주)이음글로비즈,6,4,0,0,0,"0
(0.00)","0
(0.00)"
오이시라멘,오이시라멘,6,0,1,0,0,"170,258
(0.41)","9,674
(0.02)"
바른모밀,오늘의Recipe,6,6,0,0,0,"0
(0.00)","0
(0.00)"
스시아오,(주)스시아오,6,3,0,0,1,"568,138
(1.35)","21,065
(0.05)"
열도분식,모두푸드시스템,6,2,0,0,0,"230,669
(0.55)","13,929
(0.03)"
스시투어,스시투어,6,0,0,0,0,"950,000
(2.26)","21,846
(0.05)"
도꼬돈카츠,(주)도꼬야,6,0,0,1,0,"277,515
(0.66)","15,276
(0.04)"
우성돈까스,우성F&D,6,4,0,0,1,"0
(0.00)","0
(0.00)"
코소코소,흥인푸드,6,0,1,0,0,"253,737
(0.60)","14,162
(0.03)"
DON돈까츠,DON돈까츠,6,1,0,0,0,"203,350
(0.48)","14,789
(0.04)"
사보텐,(주)캘리스코,5,0,3,0,0,"841,865
(2.00)","24,304
(0.06)"
경양카츠,(주)빌리어네어스토어즈,5,5,0,0,0,"0
(0.00)","0
(0.00)"
멘무샤조이,(주)오리엔탈푸드코리아,5,0,0,3,0,"24,788
(0.06)","2,406
(0.01)"
몬스터스시&사시미,(주)야베스코리아,5,6,0,2,1,"382,968
(0.91)","19,238
(0.05)"
호미곶간,노르딕오션,5,8,0,3,0,"0
(0.00)","0
(0.00)"
하나샤브샤브,(주)씨앤피물류,5,0,0,0,0,"537,674
(1.28)","10,145
(0.02)"
두껍다회선생,닌자푸드,5,3,2,0,0,"0
(0.00)","0
(0.00)"
스시카츠,스시카츠,4,4,0,0,0,"0
(0.00)","0
(0.00)"
겐텐,(주)겐텐,4,4,0,0,0,"219,971
(0.52)","9,235
(0.02)"
고쿠텐,(주)진에프앤비,4,2,0,0,0,"0
(0.00)","0
(0.00)"
마루가메제면,(주)토리돌코리아,4,0,0,0,0,"368,460
(0.88)","8,177
(0.02)"
꽃남연어집,(주)꽃미남브라더스,4,0,0,1,0,"406,182
(0.97)","18,436
(0.04)"
스시노칸도,(주)스시히로미,4,4,0,0,0,"1,105,834
(2.63)","23,447
(0.06)"
스시선 회전초밥천원 전문점,스시선가맹본부,4,4,0,0,0,"0
(0.00)","0
(0.00)"
원카츠,더블유컴퍼니,4,1,0,0,0,"210,828
(0.50)","19,465
(0.05)"
아프로,(주)즐거운,4,0,1,0,1,"269,374
(0.64)","9,861
(0.02)"
Zip에서 참치,집에서참치,4,3,0,0,0,"0
(0.00)","0
(0.00)"
유부남,(주)청년부름,4,2,0,2,0,"265,629
(0.63)","13,450
(0.03)"
아오키카츠쿠라,(주)요리비,4,0,0,0,1,"0
(0.00)","0
(0.00)"
한냐마켓또,한냐마켓또,3,0,0,0,0,"0
(0.00)","0
(0.00)"
시타마치라멘,(주)엘에스에프앤비,3,2,0,0,0,"0
(0.00)","0
(0.00)"
이치류.양심,(주)양우돈,3,2,0,1,0,"0
(0.00)","0
(0.00)"
멘타로,(주)공영식품,3,0,0,1,1,"0
(0.00)","0
(0.00)"
고우,(주)사무라이글로벌,3,0,0,0,0,"0
(0.00)","0
(0.00)"
스시생선가게,(주)바이문,3,1,0,0,0,"0
(0.00)","0
(0.00)"
미뜨보루,굿펠라스(goodfellas),3,3,0,0,0,"0
(0.00)","0
(0.00)"
온센,(주)온센,3,2,0,0,0,"0
(0.00)","0
(0.00)"
스시다이닝준,(주)디엔인터내셔널,3,3,0,0,0,"0
(0.00)","0
(0.00)"
마마도마,굿펠라스(goodfellas),3,3,0,0,0,"0
(0.00)","0
(0.00)"
키햐아,(주)씨씨컴퍼니,3,1,0,0,0,"0
(0.00)","0
(0.00)"
스시덴고쿠,(주)제이씨컴퍼니,3,3,0,0,0,"0
(0.00)","0
(0.00)"
온기정,(주)팬아시아다인힐,3,3,0,0,0,"0
(0.00)","0
(0.00)"
테루,(주)이랜드이츠,3,1,0,0,0,"0
(0.00)","0
(0.00)"
키햐아,㈜의기투합충청,3,0,0,3,0,"0
(0.00)","0
(0.00)"
봄초밥여름소바,(주)새모양에프앤비,2,2,0,0,0,"0
(0.00)","0
(0.00)"
스시민,(주)쉐푸드,2,0,0,1,0,"0
(0.00)","0
(0.00)"
딜리셔스팩토리,(주)푸드팩토리즈,2,2,0,0,0,"0
(0.00)","0
(0.00)"
KOKUMI,재겸푸드텍,2,1,0,0,0,"0
(0.00)","0
(0.00)"
미친돈까스,미친사람들,2,2,0,0,0,"0
(0.00)","0
(0.00)"
우마이마루,우마이마루,2,0,0,0,0,"0
(0.00)","0
(0.00)"
수제돈까스 금파,(주)요리비,2,0,0,0,0,"0
(0.00)","0
(0.00)"
바르미스시뷔페,(주)즐거운세상,1,0,0,0,0,"0
(0.00)","0
(0.00)"
더프리,히노아스카(주),1,0,0,0,1,"0
(0.00)","0
(0.00)"
쿠시마사,(주)쿠시마사,1,1,0,0,0,"344,184
(0.82)","13,448
(0.03)"
고레가참치,인우코,1,1,0,0,0,"0
(0.00)","0
(0.00)"
긴자료코,긴자료코상수점,1,1,0,0,0,"0
(0.00)","0
(0.00)"
청담정스시,(주)리코플레이트,1,0,1,1,0,"0
(0.00)","0
(0.00)"
노군식당,(주)리앤브라더스컴퍼니,1,1,0,0,0,"0
(0.00)","0
(0.00)"
텐동요츠야,텐동요츠야,1,1,0,0,0,"0
(0.00)","0
(0.00)"
다케,(주)더블에스그룹,1,4,0,3,1,"0
(0.00)","0
(0.00)"
만뽀 스키야키,(주)만뽀당,1,0,0,0,0,"0
(0.00)","0
(0.00)"
나무새다이닝,라움메이드(주),1,1,0,0,0,"0
(0.00)","0
(0.00)"
2in샤브,투인샤브,1,1,0,0,0,"0
(0.00)","0
(0.00)"
만뽀,(주)만뽀당,1,0,1,0,0,"0
(0.00)","0
(0.00)"
카사하라앤카츠,(주)포휴먼앤컴퍼니,0,0,0,0,0,"0
(0.00)","0
(0.00)"
긴꼬리초밥,케어푸드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
오레노카츠,(주)상승에프앤비,0,0,0,0,0,"0
(0.00)","0
(0.00)"
아찌라멘,아찌라멘,0,0,0,0,0,"0
(0.00)","0
(0.00)"
돈카와치,돈카와치돈까스앤우동,0,0,0,0,0,"0
(0.00)","0
(0.00)"
멘야유메미르,1830피자협동조합,0,0,0,0,0,"0
(0.00)","0
(0.00)"
엘마노 청춘면식,(주)엘마노,0,0,0,0,0,"0
(0.00)","0
(0.00)"
연어집,연어집중구점,0,0,0,0,0,"0
(0.00)","0
(0.00)"
도도텐,(주)해든코리아,0,0,0,0,0,"0
(0.00)","0
(0.00)"
초장집,(주)초장집,0,0,0,0,0,"0
(0.00)","0
(0.00)"
가마카레,(주)아트푸드,0,0,0,0,0,"0
(0.00)","0
(0.00)"
라멘천하,(주)중앙에스앤씨,0,0,1,0,0,"0
(0.00)","0
(0.00)"
폴인카츠,㈜폴인에프앤씨,0,0,0,0,0,"0
(0.00)","0
(0.00)"
