브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,62.0,7.0,2.0,3.0,4.0,"238,770
(1.00)","15,656
(1.74)"
파리바게뜨,(주)파리크라상,"3,380",90,5,71,247,"665,567
(2.79)","24,951
(0.10)"
뚜레쥬르,씨제이푸드빌(주),"1,278",77,85,32,83,"463,103
(1.94)","16,797
(0.07)"
뚜레쥬르,씨제이푸드빌(주),"1,278",77,85,32,83,"463,103
(1.94)","16,797
(0.07)"
명랑시대쌀핫도그,명랑시대외식청년창업협동조합,651,52,0,48,82,"170,002
(0.71)","17,091
(0.07)"
던킨/던킨도너츠,비알코리아(주),537,67,40,17,42,"287,551
(1.20)","17,617
(0.07)"
홍루이젠,(주)타이웨이,280,135,0,12,24,"306,639
(1.28)","30,186
(0.13)"
앤티앤스,(주)재원푸드,218,28,0,17,24,"272,533
(1.14)","36,529
(0.15)"
코코호도,(주)샤마,155,3,0,5,6,"161,990
(0.68)","17,019
(0.07)"
못난이꽈배기,(주)못난이푸드,131,52,0,11,0,"140,836
(0.59)","12,787
(0.05)"
마리웨일237,(주)루시카토,99,19,0,8,1,"187,071
(0.78)","16,995
(0.07)"
송사부수제쌀고로케,(주)마스터에프엔비,76,55,2,18,7,"492,560
(2.06)","72,308
(0.30)"
따삐오,(주)에스피씨삼립,73,13,0,24,6,"134,419
(0.56)","13,795
(0.06)"
로띠번,(주)로띠번코리아,72,3,0,5,2,"149,091
(0.62)","14,747
(0.06)"
스트릿츄러스,(주)솔라벨,66,16,9,0,7,"213,055
(0.89)","23,298
(0.10)"
심봉사도로케,(주)티엠드,63,24,0,34,0,"109,606
(0.46)","11,373
(0.05)"
베러댄와플,베러댄와플협동조합,62,62,0,0,0,"79,484
(0.33)","7,922
(0.03)"
크리스피크림,롯데지알에스(주),59,3,0,2,3,"320,257
(1.34)","13,848
(0.06)"
블럭제빵소,(주)블럭에프에스,59,2,13,17,2,"124,312
(0.52)","10,851
(0.05)"
롤링핀,(주)롤링핀컴퍼니,55,17,0,10,11,"582,905
(2.44)","12,042
(0.05)"
홍베이팡,(주)홍베이팡,49,50,0,1,2,"63,775
(0.27)","7,270
(0.03)"
브레댄코(bread&co.DAILY-NEW),(주)브레댄코,45,3,20,1,1,"397,371
(1.66)","21,320
(0.09)"
정항우케익,(주)명품정항우케익,45,11,0,7,1,"179,838
(0.75)","8,557
(0.04)"
호밀호두,(주)호밀호두,43,4,2,0,2,"124,948
(0.52)","10,308
(0.04)"
아리랑수제핫도그,(주)아리랑에프앤비,39,3,0,17,1,"109,437
(0.46)","11,682
(0.05)"
빵사부식빵공방,(주)엘케이글로벌,39,1,34,0,4,"233,612
(0.98)","18,439
(0.08)"
빵장수단팥빵,(주)피쉐프코리아,36,1,0,10,8,"274,525
(1.15)","14,327
(0.06)"
맘스케익,(주)맘스푸드,33,4,20,0,2,"91,142
(0.38)","5,713
(0.02)"
대만샌드위치 티앙웨이,(주)와이비운용사업부,30,32,0,2,0,"126,771
(0.53)","9,728
(0.04)"
대만샌드위치 티앙웨이,(주)와이비운용사업부,30,32,0,2,0,"126,771
(0.53)","9,728
(0.04)"
천안옛날호두과자,(주)능수제과옛날호두과자,30,4,0,1,0,"240,863
(1.01)","6,181
(0.03)"
그린브라우니(green brownie),(주)그린브라우니,30,8,0,4,2,"210,213
(0.88)","4,296
(0.02)"
갓식빵,(주)무진,29,6,0,27,3,"135,072
(0.57)","10,725
(0.04)"
빈스킹토스트,(주)빈스킹코리아,29,8,0,8,2,"73,787
(0.31)","23,640
(0.10)"
시나본(CINNABON),블루빈컴퍼니(주),25,28,3,0,0,"151,286
(0.63)","12,140
(0.05)"
쌀똑핫도그,(주)초베이,25,16,0,1,0,"150,614
(0.63)","17,185
(0.07)"
타르타르,(주)바로만든,23,0,0,8,9,"358,381
(1.50)","11,625
(0.05)"
한스(HANS),(주)한스제과,23,3,0,1,0,"487,043
(2.04)","21,224
(0.09)"
청춘당 찹쌀 꽈배기,청춘당,22,22,0,0,0,"252,862
(1.06)","12,643
(0.05)"
곤트란쉐리에,(주)곤트란쉐리에코리아,20,3,0,5,1,"701,723
(2.94)","10,715
(0.04)"
커피홀베이커리,(자)동명식품서울지점,20,10,0,3,1,"138,982
(0.58)","3,420
(0.01)"
노랑고래찹쌀꽈배기,노랑고래푸드,19,19,0,0,0,"99,277
(0.42)","8,498
(0.04)"
샌드그립(SANDGRIP),(주)디케이인코퍼레이션,17,17,0,0,0,"70,493
(0.30)","7,049
(0.03)"
풍년제과,(주)강동오케익,17,2,3,0,1,"217,076
(0.91)","14,021
(0.06)"
핫브레드,(주)에이치비푸드,16,2,2,0,0,"475,435
(1.99)","48,717
(0.20)"
이츠굿베이커리카페,케익타르트,16,1,3,6,0,"158,558
(0.66)","7,379
(0.03)"
또아식빵,(주)또아식빵,15,0,2,28,2,"202,040
(0.85)","12,245
(0.05)"
본가정항우케익,(주)본가정항우케익,14,14,0,0,1,"154,478
(0.65)","13,397
(0.06)"
파파도나스,(주)파파들,14,13,0,0,0,"175,519
(0.74)","15,558
(0.07)"
더베이크,세영이지(주),14,8,1,2,0,"379,827
(1.59)","21,502
(0.09)"
나나케이크,(주)나나드림,12,0,9,0,0,"120,917
(0.51)","10,290
(0.04)"
정도너츠,농업회사법인(주)정담,12,1,0,3,1,"117,251
(0.49)","4,136
(0.02)"
크라상점,(주)에이브로,11,11,0,0,0,"181,945
(0.76)","14,352
(0.06)"
식빵이맛있는집 네모,(주)그린문컴퍼니,11,0,0,5,0,"79,010
(0.33)","6,953
(0.03)"
카페라리(Cafe La Lee),(주)베이커리라리,11,1,0,0,0,"0
(0.00)","0
(0.00)"
소미미,(주)쁘띠에프엔비,11,10,0,1,0,"0
(0.00)","0
(0.00)"
CAFE빵선생,(주)다원에프엔비,10,1,0,0,0,"0
(0.00)","0
(0.00)"
신라명과,(주)신라명과,10,0,1,0,0,"72,655
(0.30)","4,686
(0.02)"
데코르,(주)데코르,10,7,0,0,0,"154,006
(0.64)","5,865
(0.02)"
고집불통 식빵싸부,고집불통식빵싸부,10,0,2,0,0,"337,585
(1.41)","21,548
(0.09)"
고구맘,영주농업회사법인(주),9,2,0,1,1,"78,827
(0.33)","6,434
(0.03)"
케이크를부탁해,(주)케이크를부탁해,9,0,0,6,0,"180,225
(0.75)","20,467
(0.09)"
한스브레드카페,대전광역시동네빵집협동조합,9,6,0,9,0,"124,955
(0.52)","10,798
(0.05)"
비어드파파,스위트밀(주),8,1,0,2,0,"313,882
(1.31)","26,755
(0.11)"
르뽀미에,(주)에스피씨삼립,7,0,0,3,0,"261,937
(1.10)","16,691
(0.07)"
빠아앙,(주)지에프네트웍스,7,4,0,2,1,"280,171
(1.17)","23,055
(0.10)"
바푸리수제식빵,(주)비피알,7,0,0,5,0,"123,628
(0.52)","9,633
(0.04)"
레인보우마카롱,레인보우마카롱,7,6,0,0,0,"390,839
(1.64)","26,725
(0.11)"
망원동티라미수,(주)망원동티라미수,7,2,0,5,0,"594,930
(2.49)","27,138
(0.11)"
카페더치즈케익,케익CTC,6,2,0,0,0,"273,660
(1.15)","15,306
(0.06)"
오케이크(O'CAKE),H2(에이치2),6,1,0,4,0,"268,772
(1.13)","26,973
(0.11)"
호두랑파이랑,호두랑파이랑,6,0,2,0,0,"53,847
(0.23)","3,713
(0.02)"
얌얌브레드,"(주)제이에스에프엔비(JSF&BCo.,Ltd.)",5,5,0,0,0,"0
(0.00)","0
(0.00)"
오페뜨,(주)오페뜨,5,0,0,2,0,"239,690
(1.00)","4,341
(0.02)"
고로케하우스,(주)에스지푸드,5,4,6,0,0,"356,100
(1.49)","57,435
(0.24)"
WOO'Z,우즈(주),5,3,0,0,0,"861,763
(3.61)","4,846
(0.02)"
"오직, 그대만",(주)오직그대만,5,2,0,0,0,"70,173
(0.29)","5,223
(0.02)"
트윗젤(Twitzel),(주)유정에프앤비,5,3,0,0,0,"425,159
(1.78)","10,763
(0.05)"
홉슈크림,(주)홉슈크림코리아,5,1,0,2,0,"188,400
(0.79)","9,144
(0.04)"
마크빈,(주)훌랄라,4,4,0,0,0,"201,489
(0.84)","4,969
(0.02)"
홍두당푸디아근대골목단팥빵,(주)홍두당,4,0,0,0,0,"0
(0.00)","0
(0.00)"
동빵,(주)코끼리와친구들,4,2,0,1,1,"167,824
(0.70)","49,246
(0.21)"
에잇비돌체,(주)에잇비돌체,4,2,0,1,1,"0
(0.00)","0
(0.00)"
모찌모찌브레드,(주)모찌모찌브레드,4,3,0,0,0,"189,353
(0.79)","15,511
(0.06)"
쟈빠따,(주)피쉐프코리아,4,3,0,0,0,"0
(0.00)","0
(0.00)"
파더스베이글(father's bagel),파더스베이글,4,1,1,2,2,"0
(0.00)","0
(0.00)"
꽈배기브라더스,(주)꽈배기브라더스,4,4,0,0,0,"0
(0.00)","0
(0.00)"
미라노디저트,미라노디저트,3,0,1,1,0,"0
(0.00)","0
(0.00)"
본정,본정초콜릿(주),3,0,2,0,0,"243,629
(1.02)","11,376
(0.05)"
빵드밀식빵,빵드밀(주),3,0,0,0,0,"0
(0.00)","0
(0.00)"
이앤바이(이n바이),(주)이지바이플러스,3,0,0,1,0,"224,483
(0.94)","6,413
(0.03)"
스페로스페라,(주)씨지에스에프앤비,3,0,0,0,0,"0
(0.00)","0
(0.00)"
CROCRO (크로크로),(주)키푸디,3,0,2,6,0,"0
(0.00)","0
(0.00)"
토스트카페마리,(주)더블유엔씨,3,5,0,4,0,"38,723
(0.16)","5,531
(0.02)"
빵장수꽈배기,(주)피쉐프코리아,2,0,0,2,0,"0
(0.00)","0
(0.00)"
