브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,27.0,5.0,0.0,4.0,1.0,"297,354
(1.00)","9,707
(2.04)"
투다리,(주)이원,"1,475",150,28,179,20,"121,928
(0.41)","8,257
(0.03)"
간이역,주인프래너스(주),494,21,0,49,56,"85,669
(0.29)","6,432
(0.02)"
간이역,주인프래너스(주),494,21,0,49,56,"85,669
(0.29)","6,432
(0.02)"
역전할머니맥주1982,(주)역전에프앤씨,385,234,0,0,45,"667,973
(2.25)","21,458
(0.07)"
압구정 봉구비어,(주)용감한사람들,370,13,0,73,37,"126,594
(0.43)","8,740
(0.03)"
까투리,(주)까투리,312,6,0,31,10,"0
(0.00)","0
(0.00)"
크라운호프보리장인,피에스피에프앤디(주),214,159,0,0,10,"364,020
(1.22)","13,714
(0.05)"
꼬지사께,(주)에쓰와이프랜차이즈,189,29,16,55,15,"133,504
(0.45)","0
(0.00)"
생활맥주,(주)데일리비어,172,29,9,16,9,"239,228
(0.80)","14,473
(0.05)"
뉴욕야시장,리치푸드(주),140,28,0,31,3,"302,511
(1.02)","9,990
(0.03)"
짝태&노가리,(주)피엘오하모니,133,16,0,25,16,"163,532
(0.55)","11,346
(0.04)"
치어스,(주)치어스,121,11,0,26,0,"221,623
(0.75)","6,138
(0.02)"
비턴,(주)비원에프앤씨,111,3,13,14,12,"146,205
(0.49)","4,204
(0.01)"
경성주막1929,피에스피에프앤디(주),86,10,0,18,2,"479,742
(1.61)","10,296
(0.03)"
옥탑방오봉자싸롱,(주)봉자체인본부,85,1,0,22,0,"152,114
(0.51)","7,334
(0.02)"
브롱스(BRONX),(주)와이에프엔씨,82,11,0,10,7,"268,379
(0.90)","9,040
(0.03)"
용구비어,(주)와이비운용사업부,79,3,0,48,6,"133,813
(0.45)","7,121
(0.02)"
용구비어,(주)와이비운용사업부,79,3,0,48,6,"133,813
(0.45)","7,121
(0.02)"
청담이상,(주)리코플레이트,78,14,6,12,0,"711,797
(2.39)","10,431
(0.04)"
만복국수집,(주)은혜푸드,78,10,0,4,3,"297,360
(1.00)","12,697
(0.04)"
