브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,11.0,4.0,0.0,1.0,0.0,"496,492
(1.00)","17,031
(3.31)"
홍콩반점0410,(주)더본코리아,213,21,0,9,16,"622,725
(1.25)","16,870
(0.03)"
이비가짬뽕,(주)이비가푸드,138,11,0,8,6,"454,979
(0.92)","8,996
(0.02)"
탕화쿵푸마라탕,한국탕화쿵푸(주),127,127,0,0,0,"0
(0.00)","0
(0.00)"
라화쿵부,회풍식품(주),106,77,6,4,4,"406,572
(0.82)","15,301
(0.03)"
홍짜장,(주)한밭에프앤지,92,8,17,5,6,"185,272
(0.37)","10,658
(0.02)"
홍탕,(주)홍탕,61,31,0,8,0,"20,828
(0.04)","1,940
(0.00)"
짬뽕지존,투맨홀딩스(주),51,12,0,2,4,"1,117,711
(2.25)","17,515
(0.04)"
신룽푸마라탕,(주)티알제이에프앤비,44,44,0,0,1,"421,933
(0.85)","15,570
(0.03)"
엄맛탕,고수의비법,37,16,0,8,0,"0
(0.00)","0
(0.00)"
마시내탕수육짜장,(주)마시내,34,1,5,6,1,"36,752
(0.07)","2,055
(0.00)"
전설의짬뽕,양파(onion),32,6,0,7,0,"555,033
(1.12)","17,415
(0.04)"
짬뽕타임,(주)제이에이치푸드시스템,31,2,0,6,6,"769,125
(1.55)","14,892
(0.03)"
짬뽕10101,(주)고구려푸드,30,4,1,0,0,"462,659
(0.93)","12,001
(0.02)"
피슈 마라홍탕,(주)피슈애프앤씨,25,20,0,0,0,"727,945
(1.47)","20,137
(0.04)"
착한쭝식,서가김푸드,24,12,0,6,0,"559,319
(1.13)","15,973
(0.03)"
홍리마라탕,(주)홍리에프앤씨,18,15,0,0,0,"168,821
(0.34)","103,511
(0.21)"
최쉐프의동파육,쉐프의연구소,16,13,0,15,0,"0
(0.00)","0
(0.00)"
중화가정,(주)루에프앤비,16,11,1,5,1,"361,371
(0.73)","22,789
(0.05)"
텐미탕수육,쉐프의연구소,14,14,0,0,0,"0
(0.00)","0
(0.00)"
징차이짜장,파워푸드(유),13,10,0,0,0,"738,552
(1.49)","11,539
(0.02)"
바른푸드,바른푸드,13,10,0,1,0,"68,169
(0.14)","7,268
(0.01)"
라공방,(주)따청푸드,13,13,0,0,0,"1,268,972
(2.56)","31,724
(0.06)"
바른푸드,바른푸드,13,10,0,1,0,"68,169
(0.14)","7,268
(0.01)"
메이탄,성호푸드,12,4,0,1,0,"1,381,747
(2.78)","19,446
(0.04)"
정쉐프탕수육&치킨,정쉐프탕수육&치킨,11,7,0,0,0,"121,099
(0.24)","7,245
(0.01)"
사해방탕수육,사해방푸드,10,6,0,6,0,"225,654
(0.45)","17,663
(0.04)"
북경짜장,(주)다함컴퍼니,10,0,0,2,1,"998,661
(2.01)","20,134
(0.04)"
상상짬뽕,상상FnB,10,7,0,0,0,"812,402
(1.64)","27,539
(0.06)"
불이아,더월드(theworld),9,2,0,1,0,"936,646
(1.89)","14,765
(0.03)"
마라내음,길컴퍼니,8,5,0,1,0,"283,347
(0.57)","8,846
(0.02)"
마라루,마라루,8,8,0,0,0,"0
(0.00)","0
(0.00)"
쏘핫 마라탕 마라샹궈,쏘투더핫,8,6,0,0,0,"138,811
(0.28)","6,528
(0.01)"
