브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,54.0,9.0,1.0,4.0,4.0,"193,027
(1.00)","10,960
(1.85)"
비비큐(BBQ),(주)제너시스비비큐,"1,604",88,90,30,44,"577,875
(2.99)","43,190
(0.22)"
비에이치씨(BHC),(주)비에이치씨,"1,518",166,16,101,151,"435,093
(2.25)","23,482
(0.12)"
교촌치킨,교촌에프앤비(주),"1,157",86,0,2,90,"652,690
(3.38)","34,630
(0.18)"
처갓집양념치킨,(주)한국일오삼,"1,134",208,35,64,24,"215,716
(1.12)","15,597
(0.08)"
페리카나,(주)페리카나,"1,126",32,0,50,81,"121,270
(0.63)","10,862
(0.06)"
네네치킨,(주)혜인식품,"1,114",23,0,49,141,"191,467
(0.99)","15,836
(0.08)"
굽네치킨,(주)지앤푸드,"1,026",22,7,4,138,"314,455
(1.63)","20,360
(0.11)"
멕시카나,(주)멕시카나,841,108,27,30,98,"208,572
(1.08)","14,692
(0.08)"
호식이두마리치킨,호식이두마리치킨,797,37,10,56,97,"240,091
(1.24)","18,192
(0.09)"
또래오래,(주)농협목우촌,657,62,0,71,29,"122,986
(0.64)","8,639
(0.04)"
또봉이통닭,또봉이에프앤에스(주),524,73,0,94,57,"106,444
(0.55)","6,410
(0.03)"
지코바양념치킨,(주)지코바,516,47,10,0,33,"231,124
(1.20)","18,538
(0.10)"
60계,(주)장스푸드,440,182,0,2,38,"526,522
(2.73)","31,560
(0.16)"
노랑통닭,(주)노랑푸드,430,89,4,3,48,"433,999
(2.25)","18,885
(0.10)"
치킨플러스,(주)돕는사람들,370,159,0,55,58,"189,353
(0.98)","13,008
(0.07)"
부어치킨,(주)참바른,349,85,49,36,20,"117,665
(0.61)","8,525
(0.04)"
맥시칸치킨,(주)맥시칸,339,10,31,0,23,"87,952
(0.46)","7,084
(0.04)"
티바두마리치킨,(주)신라외식개발,307,69,0,46,48,"136,773
(0.71)","9,674
(0.05)"
티바두마리치킨,(주)신라외식개발,307,69,0,46,48,"136,773
(0.71)","9,674
(0.05)"
티바두마리치킨,(주)신라외식개발,307,69,0,46,48,"136,773
(0.71)","9,674
(0.05)"
펀비어킹,(주)해리코리아,293,76,0,28,11,"361,400
(1.87)","10,395
(0.05)"
땅땅치킨,(주)프랜푸드,279,38,8,34,30,"178,079
(0.92)","8,215
(0.04)"
훌랄라숯불치킨,(주)훌랄라,267,12,57,0,12,"130,086
(0.67)","6,683
(0.03)"
신통치킨,(주)올치에프씨,256,29,41,0,39,"55,160
(0.29)","3,108
(0.02)"
푸라닭,(주)아이더스코리아,241,77,2,5,31,"419,394
(2.17)","22,303
(0.12)"
푸라닭,(주)아이더스코리아,241,77,2,5,31,"419,394
(2.17)","22,303
(0.12)"
푸라닭,(주)아이더스코리아,241,77,2,5,31,"419,394
(2.17)","22,303
(0.12)"
푸라닭,(주)아이더스코리아,241,77,2,5,31,"419,394
(2.17)","22,303
(0.12)"
자담치킨,(주)웰빙푸드,238,82,20,19,25,"247,495
(1.28)","13,636
(0.07)"
깐부치킨,(주)깐부,201,17,0,23,16,"441,892
(2.29)","16,757
(0.09)"
투존치킨,(주)나도람에프씨,198,33,41,1,44,"176,187
(0.91)","11,256
(0.06)"
치킨매니아,(주)코리아델로스케이디,182,20,0,34,10,"173,407
(0.90)","9,468
(0.05)"
누나홀닭,(주)티앤비코리아,176,37,2,6,10,"372,715
(1.93)","12,722
(0.07)"
호치킨,(주)다울에프앤비,175,13,1,17,17,"327,875
(1.70)","17,396
(0.09)"
호치킨,(주)다울에프앤비,175,13,1,17,17,"327,875
(1.70)","17,396
(0.09)"
바른치킨,(주)이루에프씨,170,32,3,17,10,"320,278
(1.66)","17,508
(0.09)"
디디치킨(DD치킨),(주)디디에프엔비,169,19,0,56,26,"155,751
(0.81)","9,604
(0.05)"
코리엔탈깻잎두마리치킨,(주)채움푸드,168,19,0,58,35,"112,883
(0.58)","7,486
(0.04)"
본스치킨,(주)비에이지본스,162,6,0,13,15,"77,857
(0.40)","4,325
(0.02)"
보드람 치킨,(주)보드람씨앤알,162,11,8,0,5,"219,018
(1.13)","13,045
(0.07)"
치킨신드롬,(주)오앤씨웰푸드,161,67,0,29,8,"133,596
(0.69)","8,679
(0.04)"
오븐에 꾸운 닭,계림F&C,161,5,21,0,19,"168,122
(0.87)","4,616
(0.02)"
치요남치킨,(주)얌얌레시피,158,96,0,3,27,"256,986
(1.33)","16,677
(0.09)"
충만치킨,(주)충만,156,10,0,32,29,"258,391
(1.34)","8,707
(0.05)"
오븐마루,(주)오엠푸드,151,26,0,26,16,"219,686
(1.14)","9,925
(0.05)"
불로만치킨바베큐,(주)불로만,150,8,0,7,13,"114,338
(0.59)","5,357
(0.03)"
알통떡강정,(주)알통컴퍼니,150,24,0,10,14,"107,173
(0.56)","10,044
(0.05)"
치킨더홈,케이와이푸드(주),148,46,13,14,21,"197,242
(1.02)","12,121
(0.06)"
맛닭꼬,(주)꼬꼬에프앤비,147,11,0,17,6,"295,314
(1.53)","13,967
(0.07)"
코리안바베큐,(주)티비비씨,138,3,0,13,9,"119,256
(0.62)","5,753
(0.03)"
가마로강정,(주)마세다린,134,22,0,11,6,"201,899
(1.05)","20,564
(0.11)"
