브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,41.0,8.0,1.0,2.0,3.0,"167,159
(1.00)","8,948
(2.22)"
이디야커피,(주)이디야,"2,651",302,0,50,213,"216,931
(1.30)","8,415
(0.05)"
투썸플레이스,투썸플레이스(주),"1,097",127,0,31,111,"544,844
(3.26)","12,061
(0.07)"
메가엠지씨커피(MEGA MGC COFFEE),(주)앤하우스,798,398,0,3,55,"275,854
(1.65)","20,270
(0.12)"
커피에반하다,(주)커피에반하다,688,155,0,56,55,"109,998
(0.66)","7,827
(0.05)"
요거프레소,(주)요거프레소,656,43,81,11,78,"107,997
(0.65)","6,511
(0.04)"
빽다방,(주)더본코리아,617,54,0,8,62,"325,010
(1.94)","24,992
(0.15)"
커피베이,(주)커피베이,597,147,62,27,13,"99,883
(0.60)","4,803
(0.03)"
엔제리너스,롯데지알에스(주),483,19,88,2,33,"280,561
(1.68)","16,067
(0.10)"
파스쿠찌,(주)파리크라상,460,51,0,32,45,"392,607
(2.35)","6,482
(0.04)"
할리스커피,(주)할리스에프앤비,453,52,4,22,25,"378,299
(2.26)","2,145
(0.01)"
컴포즈커피(COMPOSE COFFEE),(주)제이엠커피컴퍼니,384,175,5,0,26,"260,853
(1.56)","19,205
(0.11)"
더벤티,(주)더벤티코리아,383,117,14,2,36,"208,802
(1.25)","16,605
(0.10)"
카페베네,(주)카페베네,314,23,0,63,32,"196,464
(1.18)","3,959
(0.02)"
탐앤탐스커피(TOMNTOMS COFFEE),(주)탐앤탐스,301,54,33,0,26,"325,424
(1.95)","6,146
(0.04)"
셀렉토커피,(주)맥스원이링크,238,62,6,32,13,"115,175
(0.69)","6,404
(0.04)"
토프레소,(주)에스앤큐플러스,225,22,0,35,25,"92,216
(0.55)","4,627
(0.03)"
더리터(THE LITER),(주)희천,224,55,0,16,21,"176,151
(1.05)","11,992
(0.07)"
봄봄테이크아웃(봄봄TAKE-OUT),(주)봄봄,224,54,0,13,17,"196,274
(1.17)","17,320
(0.10)"
더리터(THE LITER),(주)희천,224,55,0,16,21,"176,151
(1.05)","11,992
(0.07)"
커피마마,티에고(주),206,16,11,18,13,"87,589
(0.52)","5,259
(0.03)"
더카페,(주)이랜드이츠,172,21,0,22,2,"140,700
(0.84)","10,060
(0.06)"
감성커피,(주)비브라더스,162,60,0,19,0,"137,315
(0.82)","10,529
(0.06)"
엑소엑소핫도그앤커피,(주)세컨드찬스,145,0,0,14,24,"54,624
(0.33)","469
(0.00)"
달콤,(주)달콤,138,14,1,14,5,"207,629
(1.24)","4,370
(0.03)"
아마스빈,(주)비케이컴퍼니,125,48,0,0,4,"403,777
(2.42)","30,988
(0.19)"
커피온리,(주)커피만컴퍼니,117,34,0,25,2,"188,011
(1.12)","24,817
(0.15)"
카페띠아모,(주)베모스,114,1,17,0,11,"154,308
(0.92)","5,820
(0.03)"
커피니(OFFEENIE),(주)커피니,109,7,0,17,9,"168,156
(1.01)","5,220
(0.03)"
우주라이크(WOULDULIKE),(주)우주에프앤디,108,41,7,2,2,"98,065
(0.59)","7,877
(0.05)"
청자다방,(주)청자다방,108,24,0,9,1,"138,027
(0.83)","8,238
(0.05)"
디에떼에스프레소,(주)디떼,108,16,0,20,11,"43,231
(0.26)","1,418
(0.01)"
만랩커피,(주)만랩,105,43,2,0,4,"159,063
(0.95)","8,275
(0.05)"
벌크커피(BULK COFFEE),(주)벌크커피,104,41,0,3,9,"183,451
(1.10)","9,805
(0.06)"
핸즈커피 (HANDS COFFEE),(주)지핸즈,93,15,0,8,2,"272,102
(1.63)","6,256
(0.04)"
하삼동커피,(주)하삼동,89,74,0,0,0,"0
(0.00)","0
(0.00)"
매머드익스프레스(Mammoth Express),(주)매머드커피랩,83,47,0,7,5,"252,464
(1.51)","25,481
(0.15)"
카페루앤비,(주)루앤비,81,17,0,27,6,"61,010
(0.36)","3,873
(0.02)"
카페글렌,조이풀컴퍼니(주),80,16,0,10,8,"89,114
(0.53)","3,854
(0.02)"
마시그래이,(주)에스이엠,75,11,0,15,7,"132,610
(0.79)","10,533
(0.06)"
매머드커피(Mammoth coffee),(주)매머드커피랩,70,3,0,24,10,"259,676
(1.55)","18,177
(0.11)"
카페게이트,(유)에브라임이노베이션,63,43,0,1,2,"192,450
(1.15)","16,801
(0.10)"
cafe051(카페051),051커피컴퍼니,61,40,0,0,7,"195,043
(1.17)","16,933
(0.10)"
바빈스,(주)퍼스트에이엔티,58,10,9,6,4,"126,324
(0.76)","5,902
(0.04)"
텀브커피,(주)위드텀브,51,10,9,3,0,"87,402
(0.52)","6,147
(0.04)"
달리는커피,(주)달리는커피코리아,49,20,0,4,2,"141,177
(0.84)","9,628
(0.06)"
카페원플러스원,(주)카페원플러스원,49,2,0,3,1,"107,182
(0.64)","3,408
(0.02)"
아리스타,(주)아리스타,48,2,0,15,3,"161,100
(0.96)","17,406
(0.10)"
커피나무,(주)커피나무,46,7,0,8,6,"208,784
(1.25)","6,320
(0.04)"
어벤더치커피,(주)카페폴인,45,9,0,1,0,"195,280
(1.17)","12,438
(0.07)"
비엔나커피하우스,(주)제이엠케이,43,17,0,1,0,"282,835
(1.69)","5,592
(0.03)"
빌리엔젤,(주)그레닉스,42,6,10,0,0,"178,607
(1.07)","5,885
(0.04)"
터치카페,(주)더블유씨엠인터내셔널,42,13,2,0,1,"53,757
(0.32)","7,261
(0.04)"
아임일리터,㈜아임일리터,40,18,0,0,8,"266,211
(1.59)","8,479
(0.05)"
"오늘도, 카페일리터",카페일리터,38,37,0,0,1,"117,478
(0.70)","10,956
(0.07)"
꿀스커피GGUL'S COFFEE,(주)정직한,36,19,6,0,3,"84,639
(0.51)","5,189
(0.03)"
알리바바카페(ALIBABA CAFE),알리바바파트너스(주),36,16,0,12,4,"66,184
(0.40)","4,552
(0.03)"
커피명가,(주)커피명가,36,3,3,0,0,"227,722
(1.36)","5,280
(0.03)"
라떼떼,(주)엘에이치지,36,15,16,0,2,"60,949
(0.36)","3,581
(0.02)"
카페일루이스,카페일루이스(주),36,3,0,3,2,"22,344
(0.13)","1,172
(0.01)"
카페인중독,(주)중독컴퍼니,35,25,2,3,2,"144,837
(0.87)","17,486
(0.10)"
커피코트,(주)커피코트,35,6,0,4,4,"187,676
(1.12)","15,026
(0.09)"
탭플레이(TAPLAY),(주)해피랜드에프엔비,34,14,0,6,3,"104,110
(0.62)","9,046
(0.05)"
텐퍼센트스페셜티커피,(주)더쉐프,33,25,0,0,0,"215,617
(1.29)","20,866
(0.12)"
카페보니또,에스프레소코리아(주),32,2,2,4,2,"139,152
(0.83)","3,925
(0.02)"
슈퍼커피,(주)슈퍼커피,32,3,0,7,4,"147,302
(0.88)","12,931
(0.08)"
더웨이닝커피(THE WAIN-ING COFFEE),(주)웨이닝코리아,32,6,4,0,0,"235,701
(1.41)","5,076
(0.03)"
주커피,태영에프앤비(주),31,1,0,8,2,"170,907
(1.02)","3,080
(0.02)"
커핀그루나루,(주)커핀그루나루,31,1,8,4,4,"313,025
(1.87)","6,080
(0.04)"
베스트빈,(주)에스에이치네트웍스,29,2,0,3,0,"63,497
(0.38)","3,168
(0.02)"
카페아이엠티,(주)편안,28,1,2,1,2,"213,857
(1.28)","10,672
(0.06)"
포트오브모카(Port of Mocha),(주)에소코리아,28,2,5,0,0,"91,011
(0.54)","6,197
(0.04)"
커피나뜨래,커피나뜨래,27,1,1,2,0,"37,136
(0.22)","2,269
(0.01)"
에이바우트커피,㈜메이크어베러(Makeabetter),26,17,0,0,1,"634,916
(3.80)","6,609
(0.04)"
빈스빈스,(주)빈스앤로스터리코리아,26,1,1,2,3,"183,690
(1.10)","4,309
(0.03)"
모캄보,(주)마스터코리아,25,3,0,5,0,"149,665
(0.90)","2,916
(0.02)"
커피홀(coffee hole),(자)동명식품서울지점,24,3,0,5,2,"77,041
(0.46)","3,639
(0.02)"
아마떼,(주)한국창업경제연구소,24,1,0,3,0,"120,554
(0.72)","3,311
(0.02)"
리프패럿(LIP Parrot),(주)리프래럿,24,10,0,2,0,"102,665
(0.61)","2,741
(0.02)"
에슬로우커피(ESLOW COFFEE),(주)에슬로우,23,7,0,2,5,"225,477
(1.35)","13,864
(0.08)"
디초콜릿커피앤드,(주)할리스에프앤비,23,3,0,6,0,"229,680
(1.37)","2,184
(0.01)"
해리스카페,(주)해리스,22,2,3,1,0,"118,450
(0.71)","5,291
(0.03)"
몬스터커피,㈜몬스터,22,22,0,0,0,"212,918
(1.27)","18,926
(0.11)"
케이엠엘리 갤러리카페,(주)케이엠엘리,21,11,0,3,0,"41,389
(0.25)","2,100
(0.01)"
블레스롤(Bless Roll),블레스롤가맹본부,20,4,0,2,1,"237,056
(1.42)","5,719
(0.03)"
카페리빈,(주)리빈코리아,19,6,0,5,2,"115,738
(0.69)","4,454
(0.03)"
다빈치커피,(주)다빈치,19,0,3,5,0,"105,789
(0.63)","4,654
(0.03)"
플루800,에프씨푸드(FCFOOD),19,6,0,0,0,"65,532
(0.39)","3,489
(0.02)"
베러먼데이,베러먼데이드링크코리아(주),18,11,2,0,2,"118,539
(0.71)","7,652
(0.05)"
데니스,데니스,18,5,0,7,2,"151,600
(0.91)","6,429
(0.04)"
카페도헤이 왕의커피,(주)카페도헤이,17,6,0,1,0,"85,863
(0.51)","4,018
(0.02)"
커피더캠프,(주)씨티씨피,17,1,7,0,0,"144,262
(0.86)","21,932
(0.13)"
팬도로시,(주)올리브홀딩스,16,0,1,0,0,"163,306
(0.98)","4,528
(0.03)"
뜰커피,뜰5커피,16,10,0,0,0,"209,653
(1.25)","9,220
(0.06)"
루머팡,(주)루머팡,16,0,1,0,0,"0
(0.00)","0
(0.00)"
코페아커피(COFFEA COFFEE),(주)감성인터내셔널,16,0,0,5,0,"136,227
(0.81)","4,135
(0.02)"
도노텀블,(주)도노텀블,16,6,0,2,1,"128,089
(0.77)","5,244
(0.03)"
줄리앙 와플,(주)브라더푸드,16,4,8,0,0,"0
(0.00)","0
(0.00)"
하바나익스프레스,(주)주원에프앤비,15,0,10,0,1,"119,667
(0.72)","4,009
(0.02)"
백금당,백금당,15,8,0,0,1,"196,232
(1.17)","7,195
(0.04)"
커피101스트릿(COFFEE 101 STREET),㈜커피101스트릿,15,4,0,0,1,"168,016
(1.01)","7,520
(0.04)"
CAFE 설렘주의보,설렘,15,15,0,0,0,"127,383
(0.76)","11,732
(0.07)"
카페라떼르,(주)커먼파트너스,15,0,0,2,0,"87,210
(0.52)","1,875
(0.01)"
콘레드커피,(주)케이디즈,15,13,0,1,0,"214,064
(1.28)","26,099
(0.16)"
