브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,27.0,3.0,0.0,3.0,1.0,"244,717
(1.00)","12,966
(2.75)"
롯데리아,롯데지알에스(주),"1,211",38,18,16,114,"676,866
(2.77)","13,134
(0.05)"
뉴욕핫도그앤커피,(주)뉴욕핫도그앤커피,137,47,0,30,0,"43,419
(0.18)","4,179
(0.02)"
버거킹(Burger King),(주)비케이알,101,2,0,0,10,"981,168
(4.01)","14,089
(0.06)"
석봉토스트,(주)석봉토스트,96,5,0,70,0,"0
(0.00)","0
(0.00)"
웰덤치킨,(주)푸디노에프앤디,91,22,0,18,5,"130,467
(0.53)","8,666
(0.04)"
지정환피자,(주)정담에프에스,74,2,6,0,3,"145,329
(0.59)","9,504
(0.04)"
퀴즈노스서브,(주)유썸,73,17,0,12,1,"255,199
(1.04)","13,746
(0.06)"
토스피아,(주)푸드넷시스템,59,7,20,18,3,"94,002
(0.38)","0
(0.00)"
스테프핫도그,(주)스테프코리아,49,9,0,19,3,"123,642
(0.51)","12,442
(0.05)"
메이젠,(주)메이젠,47,29,3,7,0,"193,943
(0.79)","13,913
(0.06)"
죠샌드위치앤커피,(주)제이에스앤씨,46,6,0,8,4,"136,824
(0.56)","9,161
(0.04)"
비스트로피자,(주)글로비,39,20,0,2,3,"259,772
(1.06)","17,933
(0.07)"
파파이스,(주)티에스푸드앤시스템,39,0,0,15,2,"356,513
(1.46)","8,960
(0.04)"
에그셀런트,(주)다이닝팩토리,32,32,0,0,4,"216,081
(0.88)","28,431
(0.12)"
팔팔핫도그,(주)프로젝트비,32,4,0,9,0,"153,267
(0.63)","15,103
(0.06)"
밀플랜비,(주)웨이브,19,5,0,1,0,"288,812
(1.18)","15,098
(0.06)"
피치버'S,우리푸드시스템,17,11,0,6,0,"182,962
(0.75)","8,522
(0.03)"
쑤와리질러,(주)영원푸드,17,7,1,4,0,"158,336
(0.65)","5,421
(0.02)"
미스앤미스터포테이토,(주)도연에프엔씨,16,2,0,4,0,"176,795
(0.72)","20,747
(0.08)"
피제리아 나인로드,(주)씨엠월드에프앤씨,16,0,0,0,0,"532,499
(2.18)","4,370
(0.02)"
