브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,42.0,5.0,0.0,2.0,2.0,"231,827
(1.00)","13,983
(2.11)"
피자마루,(주)푸드죤,619,31,0,27,31,"150,390
(0.65)","14,686
(0.06)"
피자스쿨,(주)피자스쿨,574,9,0,11,28,"149,243
(0.64)","14,271
(0.06)"
59피자(오구피자),(주)오구본가,523,15,0,47,36,"126,663
(0.55)","11,219
(0.05)"
피자나라치킨공주,(주)리치빔,354,52,2,19,51,"337,438
(1.46)","24,623
(0.11)"
도미노피자,청오디피케이(주),353,12,0,2,19,"748,081
(3.23)","0
(0.00)"
피자헛,한국피자헛(유),319,10,1,9,19,"717,028
(3.09)","19,981
(0.09)"
피자스쿨,(주)씨에이치컴퍼니,312,2,0,7,13,"132,559
(0.57)","11,221
(0.05)"
피자알볼로,(주)알볼로에프앤씨,269,8,3,7,18,"406,608
(1.75)","22,010
(0.09)"
피자에땅,(주)에땅,236,4,10,11,9,"160,388
(0.69)","9,061
(0.04)"
미스터피자,(주)엠피그룹,235,8,32,0,9,"349,280
(1.51)","7,871
(0.03)"
반올림피자샵,(주)반올림식품,231,15,4,0,33,"422,230
(1.82)","29,669
(0.13)"
7번가피자,(주)7번가사람들,185,13,0,9,22,"237,440
(1.02)","15,313
(0.07)"
뽕뜨락피자,(주)웰빙을만드는사람들,164,9,0,39,12,"134,515
(0.58)","9,968
(0.04)"
뽕뜨락피자,(주)웰빙을만드는사람들,164,9,0,39,12,"134,515
(0.58)","9,968
(0.04)"
파파존스피자,한국파파존스(주),148,27,0,1,4,"451,986
(1.95)","20,344
(0.09)"
유로코피자(EUROKO PIZZA),(주)유로코푸드,139,64,0,15,9,"246,957
(1.07)","18,407
(0.08)"
난타5000피자,(유)난타5000,119,7,0,10,5,"102,934
(0.44)","7,651
(0.03)"
네오피자,(주)네오에프앤비,88,16,0,5,9,"261,947
(1.13)","13,904
(0.06)"
빅스타피자(Bigstar Pizza),(주)빅스타푸드,79,13,1,17,8,"259,250
(1.12)","19,672
(0.08)"
피자헤븐,(주)피자헤븐코리아,72,10,0,17,5,"229,903
(0.99)","11,659
(0.05)"
임실N치즈피자,(주)엔케이로지스틱스,71,0,16,0,3,"149,280
(0.64)","7,315
(0.03)"
수타5900,(주)나눔프랜차이즈,63,6,4,0,1,"0
(0.00)","0
(0.00)"
피자애,(주)피자애,62,12,2,13,5,"139,236
(0.60)","9,624
(0.04)"
피자애,(주)피자애,62,12,2,13,5,"139,236
(0.60)","9,624
(0.04)"
피자파는집,(주)얌얌레시피,60,60,0,0,0,"275,366
(1.19)","21,716
(0.09)"
피자와 치킨의 러브레터,(주)디에스푸드,59,9,18,0,11,"115,709
(0.50)","2,166
(0.01)"
브로피자,업텐브로피자체인본부,58,26,0,7,7,"152,159
(0.66)","12,008
(0.05)"
피자빙고,(주)신성마을,57,1,8,0,3,"27,536
(0.12)","2,101
(0.01)"
강정구의피자생각,(주)케이프렌즈,48,12,1,12,3,"287,981
(1.24)","22,152
(0.10)"
영구스피자,(주)영구스피자,45,10,0,11,8,"146,610
(0.63)","10,233
(0.04)"
수피자,(주)스칼라,45,5,0,1,0,"120,372
(0.52)","9,008
(0.04)"
고피자(GOPIZZA),(주)고피자,38,34,0,4,2,"262,949
(1.13)","18,214
(0.08)"
라오니피자,라오니,37,25,0,3,5,"205,056
(0.88)","14,866
(0.06)"
100년의피자카페인시애틀,100년의피체리아,30,4,6,0,0,"0
(0.00)","0
(0.00)"
자가제빵 선명희피자,(주)더온에프앤비,29,20,0,1,1,"379,721
(1.64)","32,558
(0.14)"
아이러브피자,(주)더난푸드,28,0,0,6,1,"98,578
(0.43)","8,528
(0.04)"
오르새피자,(주)제이피케이컴퍼니,28,9,0,6,0,"228,800
(0.99)","21,150
(0.09)"
착한피자,(주)착한피자,27,9,0,0,0,"292,101
(1.26)","23,795
(0.10)"
남자피자,(주)남자피자,25,3,0,2,0,"214,096
(0.92)","22,181
(0.10)"
피자1번가,혜정,25,0,0,5,1,"55,576
(0.24)","4,222
(0.02)"
임실치즈피자,(유)승일푸드시스템,24,1,0,7,0,"47,558
(0.21)","2,716
(0.01)"
피자연합,피자연합협동조합,23,8,0,4,1,"0
(0.00)","0
(0.00)"
피자빅,(주)그린푸드존,22,5,0,3,0,"121,372
(0.52)","7,185
(0.03)"
피제이(PJ)피자,골라먹는피제이(PJ)피자,21,22,0,1,0,"303,485
(1.31)","23,345
(0.10)"
엘에이치씨피자탑(LHC PIZZA TOP),(주)탑에프앤씨,21,17,0,0,1,"299,964
(1.29)","27,269
(0.12)"
피자브라더스,(주)피자브라더스,20,14,1,2,0,"323,789
(1.40)","32,378
(0.14)"
피자 비토랩,(주)비토랩,20,20,0,0,0,"218,777
(0.94)","20,835
(0.09)"
미스터파파임실치즈피자,외식그룹진밭,19,0,0,0,0,"33,368
(0.14)","3,393
(0.01)"
황철수피자,황철수피자,19,1,2,0,0,"0
(0.00)","0
(0.00)"
빨간모자피자,(주)레드캡,19,6,3,0,2,"250,921
(1.08)","4,287
(0.02)"
피굽남피자,피굽남피자,18,18,0,0,0,"209,255
(0.90)","16,955
(0.07)"
피치랑,피치랑,18,17,6,2,1,"198,759
(0.86)","12,191
(0.05)"
자연임실치즈피자,자연임실치즈피자,18,3,3,0,1,"199,931
(0.86)","13,328
(0.06)"
후니피자,훈푸드,16,0,1,1,1,"70,949
(0.31)","5,904
(0.03)"
피자써클,피자써클,16,2,0,3,0,"0
(0.00)","0
(0.00)"
긱스피자,(주)긱스에프앤비,15,14,0,0,0,"327,601
(1.41)","14,759
(0.06)"
오리지널시카고,(주)오리지널시카고피자,14,4,0,2,1,"380,343
(1.64)","8,735
(0.04)"
피자명인,피자명인,11,0,0,0,0,"144,031
(0.62)","11,002
(0.05)"
피자베이,피자베이양천직영점,10,4,0,3,1,"282,083
(1.22)","16,119
(0.07)"
