브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점평균매출액(매출액지수),가맹점면적당평균매출액
평균,-,13.0,4.0,0.0,1.0,0.0,"387,610
(1.00)","11,207
(2.67)"
본죽,본아이에프(주),"1,087",4,0,69,46,"198,712
(0.51)","17,281
(0.04)"
한솥,(주)한솥,727,33,4,19,40,"352,657
(0.91)","27,417
(0.07)"
고봉민김밥人,케이비엠,623,16,0,40,48,"182,019
(0.47)","11,201
(0.03)"
명륜진사갈비,(주)명륜당,454,331,0,1,7,"992,450
(2.56)","16,746
(0.04)"
큰맘할매순대국,(주)보강엔터프라이즈,407,78,0,103,30,"236,761
(0.61)","8,635
(0.02)"
가장맛있는족발,(주)가장맛있는족발,406,33,0,14,33,"551,310
(1.42)","15,625
(0.04)"
본죽&비빔밥cafe,본아이에프(주),397,107,0,6,22,"328,888
(0.85)","21,485
(0.06)"
본도시락,본아이에프(주),348,30,0,11,38,"322,355
(0.83)","24,615
(0.06)"
놀부부대찌개,(주)놀부,323,23,57,0,23,"217,226
(0.56)","7,962
(0.02)"
두찜,(주)기영에프앤비,263,165,0,29,28,"240,278
(0.62)","12,122
(0.03)"
원할머니,원앤원(주),252,55,26,0,12,"485,243
(1.25)","14,734
(0.04)"
연안식당,(주)디딤,209,111,0,17,14,"904,846
(2.33)","25,301
(0.07)"
유가네닭갈비,(주)바이올푸드글로벌,196,48,0,5,19,"544,369
(1.40)","0
(0.00)"
조마루감자탕,(주)조마루,190,6,12,0,11,"292,787
(0.76)","5,225
(0.01)"
채선당,(주)채선당,187,7,17,10,9,"569,307
(1.47)","8,058
(0.02)"
삼겹본능,(주)놀부,183,168,24,0,9,"48,509
(0.13)","16,170
(0.04)"
땅스부대찌개,(주)티에스푸드,177,148,0,2,1,"171,677
(0.44)","19,075
(0.05)"
바우네나주곰탕,(주)지에프포유,174,80,0,32,12,"260,826
(0.67)","10,989
(0.03)"
이화수전통육개장,이화수(주),173,15,0,18,7,"482,307
(1.24)","10,602
(0.03)"
하남돼지집,(주)하남에프앤비,169,6,35,0,7,"636,677
(1.64)","15,642
(0.04)"
얌샘김밥,(주)얌샘,169,69,0,15,12,"263,206
(0.68)","17,428
(0.04)"
놀부보쌈족발,(주)놀부,162,18,35,0,14,"197,575
(0.51)","7,627
(0.02)"
신의주찹쌀순대,(주)거성푸드,160,24,0,14,4,"434,069
(1.12)","14,807
(0.04)"
봉추찜닭,㈜봉추푸드시스템,154,5,0,7,10,"299,945
(0.77)","10,368
(0.03)"
육대장,(주)육대장,153,10,0,32,9,"407,563
(1.05)","9,008
(0.02)"
무봉리토종순대국,무봉리토종순대국체인본부,148,7,8,0,0,"252,477
(0.65)","6,567
(0.02)"
홍춘천,(주)훌랄라,145,44,32,0,13,"218,042
(0.56)","11,504
(0.03)"
