업종(대),업종(중),상호,매출액,매출액증가율
외식,,(주)에스피씨삼립,"2,499,238,195",12.57%
외식,,본아이에프(주),"212,736,622",2.77%
외식,,(주)한솥,"95,003,499",0.18%
외식,,(주)이바돔,"84,307,741",17.35%
외식,,(주)민도비,"75,722,850",산출불가
외식,,(주)놀부,"71,633,984",-17.39%
외식,,농업회사법인(주)주원산오리,"71,578,441",-14.61%
외식,,본푸드서비스(주),"68,101,833",산출불가
외식,,원앤원(주),"66,350,138",-4.37%
외식,,해피브릿지협동조합,"50,383,318",-1.99%
외식,,(주)채선당,"47,220,665",-9.80%
외식,,(주)더본코리아,"44,715,637",-74.83%
외식,,어판왕어업회사법인(주),"42,238,371",22.75%
외식,,(주)보강엔터프라이즈,"35,606,696",-1.91%
외식,,(주)바이올푸드글로벌,"29,020,821",20.10%
외식,,이본홀딩스,"28,789,566",산출불가
외식,,(주)이연에프엔씨,"27,791,953",14.28%
외식,,(주)에브릿,"24,619,235",-20.54%
외식,,(주)육대장,"22,727,025",-23.76%
외식,,(주)맛찬들,"22,061,891",-6.55%
외식,,(주)장충동왕족발,"21,954,199",-3.65%
외식,,(주)거성푸드,"20,647,854",9.83%
외식,,(주)도드람에프씨,"19,809,597",27.28%
외식,,(주)하남에프앤비,"18,224,903",-17.04%
외식,,(주)얌샘,"18,198,126",-10.49%
외식,,(주)디코레,"18,029,210",20.91%
외식,,(주)숲풀림식품,"17,461,991",-20.74%
외식,,(주)담소이야기,"17,455,810",-0.25%
외식,,(주)나도람에프씨,"16,226,219",-9.57%
외식,,농업회사법인제이제이푸드시스템(주),"16,103,995",24.33%
외식,,(주)라이또에프앤씨,"15,552,818",-23.23%
외식,,에프앤에스(주),"14,906,159",38.71%
외식,,(주)북촌사람들,"13,839,363",22.53%
외식,,(주)풀잎채,"13,689,358",-10.51%
외식,,(주)콜라겐랩,"12,959,205",19.04%
외식,,(주)테이스티컴퍼니,"12,796,329",-2.85%
외식,,(주)비피알,"12,618,374",-21.50%
외식,,(주)지호,"12,456,378",2.68%
외식,,(주)가장맛있는족발,"12,383,767",32.16%
외식,,(주)기영에프앤비,"12,323,496",87.43%
외식,,(주)푸드로,"11,568,049",3.01%
외식,,(주)가우정푸드,"11,522,101",57.03%
외식,,(주)만석푸드패밀리,"11,351,188",68.57%
외식,,현대옥프랜차이즈,"11,109,796",3.83%
외식,,(주)호박패밀리,"10,987,072",147.45%
외식,,(주)푸디아,"10,939,029",-17.13%
외식,,(주)보하라,"10,616,974",-8.17%
외식,,(주)엠지에이치,"10,440,892",2.82%
외식,,(주)조마루,"10,364,047",-7.87%
외식,,씨지에프(주),"10,165,392",41.16%
외식,,(주)섬김과나눔,"10,113,624",15.88%
외식,,㈜봉추푸드시스템,"10,081,535",-2.26%
외식,,(주)행복한구이세상,"10,063,581",13.93%
외식,,(주)에이티컴퍼니,"10,062,095",6.69%
외식,,(주)곽푸드에프씨,"9,752,785",11.07%
외식,,(주)온누리푸드시스템,"9,722,235",-4.19%
